StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q87,JC1 ,LQ2,PP3,MM4,HZ5,GA6,DM7,AB8 ,AI9 ,BO10,BR11 ,CA12 ,DH13,EX14,GE15 ,GO16 ,HY17,JF18,LA19 ,LS20,NO21,PE22 ,PL23 ,PR24 ,PS25 ,SI26,TU27 ,TY28 ,VI29,WCH30,WCL31,WH32,WT33,XX34 ,RU35 ,QI36,Q41,Q42,Q43,Q44,Q45,Q46,Q84_1,SC0,id,Points
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent: 

Study Title: A Study on Listener-Perceived Sexuality in Gen Z Males

Principal Investigator: Michael Newman

Institution: Queens College / City University of New York (CUNY)

Email: michael.newman@qc.cuny.edu



Introduction and Purpose: You are invited to take part in a research study about how people perceive the voices of Gen Z males. The purpose of this study is to better understand how listeners rate speech on a continuum from “sounding gay” to “sounding straight.” Procedures If you choose to participate, you will listen to 36 short audio recordings of male speakers born between 1997 and 2012. For each recording, you will be asked to rate the speaker on a scale from “sounding gay” to “sounding straight.”  The study will be completed after you agree and will take between 20–40 minutes.



Voluntary Participation: Your participation is completely voluntary. You may stop at any time without penalty by closing your browser.



Potential Risks and Discomfort:  Some participants may find the nature of the ratings sensitive, as they involve perceptions of sexual orientation.



Benefits: There is no direct benefit to you, but your participation may help researchers better understand how speech is perceived.



Confidentiality : Your responses will be stored securely and without your name or identifying information. No audio recordings of your own voice will be collected. Data may be shared in aggregate form in publications or presentations, but individual responses will not be linked to you.



Future Use: We might use the information collected from you as part of this study for future research by the researchers of this study and by other researchers. Your information will have a code instead of your name or other information that could identify you. You will be asked later in this form about your choice of whether or not to allow this future use.





Compensation:  Completing this survey will count as 1 Psychology 101 Participation Credit. 



Contact Information If you have questions about the study, contact: Michael Newman Queens College / CUNY michael.newman@qc.cuny.edu  If you have questions about your rights as a research participant, contact:  Consent Statement By clicking “I Agree” below, you confirm that: - You are at least 18 years old. - You have read and understood the information above. - You voluntarily agree to participate in this study.",Please indicate below if you permit the researchers to use your information as described above for future research.,"Listen to M.M. read this passage. Based on his voice, rate his likely sexual orientation taking...","Listen to L.Q. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to P.P. read this passage. Based on his voice, rate his likely sexual orientation taking a...","Listen to M.M. read this passage. Based on his voice, rate his likely sexual orientation taking  at most 30 seconds.","Listen to H.Z. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to G.A. read this passage. Based on his voice, rate his likely sexual orientation taking  at most 30 seconds.","Listen to D. M. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to A. B. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to A.I. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to B.O. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to B.R. read this passage. Based on his voice, rate his likely sexual orientation taking  at most 30 seconds.","Listen to C.A. read this passage. Based on his voice, rate his likely sexual orientation taking taking at most 30 seconds.","Listen to D.H. read this passage. Based on his voice, rate his likely sexual orientation taking taking  at most 30 seconds.","Listen to E.X. read this passage. Based on his voice, rate his likely sexual orientation taking taking  at most 30 seconds.","Listen to G.E. read this passage. Based on his voice, rate his likely sexual orientation taking taking  at most 30 seconds.","Listen to G.O. read this passage. Based on his voice, rate his likely sexual orientation taking taking  at most 30 seconds.","Listen to H.Y. read this passage. Based on his voice, rate his likely sexual orientation taking taking at most 30 seconds.","Listen to J.F. read this passage. Based on his voice, rate his likely sexual orientation taking taking  taking at most 30 seconds.","Listen to L.A. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to L.S. read this passage. Based on his voice, rate his likely sexual orientation taking taking  at most 30 seconds.","Listen to N.O. read this passage. Based on his voice, rate his likely sexual orientation taking taking at most 30 seconds.","Listen to P.E. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to P.L. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to P.R. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to P.S. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to S.I. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to T.U. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to T.Y. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to V.I. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to W.C.H. read this passage. Based on his voice, rate his likely sexual orientation takingat most 30 seconds.","Listen to W.C.L. read this passage. Based on his voice, rate his likely sexual orientation takingat most 30 seconds.","Listen to W.H. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to W.T. read this passage. Based on his voice, rate his likely sexual orientation takingat most 30 seconds..","Listen to X.X. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to R.U. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to Q.I read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.",What is your year of birth?,What gender do you identify as,How would you describe your sexual orientation?,Did you speak English as a child?,How many gay men do you have as friends?,How many gay men do you have as acquaintances ?,"Use the slider to show religious you consider yourself, with 0 for Atheist and 10 for very religious - Click to write Choice 1",Score,id,Points
8/31/25 8:54,8/31/25 8:54,0,198.140.203.138,6,38,0,9/7/25 8:54,R_31cfF2AXROlcsuR,,,,,42.6508,-71.1607,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
9/9/25 19:17,9/9/25 19:37,0,198.140.203.138,100,1182,1,9/9/25 19:37,R_3WCOFu7XSudj6HR,,,,,42.6508,-71.1607,anonymous,EN,1,1,1,3,5,1,3,,5,3,1,1,1,3,1,4,5,1,4,1,1,1,1,1,1,1,2,5,1,3,1,4,5,1,1,5,4,5,2007,1,2,1,3,3,0,46.5,,0
9/9/25 20:08,9/14/25 19:38,0,100.0.177.147,100,430240,1,9/14/25 19:38,R_3Tw7sWphDoRFztQ,,,,,42.7117,-71.1663,anonymous,EN,1,1,2,2,5,4,1,5,5,3,1,2,1,3,1,4,5,1,5,1,5,2,1,2,5,1,3,5,3,3,4,5,5,2,2,1,5,2,2007,1,1,1,2,3,7,36,,0
9/18/25 19:31,9/18/25 19:38,0,75.214.154.129,100,414,1,9/18/25 19:38,R_3RNM54m9hgni9fH,,,,,40.7484,-73.862,anonymous,EN,1,3,2,5,3,1,4,4,3,1,4,2,3,4,5,3,1,3,5,2,4,3,3,2,4,3,3,3,3,3,3,3,2,3,4,4,1,4,2006,1,2,1,1,1,5,19,32694,0
9/18/25 19:46,9/18/25 19:48,0,75.214.154.129,100,173,1,9/18/25 19:48,R_5zBZi1cnV5x6XAo,,,,,40.7484,-73.862,anonymous,EN,1,3,3,1,4,1,4,5,4,3,3,1,2,1,3,5,1,3,4,3,3,1,4,2,5,4,4,5,3,2,1,1,4,5,1,3,1,4,2006,1,2,1,1,1,5,20.5,32694,0
9/18/25 19:50,9/18/25 19:50,0,75.214.154.129,100,7,1,9/18/25 19:50,R_5Cv6yzZ1Xrj47IF,,,,,40.7484,-73.862,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32694,
9/18/25 19:29,9/18/25 19:52,0,96.250.103.194,100,1383,1,9/18/25 19:52,R_5yfckOtSuMC6Kd3,,,,,40.6537,-73.7151,anonymous,EN,1,1,1,1,5,3,1,4,5,2,1,4,1,3,1,3,4,4,1,1,5,1,2,1,4,1,3,5,1,1,3,4,5,4,1,1,3,3,2006,2,2,1,1,1,8,28.5,32903,0
9/18/25 19:50,9/18/25 19:54,0,75.214.154.129,100,197,1,9/18/25 19:54,R_5YzwCI6lsmU1MSY,,,,,40.7484,-73.862,anonymous,EN,1,3,5,3,3,3,3,3,5,3,3,1,4,2,1,2,5,3,3,1,3,3,3,5,3,4,3,1,2,3,1,1,1,4,1,3,4,4,2006,1,2,1,1,1,4,27,32694,0
9/18/25 19:37,9/18/25 19:59,0,24.104.228.211,100,1292,1,9/18/25 19:59,R_6dPZmfZW2swwk48,,,,,40.705,-73.9038,anonymous,EN,1,1,1,1,5,1,3,5,5,5,2,3,,4,4,3,4,3,5,1,1,1,2,1,5,4,1,5,5,5,1,5,5,4,5,1,4,1,2005,1,2,1,2,1,4,26,32709,0
