MM,LQ,PP,MM,HZ,GA,D_M,A_B,AI,BO,BR,CA,DH,EX,GE,GO,HY,JF,LA,LS,NO,PE,PL,PR,PS,SI,TU,TY,VI,WCH,WCL,WH,WT,XX,RU,QI,listener_birth_year,listener_gender,listener_orientation,listener_english_child,listener_gay_friends,listener_gay_acquaintances,listener_religiosity
2.0,5.0,3.0,1.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,4.0,5.0,3.0,1.0,3.0,5.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,1.0,4.0,2006,1.0,2.0,1.0,1.0,1.0,5.0
3.0,1.0,4.0,1.0,4.0,5.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,5.0,1.0,3.0,4.0,3.0,3.0,1.0,4.0,2.0,5.0,4.0,4.0,5.0,3.0,2.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,4.0,2006,1.0,2.0,1.0,1.0,1.0,5.0
1.0,1.0,5.0,3.0,1.0,4.0,5.0,2.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0,4.0,1.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0,3.0,5.0,1.0,1.0,3.0,4.0,5.0,4.0,1.0,1.0,3.0,3.0,2006,2.0,2.0,1.0,1.0,1.0,8.0
5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,4.0,2.0,1.0,2.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,4.0,2006,1.0,2.0,1.0,1.0,1.0,4.0
1.0,1.0,5.0,1.0,3.0,5.0,5.0,5.0,2.0,3.0,,4.0,4.0,3.0,4.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,1.0,4.0,1.0,2005,1.0,2.0,1.0,2.0,1.0,4.0
1.0,3.0,5.0,1.0,1.0,4.0,5.0,2.0,1.0,4.0,1.0,4.0,4.0,4.0,5.0,5.0,3.0,1.0,3.0,1.0,4.0,1.0,5.0,1.0,3.0,5.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,02/07/2005,1.0,2.0,1.0,1.0,1.0,6.0
1.0,1.0,5.0,3.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,5.0,2.0,3.0,5.0,4.0,4.0,1.0,5.0,5.0,1.0,5.0,2.0,5.0,4.0,2003,2.0,2.0,1.0,1.0,2.0,5.0
1.0,1.0,5.0,3.0,1.0,1.0,5.0,4.0,1.0,5.0,1.0,3.0,1.0,3.0,5.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,5.0,1.0,2006,2.0,2.0,1.0,1.0,1.0,8.0
1.0,1.0,5.0,1.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,3.0,1.0,4.0,5.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,5.0,5.0,2.0,1.0,5.0,3.0,1.0,3.0,2.0,4.0,1.0,2005,2.0,2.0,1.0,2.0,2.0,7.0
1.0,2.0,5.0,5.0,1.0,3.0,5.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,5.0,5.0,5.0,1.0,4.0,2.0,3.0,1.0,5.0,3.0,1.0,5.0,5.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,2005,2.0,2.0,1.0,1.0,1.0,10.0
