a1,a2,a3,a4,a5,a6,a7,a8
2470.2,2487.6,2540.6,2630.2,2717.6,2875.7,3049,3006.6
2467,2613,2742.4,2789.5,2731.4,2892.1,2940.8,2964.7
2262.9,2315.1,2343.8,2423.3,2547.9,2643,2648.7,2713.7
2089.3,2126,2203.2,2363.1,2545.1,2482,2479.8,2530.5
2427.5,2418.8,2555.9,2683.1,2875,2986.7,3103.2,3138.3
2341.6,2428.9,2437.4,2705.1,2826.3,2872.2,2912.8,2921.9
2597,2601.2,2641.2,2741.7,2865.5,3106.1,3208,3303.4
2453.8,2436.4,2510.1,2686.8,2936.2,3169.7,3183.5,3209.9
2507.7,2543.6,2572.6,2606.6,2647.5,2709.5,2778,2973.6
2475.5,2606.4,2619.3,2694.6,2755.2,2832.4,2796.2,2798.5
2100.1,2325.9,2458.6,2507.6,2677,2685,2896.1,2929.5
2017.5,2049.5,2071.2,2137.8,2402.4,2569.9,2795.3,2683
1929.3,2030.5,2707.9,2796.8,2821.3,2826.5,2833.4,2842.6
2529.9,2564.9,2625,2688.4,2759.1,2825.2,3126.7,3400.3
2510.7,2607.9,2644.6,2744.6,2900.4,2943.2,2987.3,3047.7
2246.5,2412.2,2593.5,2631,2644.1,2707.6,2932.5,3188.2
2140.7,2295.9,2301.1,2601.2,2734.9,2735.5,2839.7,2889
2173.9,2280.2,2395.4,2541.8,2614.7,2680.1,2809.1,3033.2
2456.7,2509.9,2582.6,2677.2,2751,2821.5,2879.2,2892.4
2423.3,2433.2,2480.2,2549.3,2610.8,2672.8,2729.7,2816.3
2378.6,2587.2,2603.8,2602.7,2662.5,2773.2,2904.7,3045.7
2582.4,2592,2609.3,2628.1,2669.4,2713.8,2793.4,2937.5
2182.4,2351.6,2607.7,2812.1,2874.4,2918,2874.7,3132.1
2292.7,2471.9,2589.5,2629.2,2680.6,2742.1,2785.8,2806.2
2438.5,2512.4,2524.2,2543.7,2589.9,2656.3,2733.3,2747.9
2204.1,2265.3,2300.8,2363.9,2427.2,2505.1,2504.7,2600.4
2513.3,2525,2550,2580.6,2627.3,2702.8,2756.3,2818.4
2495.5,2617.4,2640.2,2586.4,2693.4,3018.9,3495.6,3551.7
2115.2,2186.9,2268.1,2400.6,2587.2,2690.5,2695.6,2754.7
2307,2347.6,2411,2660.6,2982.9,3016.7,2791.6,2903.1
1943.7,1987.5,2155,2408.3,2691.8,2587.7,2917.4,3012.1
1883.3,1894.9,1954.2,2151.9,2293.4,2471.4,2447,2676.5
2065.6,2165.9,2285.1,2347,2419.3,2481.6,2511.4,2527.7
2450,2462.7,2459.2,2471.3,2547.6,2654.8,2771.6,2967.4
2143.6,2383.8,2421.4,2481.1,2523.4,2588.4,2610.8,2606.7
1800.9,1834.9,1998.7,2077.1,2088.5,2097.6,2129.2,2181.2
2130.3,2589.9,2796.2,2822.6,2843.1,2925.8,3022.9,3272.9
2470.4,2489.3,2512.5,2566.7,2696,2914.5,3345.5,3527.4
2381.5,2449.9,2542.7,2615.5,2719.1,2829.6,2898.4,3044.2
1861.7,2118.6,2404.3,2556.9,2674.7,2745.7,2800.4,2971.5
2470.3,2480.9,2515.8,2657.6,2772.4,2901,3045.4,3165
2020.2,2123.7,2249.2,2397.4,2545,2671.1,2774.1,2757.6
2396.5,2479.3,2478,2536.7,2705,2904.8,3020.6,3100.2
2563.3,2569.3,2571.7,2768.3,2836.8,2884.7,2931.5,3002.3
2052.3,2196,2272.9,2322,2414.7,2434,2449.1,2463.5
2128.9,1975.7,2525.4,2800,2952.4,3035,3045.6,3032.4
2618.4,2582.3,2777.5,2897,2969.5,3021.4,3075.4,3116.8
2466.6,2555.2,2720.1,2845.8,2930.8,3011.5,3065.8,3099.9
2482.9,2595.2,2676.1,2746,2826.2,2960.4,2973.4,3290.7
2533.9,2635.1,2733.7,2793.6,2865.1,2974.8,3073.3,3120.9
1983.7,2235.7,2476.8,2677.3,2894,2928.3,2963.4,2980.3
2342.8,2434.7,2500.3,2579,2655.9,2697.7,2670.2,2851.8
2268.7,2292,2321.4,2349.7,2372.1,2354.8,2357.8,2690.3
2497.1,2520,2544.7,2567.2,2588.5,2607,2617.1,2613.4
2401,2402.1,2424.2,2472.5,2688.7,2867.5,3221.1,3537.4
2161.2,2240.3,2380.2,2552.4,2638.7,2744.9,2858.2,2984.2
2406.6,2419,2498.6,2698.2,2967.7,3255.4,3293.6,3326.8
2548.6,2562.7,2592.5,2636.2,2751.9,2873.6,3004.9,3242.2
2511.2,2522.3,2533.5,2564.2,2613.2,2678.3,2813.9,3114.2
2098.6,2130.1,2509.1,2605.8,2625.7,2659.2,2745.9,2866.5
2506.2,2496.3,2583.5,2608.8,2639.8,2715.9,2875.9,2892.6
2196.6,2223.2,2563.6,2930.1,3158.8,3269.7,3312.3,3269.6
2415.1,2616.2,2717.8,2872.7,2922.4,2978.2,3023.5,3084.4
2284.5,2465.6,2618.7,2707,2762.9,2786.2,2787.6,2777
2681.9,2693.1,2726.2,2839.3,2964.8,3035.2,3098.1,3161.4
2211.6,2279,2615.4,2701.5,2793.4,2831.1,2821.1,2822.9
2367.4,2384.4,2406.5,2468.5,2798.2,3116.7,3436.9,3461.7
2367.1,2372,2367.9,2459.1,2550.6,2673.6,2978.4,3477.2
2483.8,2497.9,2527.5,2595.2,2692.7,2796,2944.4,3068.9
2556.6,2584.5,2612.1,2602.2,2730.6,2816.4,2829.6,3117.6
2558.8,2582.4,2607.1,2626.7,2665.9,2703.3,2675.2,2710
2271.5,2496,2654.6,2732.8,2785.5,2839.9,2856.4,2856.9
1907.7,1910.9,1917.8,1935.8,1980,2007.9,2324.4,2771.9
2526.9,2537.7,2550.8,2648.1,2740.1,2861.1,3006.2,3354
2247.5,2256.4,2351.3,2464.2,2563.7,2678.4,2761.6,2734.7
2607.2,2631.3,2635.6,2674.5,2776.2,2875.6,3191.1,3396
2357.7,2392.1,2592.5,2731.8,3202.6,3345.2,3131.6,3240.2
2184.4,2355.6,2286.6,2474.1,2738.2,2841.9,2889.9,2898.6
1519.7,2158.6,2224.8,2163.2,2282.4,2539.9,2632.7,2650.7
2416.5,2422.2,2429.5,2438.8,2458.3,2485,2517.6,2551.5
2308.5,2295.1,2392.9,2790.9,3040.7,3135.3,3215.4,3328
1996.5,2449,2517.1,2619.9,2739.4,2859.6,3043.7,3264.4
2142.5,2193.6,2248.2,2320.5,2393.1,2423.7,2380.2,2461
2585.1,2612.3,2642.2,2739.1,2970.2,3082.6,3156,3267.2
2242.8,2254.7,2333.3,2472.5,2729.2,2926.3,2962.9,2941
2688.3,2700.4,2729.7,2751.6,2788.7,2834.8,2876.4,2914.1
2246,2256,2280.6,2321.2,2366.2,2356,2769.7,3454.5
2403,2566.8,2603.9,2645.4,2706.1,2786,2884.1,2933.1
2199.1,2592.3,2638.3,2668.6,2716.3,2779.5,2931.9,3017.5
2637.2,2761.7,2776,2813.6,2850.5,2883.7,3011,3027.5
1938.8,2027,2216.2,2523,2590.2,2781.4,2903.4,2938.3
2139.1,2316.5,2470.5,2518.9,2557.8,2484,2443.7,3180.6
2221.2,2275.3,2539.7,2734.2,2847.4,2929.2,2990.2,3071
2277.5,2290.5,2368.7,2505.8,2580.7,2633.7,2639.5,2617.1
2102.5,2137.5,2218.3,2307,2372.5,2396.6,2506.2,2967.8
2164.8,2145.9,2190.9,2259.3,2437.1,2584.3,2989,3054.2
2418.8,2531.6,2588.9,2676.3,2813.1,2909.9,3003.9,3124.5
2001.2,2347,2467.5,2554.7,2660.3,2823.1,3070.5,3160.8
2594.2,2608.2,2624,2634.4,2719.6,2979.4,3063.2,3182.7
2035,2084,2127.1,2169.2,2552.8,2891.7,3200.9,3365.3
2180.2,2203.8,2261.2,2232.4,2252.7,2688.9,2957.2,2971.8
2345.8,2351,2362.2,2354.1,2382.4,2442.7,2670.2,2783.6
2460.1,2625.4,2673.7,2677.3,2753.7,3040.3,3287.9,3329.4
2178.1,2564.3,2569.3,2575.7,2576.5,2629.9,2670.5,2733.3
2429.2,2441.9,2454.2,2434.5,2515.4,2686,2750,2782.2
2387.9,2537.2,2527.1,2537.8,2645.3,2764.2,2892.3,2993.7
1937.6,2216.4,2171,2207.8,2790,2984.7,2979.8,3022.2
1666.6,2317.9,2795,2877.3,2778.5,2830.2,3166.4,3198.7
2251,2368,2398,2399.9,2445.2,2548.8,2664.6,3095.8
1993.9,2139,2158.5,2169.8,2264.6,2429.4,2713.7,2894.5
2098.6,2112.5,2141.4,2169.6,2127.4,2838.6,2962.9,2635.1
2347,2492.5,2558.5,2497.7,2605,2703.6,2743.8,2757.9
2371.8,2408.5,2432.3,2443.5,2437.5,2643.5,2764.7,2976.4
2100.6,2188.3,2259.4,2268.9,2355.7,2409.4,2451.1,2493
2323.3,2644.2,2724.7,2758.2,2724.7,2838.1,3014.8,3122.3
2097.6,2108.6,2155,2165.9,2197.4,2275.4,2379.5,2522.4
2119.4,2169.2,2214.7,2169.4,2196.3,2457.6,2620.5,2638
2490.7,2504.8,2539.7,2425.7,2589.6,2711.8,2729.4,2736.1
2441.9,2496.8,2563.4,2629.4,2649.5,2699.7,3043,3183
1960.6,2289.7,2564.8,2654.1,2725.8,2589.3,2808.3,3295.4
