file,c11,c21,c31,c12,c22,c32
AB_0001,444.2,1419.3,2487.6,-9.1,-9.4,-32.3
AB_0002,478.1,786.1,2467,0,-81.1,51.8
AB_0003,472.7,1627.1,2315.1,9.6,-228.1,31.7
AB_0004,489.9,1195.9,2089.3,-18.7,209.8,-82.6
AB_0005,635.3,1689.2,2555.9,44.8,-22.2,-7
AB_0006,468.2,1506.1,2428.9,-10.5,49.8,30.3
AB_0007,345.4,2001.6,2601.2,-46.1,126.6,102
AB_0008,352.6,1876.7,2436.4,44.6,-162,-15.4
AB_0009,574.4,1230.9,2543.6,0.9,147.3,62.8
AB_0010,543,863.5,2475.5,15.1,-52.9,399
AB_0011,578.9,1409.1,2325.9,-15.8,24.8,-356
AB_0012,540.9,1147.4,2017.5,-38.4,52.1,213.3
AB_0013,695.2,1218.7,2833.4,-4.3,240.3,-36
AB_0014,546.1,1181.6,2564.9,10.6,109.1,194.3
AB_0015,496.8,1821.2,2943.2,57,-298.1,-135.9
AB_0016,804,1444.9,2593.5,9.8,109.9,243.3
AB_0017,534,969.8,2140.7,42.7,-91,-50
AB_0018,666.8,1387.7,2173.9,-22.8,23.7,-122
AB_0019,524.5,1509.6,2456.7,-20.2,24.9,175.3
AB_0020,569.3,1587.5,2549.3,132.7,-72.2,-86.9
AB_0021,560.6,1592.7,2603.8,59.5,2.3,39.3
AB_0022,462.4,1648,2582.4,6.5,-23,8.8
AB_0023,366.1,1828.3,2918,-85.8,102.6,39.6
AB_0024,627,1476.5,2589.5,-13.2,-81.8,-36.1
AB_0025,567.9,1466.8,2512.4,-24.7,43.5,102.2
AB_0026,587.6,1163,2300.8,-95.7,-268.4,-194.1
AB_0027,429.6,1768.5,2580.6,-14.2,112,124.3
AB_0028,432.1,1543.8,2640.2,2,-15.9,16.5
AB_0029,588.8,1118.7,2115.2,-32.5,4.5,-50.9
AB_0030,633.3,1050.9,2347.6,-62.4,187.1,161.6
AB_0031,520.6,1760.4,2917.4,-16.4,-334.2,-32.7
AB_0032,501.2,1251.2,2293.4,6.4,391.4,422.6
AB_0033,669.1,1423.5,2285.1,-14.3,-17.3,-221.7
AB_0034,406.2,1616,2462.7,21.6,-17.4,20.2
AB_0035,539.8,1449.4,2481.1,67.3,-195.1,68.3
AB_0036,471.3,886.1,2077.1,24.8,348.1,289.4
AB_0037,336.2,1637.4,2796.2,4.4,19.7,-55
AB_0038,452.9,1326.5,2489.3,20.4,-14.3,7
AB_0039,649.1,1548.2,2542.7,-58.9,110.7,134.6
AB_0040,420.9,1656.8,2745.7,-40.7,69.9,311.4
AB_0041,405.2,1674,2480.9,34.6,54,148.2
AB_0042,499.4,1028.3,2020.2,20.1,-159.7,141.6
AB_0043,585.6,1618.8,2536.7,-14.7,144.6,129
AB_0044,448.2,1930,2563.3,-37.9,20.2,17
AB_0045,562.5,1596.1,2414.7,94,-95.7,-80.4
AB_0046,815.9,1456.2,3035,10.9,126,145.2
AB_0047,753.7,1329.4,2618.4,-24.2,-124.1,133.3
AB_0048,376.7,2209,3065.8,20.7,-30.3,3.3
AB_0049,423.7,1523.6,2595.2,42.2,56.6,-109.2
AB_0050,677.7,1583.7,2635.1,-91.9,220.7,46.3
AB_0051,450.5,1353.7,1983.7,-36.5,260.9,-99.7
AB_0052,415.4,2011.4,2670.2,-43.9,255.8,64.5
AB_0053,437.9,1488.1,2357.8,45,-99.8,90.7
AB_0054,563.2,1646.6,2497.1,10.9,-56.9,-9
AB_0055,514.6,1249.9,2424.2,5.3,132.8,166.7
AB_0056,730.1,1493.6,2552.4,-58.1,33.4,60.8
AB_0057,547.9,1628.3,2406.6,195.9,-166.7,10.4
AB_0058,476,1519.8,2592.5,-25.4,42.6,-42.9
AB_0059,467.4,1542.8,2522.3,-1.8,-76.3,-0.7
AB_0060,587.2,1506.9,2509.1,32.8,7.8,103
AB_0061,435.3,1382.5,2639.8,-5.9,-215.2,65.6
AB_0062,593.4,1429.1,3312.3,-64.1,-3,-143.8
AB_0063,588.7,890.9,2616.2,-6.2,-1.2,39.2
AB_0064,372.7,1742.7,2707,19.7,-27.5,-57.9
AB_0065,613.9,1490.4,2681.9,57.9,90.9,-42.2
