,JC1 ,LQ2,PP3,MM4,HZ5,GA6,DM7,AB8 ,AI9 ,BO10,BR11 ,CA12 ,DH13,EX14,GE15 ,GO16 ,HY17,JF18,LA19 ,LS20,NO21,PE22 ,PL23 ,PR24 ,PS25 ,SI26,TU27 ,TY28 ,VI29,WCH30,WCL31,WH32,WT33,XX34 ,RU35 ,QI36,Q41,Q42,Q43,Q44,Q45,Q46,Q84_1,SC0
,"Listen to J.C. read this passage. Based on his voice, rate his likely sexual orientation taking...","Listen to L.Q. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to P.P. read this passage. Based on his voice, rate his likely sexual orientation taking a...","Listen to M.M. read this passage. Based on his voice, rate his likely sexual orientation taking  at most 30 seconds.","Listen to H.Z. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to G.A. read this passage. Based on his voice, rate his likely sexual orientation taking  at most 30 seconds.","Listen to D. M. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to A. B. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to A.I. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to B.O. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to B.R. read this passage. Based on his voice, rate his likely sexual orientation taking  at most 30 seconds.","Listen to C.A. read this passage. Based on his voice, rate his likely sexual orientation taking taking at most 30 seconds.","Listen to D.H. read this passage. Based on his voice, rate his likely sexual orientation taking taking  at most 30 seconds.","Listen to E.X. read this passage. Based on his voice, rate his likely sexual orientation taking taking  at most 30 seconds.","Listen to G.E. read this passage. Based on his voice, rate his likely sexual orientation taking taking  at most 30 seconds.","Listen to G.O. read this passage. Based on his voice, rate his likely sexual orientation taking taking  at most 30 seconds.","Listen to H.Y. read this passage. Based on his voice, rate his likely sexual orientation taking taking at most 30 seconds.","Listen to J.F. read this passage. Based on his voice, rate his likely sexual orientation taking taking  taking at most 30 seconds.","Listen to L.A. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to L.S. read this passage. Based on his voice, rate his likely sexual orientation taking taking  at most 30 seconds.","Listen to N.O. read this passage. Based on his voice, rate his likely sexual orientation taking taking at most 30 seconds.","Listen to P.E. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to P.L. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to P.R. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to P.S. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to S.I. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to T.U. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to T.Y. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to V.I. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to W.C.H. read this passage. Based on his voice, rate his likely sexual orientation takingat most 30 seconds.","Listen to W.C.L. read this passage. Based on his voice, rate his likely sexual orientation takingat most 30 seconds.","Listen to W.H. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to W.T. read this passage. Based on his voice, rate his likely sexual orientation takingat most 30 seconds..","Listen to X.X. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to R.U. read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.","Listen to Q.I read this passage. Based on his voice, rate his likely sexual orientation taking at most 30 seconds.",What is your year of birth?,"What gender do you identify as? (Male = 1, Female = 2)","How would you describe your sexual orientation? (gay/lesbian = 1, straight = 2, bi/pan = 3, 4 = other, 5 = prefer not to say)","Did you speak English as a child? (Yes = 1, No = 2)","How many gay men do you have as friends? (1 = none, 2 = 1-2, 3 = 3 or more)","How many gay men do you have as acquaintances? (1 = none, 2 = 1-2, 3 = 3 or more)","Use the slider to show religious you consider yourself, with 0 for Atheist and 10 for very religious - Click to write Choice 1",Score
,2,5,3,1,4,4,3,1,4,2,3,4,5,3,1,3,5,2,4,3,3,2,4,3,3,3,3,3,3,3,2,3,4,4,1,4,2006,1,2,1,1,1,5,19
,3,1,4,1,4,5,4,3,3,1,2,1,3,5,1,3,4,3,3,1,4,2,5,4,4,5,3,2,1,1,4,5,1,3,1,4,2006,1,2,1,1,1,5,20.5
,1,1,5,3,1,4,5,2,1,4,1,3,1,3,4,4,1,1,5,1,2,1,4,1,3,5,1,1,3,4,5,4,1,1,3,3,2006,2,2,1,1,1,8,28.5
,5,3,3,3,3,3,5,3,3,1,4,2,1,2,5,3,3,1,3,3,3,5,3,4,3,1,2,3,1,1,1,4,1,3,4,4,2006,1,2,1,1,1,4,27
,1,1,5,1,3,5,5,5,2,3,,4,4,3,4,3,5,1,1,1,2,1,5,4,1,5,5,5,1,5,5,4,5,1,4,1,2005,1,2,1,2,1,4,26
,1,3,5,1,1,4,5,2,1,4,1,4,4,4,5,5,3,1,3,1,4,1,5,1,3,5,3,5,1,3,3,3,3,1,3,4,2005,1,2,1,1,1,6,29.5
,1,1,5,3,3,3,5,2,1,1,1,3,1,3,4,2,3,3,3,1,1,1,5,2,3,5,4,4,1,5,5,1,5,2,5,4,2003,2,2,1,1,2,5,34.5
,1,1,5,3,1,1,5,4,1,5,1,3,1,3,5,1,3,1,3,1,4,2,3,1,3,5,3,1,3,4,3,1,1,1,5,1,2006,2,2,1,1,1,8,30
,1,1,5,1,1,4,5,1,1,5,1,3,1,4,5,4,1,1,4,2,1,1,3,1,2,5,5,2,1,5,3,1,3,2,4,1,2005,2,2,1,2,2,7,30.5
