timestamp,note,k,C,model,accuracy,n_correct,n_total,classes,confusion_matrix,elapsed_s
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,0.1,Binary: straight vs. non-straight,0.56,28,50,"[0, 1]","[[13, 14], [8, 15]]",3.59
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,0.1,3-class: straight / bi / gay,0.18,9,50,"[0, 1, 2]","[[8, 4, 11], [7, 1, 5], [7, 7, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,0.1,Ordinal 1-5: attraction scale,0.2,10,50,"[1, 2, 3, 4, 5]","[[8, 0, 3, 0, 11], [1, 0, 1, 1, 2], [3, 1, 0, 1, 0], [0, 0, 1, 1, 3], [5, 3, 3, 1, 1]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,0.3,Binary: straight vs. non-straight,0.54,27,50,"[0, 1]","[[15, 12], [11, 12]]",0.04
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,0.3,3-class: straight / bi / gay,0.2,10,50,"[0, 1, 2]","[[8, 3, 12], [7, 2, 4], [7, 7, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,0.3,Ordinal 1-5: attraction scale,0.2,10,50,"[1, 2, 3, 4, 5]","[[9, 1, 1, 2, 9], [1, 0, 0, 2, 2], [3, 1, 0, 1, 0], [0, 0, 1, 1, 3], [4, 5, 4, 0, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,0.5,Binary: straight vs. non-straight,0.52,26,50,"[0, 1]","[[15, 12], [12, 11]]",0.04
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,0.5,3-class: straight / bi / gay,0.22,11,50,"[0, 1, 2]","[[9, 3, 11], [6, 2, 5], [8, 6, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,0.5,Ordinal 1-5: attraction scale,0.2,10,50,"[1, 2, 3, 4, 5]","[[9, 1, 1, 3, 8], [1, 0, 0, 2, 2], [3, 2, 0, 0, 0], [0, 1, 1, 1, 2], [5, 5, 3, 0, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,0.7,Binary: straight vs. non-straight,0.52,26,50,"[0, 1]","[[15, 12], [12, 11]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,0.7,3-class: straight / bi / gay,0.2,10,50,"[0, 1, 2]","[[8, 5, 10], [5, 2, 6], [7, 7, 0]]",0.04
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,0.7,Ordinal 1-5: attraction scale,0.2,10,50,"[1, 2, 3, 4, 5]","[[9, 1, 2, 2, 8], [1, 0, 0, 2, 2], [3, 2, 0, 0, 0], [0, 1, 1, 1, 2], [5, 5, 3, 0, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,1.0,Binary: straight vs. non-straight,0.54,27,50,"[0, 1]","[[15, 12], [11, 12]]",0.04
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,1.0,3-class: straight / bi / gay,0.18,9,50,"[0, 1, 2]","[[8, 4, 11], [6, 1, 6], [7, 7, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",10,1.0,Ordinal 1-5: attraction scale,0.18,9,50,"[1, 2, 3, 4, 5]","[[8, 0, 2, 3, 9], [1, 0, 2, 1, 1], [3, 2, 0, 0, 0], [0, 1, 1, 1, 2], [4, 5, 4, 0, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,0.1,Binary: straight vs. non-straight,0.48,24,50,"[0, 1]","[[13, 14], [12, 11]]",0.04
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,0.1,3-class: straight / bi / gay,0.24,12,50,"[0, 1, 2]","[[9, 4, 10], [5, 3, 5], [7, 7, 0]]",0.04
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,0.1,Ordinal 1-5: attraction scale,0.14,7,50,"[1, 2, 3, 4, 5]","[[6, 3, 1, 1, 11], [2, 0, 0, 1, 2], [3, 1, 0, 1, 0], [1, 3, 0, 0, 1], [2, 6, 3, 1, 1]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,0.3,Binary: straight vs. non-straight,0.48,24,50,"[0, 1]","[[14, 13], [13, 10]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,0.3,3-class: straight / bi / gay,0.2,10,50,"[0, 1, 2]","[[7, 7, 9], [6, 3, 4], [8, 6, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,0.3,Ordinal 1-5: attraction scale,0.2,10,50,"[1, 2, 3, 4, 5]","[[9, 3, 2, 1, 7], [2, 0, 0, 1, 2], [3, 2, 0, 0, 0], [1, 3, 1, 0, 0], [3, 6, 3, 0, 1]]",0.06
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,0.5,Binary: straight vs. non-straight,0.44,22,50,"[0, 1]","[[13, 14], [14, 9]]",0.08
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,0.5,3-class: straight / bi / gay,0.24,12,50,"[0, 1, 2]","[[8, 7, 8], [6, 4, 3], [8, 6, 0]]",0.05
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,0.5,Ordinal 1-5: attraction scale,0.2,10,50,"[1, 2, 3, 4, 5]","[[10, 2, 1, 1, 8], [2, 0, 1, 1, 1], [3, 2, 0, 0, 0], [1, 2, 2, 0, 0], [4, 6, 3, 0, 0]]",0.06
20260515_152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",15,0.7,Binary: straight vs. non-straight,0.42,21,50,"[0, 1]","[[13, 14], [15, 8]]",0.06
