run_id,date,time,note,model,k,C,accuracy,n_correct,n_total,chance_baseline,above_chance,confusion_matrix,elapsed_s
1,20260515,142954,first run: no class balancing so majority rules,Binary,,,0.48,24,50,0.50,False,"[[24, 3], [23, 0]]",3.39
2,20260515,142954,first run: no class balancing so majority rules,3-class,,,0.42,21,50,0.46,False,"[[21, 1, 1], [13, 0, 0], [14, 0, 0]]",0.05
3,20260515,142954,first run: no class balancing so majority rules,Ordinal,,,0.42,21,50,0.20,True,"[[21, 0, 0, 0, 1], [5, 0, 0, 0, 0], [5, 0, 0, 0, 0], [5, 0, 0, 0, 0], [13, 0, 0, 0, 0]]",0.05
4,20260515,143610,"switched SVC kernel from rbf to linear, C=1.0 to 0.1, and class_weight balanced to reduce overfitting and guessing something other than straight",Binary,,,0.38,19,50,0.50,False,"[[9, 18], [13, 10]]",3.72
5,20260515,143610,"switched SVC kernel from rbf to linear, C=1.0 to 0.1, and class_weight balanced to reduce overfitting and guessing something other than straight",3-class,,,0.28,14,50,0.46,False,"[[8, 8, 7], [7, 3, 3], [9, 2, 3]]",0.05
6,20260515,143610,"switched SVC kernel from rbf to linear, C=1.0 to 0.1, and class_weight balanced to reduce overfitting and guessing something other than straight",Ordinal,,,0.18,9,50,0.20,False,"[[8, 3, 2, 1, 8], [2, 0, 1, 1, 1], [1, 0, 0, 2, 2], [1, 1, 3, 0, 0], [6, 3, 3, 0, 1]]",0.05
7,20260515,144103,Using PCA with n_components=10 to reduce noise. SVC parameters same.,Binary,,,0.56,28,50,0.50,True,"[[15, 12], [10, 13]]",3.77
8,20260515,144103,Using PCA with n_components=10 to reduce noise. SVC parameters same.,3-class,,,0.34,17,50,0.46,False,"[[12, 6, 5], [6, 3, 4], [7, 5, 2]]",0.05
9,20260515,144103,Using PCA with n_components=10 to reduce noise. SVC parameters same.,Ordinal,,,0.22,11,50,0.20,True,"[[7, 4, 3, 2, 6], [3, 1, 1, 0, 0], [1, 0, 0, 2, 2], [0, 2, 2, 1, 0], [5, 1, 5, 0, 2]]",0.05
10,20260515,144332,"Using PCA with n_components=5. linear, C=0.1, balanced",Binary,,,0.34,17,50,0.50,False,"[[8, 19], [14, 9]]",3.77
11,20260515,144332,"Using PCA with n_components=5. linear, C=0.1, balanced",3-class,,,0.34,17,50,0.46,False,"[[8, 8, 7], [3, 5, 5], [6, 4, 4]]",0.06
12,20260515,144332,"Using PCA with n_components=5. linear, C=0.1, balanced",Ordinal,,,0.20,10,50,0.20,False,"[[3, 3, 0, 6, 10], [2, 1, 0, 2, 0], [1, 0, 0, 2, 2], [0, 3, 0, 1, 1], [3, 2, 1, 2, 5]]",0.06
13,20260515,144540,"PCA with n_components=15. linear, C=0.1, balanced",Binary,,,0.58,28,50,0.50,True,"[[18, 9], [12, 11]]",3.77
14,20260515,144540,"PCA with n_components=15. linear, C=0.1, balanced",3-class,,,0.32,16,50,0.46,False,"[[13, 7, 3], [5, 3, 5], [7, 7, 0]]",0.06
15,20260515,144540,"PCA with n_components=15. linear, C=0.1, balanced",Ordinal,,,0.20,10,50,0.20,False,"[[9, 3, 1, 3, 6], [3, 0, 2, 0, 0], [1, 0, 0, 3, 1], [1, 1, 3, 0, 0], [6, 1, 5, 0, 1]]",0.05
16,20260515,145005,"Random Forest with n_estimators=500, balanced, state=42",Binary,,,0.38,19,50,0.50,False,"[[15, 12], [19, 4]]",8.33
17,20260515,145005,"Random Forest with n_estimators=500, balanced, state=42",3-class,,,0.36,18,50,0.46,False,"[[18, 5, 0], [13, 0, 0], [13, 1, 0]]",4.45
18,20260515,145005,"Random Forest with n_estimators=500, balanced, state=42",Ordinal,,,0.32,16,50,0.20,True,"[[16, 1, 0, 1, 4], [4, 0, 1, 0, 0], [5, 0, 0, 0, 0], [5, 0, 0, 0, 0], [13, 0, 0, 0, 0]]",4.36
19,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,10,0.1,0.56,28,50,0.50,True,"[[13, 14], [8, 15]]",3.59
20,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,10,0.1,0.18,9,50,0.46,False,"[[8, 4, 11], [7, 1, 5], [7, 7, 0]]",0.05
21,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,10,0.1,0.20,10,50,0.20,False,"[[8, 0, 3, 0, 11], [1, 0, 1, 1, 2], [3, 1, 0, 1, 0], [0, 0, 1, 1, 3], [5, 3, 3, 1, 1]]",0.05
22,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,10,0.3,0.54,27,50,0.50,True,"[[15, 12], [11, 12]]",0.04
23,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,10,0.3,0.20,10,50,0.46,False,"[[8, 3, 12], [7, 2, 4], [7, 7, 0]]",0.05
24,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,10,0.3,0.20,10,50,0.20,False,"[[9, 1, 1, 2, 9], [1, 0, 0, 2, 2], [3, 1, 0, 1, 0], [0, 0, 1, 1, 3], [4, 5, 4, 0, 0]]",0.05
25,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,10,0.5,0.52,26,50,0.50,True,"[[15, 12], [12, 11]]",0.04
26,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,10,0.5,0.22,11,50,0.46,False,"[[9, 3, 11], [6, 2, 5], [8, 6, 0]]",0.05
27,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,10,0.5,0.20,10,50,0.20,False,"[[9, 1, 1, 3, 8], [1, 0, 0, 2, 2], [3, 2, 0, 0, 0], [0, 1, 1, 1, 2], [5, 5, 3, 0, 0]]",0.05
28,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,10,0.7,0.52,26,50,0.50,True,"[[15, 12], [12, 11]]",0.05
29,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",3-class,10,0.7,0.20,10,50,0.46,False,"[[8, 5, 10], [5, 2, 6], [7, 7, 0]]",0.04
30,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Ordinal,10,0.7,0.20,10,50,0.20,False,"[[9, 1, 2, 2, 8], [1, 0, 0, 2, 2], [3, 2, 0, 0, 0], [0, 1, 1, 1, 2], [5, 5, 3, 0, 0]]",0.05
31,20260515,152844,"Batching k = 10, 15, 20 and C value range with SelectKBest. Linear, balanced",Binary,10,1.0,0.54,27,50,0.50,True,"[[15, 12], [11, 12]]",0.04
