feature,binary_rank,binary_f_score,binary_p_value,threeclass_rank,threeclass_f_score,threeclass_p_value,ordinal_rank,ordinal_f_score,ordinal_p_value,avg_rank,top10_count
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,1,3.5654532426790304,0.0650455670128377,1,2.310476662885993,0.1103794368286982,2,2.803615179315722,0.0367420722641169,1.33,3
mfcc1_sma3_amean,2,3.2418586799681552,0.0780643358967734,3,1.5975108547312145,0.2131937511353031,7,1.9433301012163189,0.1196339037784544,4.0,3
jitterLocal_sma3nz_amean,3,3.132512772687836,0.0830971027132208,4,1.5359333175796177,0.225863362216186,5,2.4601132673165536,0.0588451348970344,4.0,3
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,5,2.720857082077708,0.1055749245850717,6,1.4808387207445322,0.2378646466033825,6,2.283988980437195,0.0749598236603003,5.67,3
mfcc2_sma3_stddevNorm,17,0.9895263747638572,0.3248465622180192,2,1.64480668038665,0.2039668974096921,4,2.608294410866044,0.0480130000080764,7.67,2
loudness_sma3_percentile20.0,6,2.4063723778016524,0.1274111832189287,11,1.199691993878535,0.3103441970806604,10,1.1991248506002343,0.3243321271856638,9.0,2
VoicedSegmentsPerSec,4,3.061864872924268,0.0865405225713394,5,1.5212122968289097,0.2290069121323459,23,0.8980296262392603,0.4731167918122145,10.67,2
logRelF0-H1-H2_sma3nz_stddevNorm,7,2.1021256301035582,0.153597525724849,8,1.3817831267416474,0.2611436706103894,17,0.9967089230982606,0.4192403857113395,10.67,2
F3frequency_sma3nz_stddevNorm,8,1.8507603821153256,0.1800496435874237,7,1.4125674962426027,0.2536648472306046,20,0.9494615456626312,0.4444045564266147,11.67,2
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,11,1.6143587947335796,0.2100040965897527,12,1.180446879513551,0.3160813095448948,16,1.0101741239858866,0.4122811011486363,13.0,0
mfcc1V_sma3nz_amean,13,1.4136670881713544,0.2402974371751736,26,0.7526444632149999,0.4767118076781398,8,1.3506414506526447,0.2661169765633395,15.67,1
logRelF0-H1-A3_sma3nz_stddevNorm,37,0.441313911337766,0.5096677987412881,9,1.2334164121400977,0.3005510114189877,1,2.876019879432541,0.0332807650897196,15.67,2
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,12,1.5149869319662788,0.2243770804371124,27,0.7478312966119514,0.478940509095033,12,1.122647094695038,0.3577830291216987,17.0,0
logRelF0-H1-H2_sma3nz_amean,10,1.655900120482679,0.2043292439583206,22,0.8108363869523033,0.4506061360221991,27,0.8110751063779821,0.5247470114685745,19.67,1
slopeV500-1500_sma3nz_amean,25,0.6940690581013796,0.4089101770804375,25,0.763656568313131,0.4716533049818412,15,1.022059960607081,0.4062160825811657,21.67,0
loudness_sma3_stddevRisingSlope,16,1.0319530631928049,0.3147936762174569,21,0.8188351337013687,0.4471360682534816,33,0.6560860641876531,0.6256776696549516,23.33,0
F2frequency_sma3nz_stddevNorm,15,1.1373285119630012,0.2915523834561883,20,0.8204080635964618,0.4464569739066578,38,0.5981695743963029,0.6658363824150272,24.33,0
mfcc1_sma3_stddevNorm,24,0.7676698693293876,0.3853026558883776,32,0.5739411576128635,0.5671993030585742,19,0.9670262056261186,0.434913935163033,25.0,0
F1frequency_sma3nz_stddevNorm,38,0.4293448918653453,0.5154387421865754,15,1.0213749611725649,0.3679523103293373,31,0.7374121473079012,0.5713915636776474,28.0,0
logRelF0-H1-A3_sma3nz_amean,21,0.9237208993316692,0.3413166161187935,23,0.8006713702613554,0.4550565442466403,43,0.5314575600637846,0.7132171109957876,29.0,0
F1frequency_sma3nz_amean,20,0.9292837767397768,0.339880784220124,33,0.5662439612311193,0.5714777999516079,42,0.5495811039585368,0.7002554517154564,31.67,0
HNRdBACF_sma3nz_amean,31,0.5649608706233151,0.4559380917720469,55,0.3010444678675885,0.7414611381394062,11,1.1367447560034305,0.3514018875320277,32.33,0
HNRdBACF_sma3nz_stddevNorm,9,1.6970541480286705,0.1988891960251303,19,0.8345909368932126,0.4403820251386131,70,0.3606683053296971,0.8352561142871588,32.67,1
