rank,feature,f_score,p_value
1,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,2.310476662885993,0.11037943682869829
2,mfcc2_sma3_stddevNorm,1.6448066803866501,0.20396689740969212
3,mfcc1_sma3_amean,1.5975108547312145,0.21319375113530326
4,jitterLocal_sma3nz_amean,1.5359333175796175,0.2258633622161857
5,VoicedSegmentsPerSec,1.5212122968289097,0.22900691213234575
6,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,1.4808387207445322,0.2378646466033823
7,F3frequency_sma3nz_stddevNorm,1.4125674962426027,0.2536648472306042
8,logRelF0-H1-H2_sma3nz_stddevNorm,1.3817831267416474,0.26114367061038957
9,logRelF0-H1-A3_sma3nz_stddevNorm,1.2334164121400977,0.30055101141898766
10,slopeV0-500_sma3nz_stddevNorm,1.2232209826817186,0.3034772021797756
11,loudness_sma3_percentile20.0,1.1996919938785353,0.3103441970806611
12,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1.180446879513551,0.31608130954489444
13,spectralFlux_sma3_stddevNorm,1.142327936761007,0.3277736538208697
14,F2bandwidth_sma3nz_stddevNorm,1.044280975675774,0.3599667483790096
15,F1frequency_sma3nz_stddevNorm,1.0213749611725649,0.3679523103293373
16,F3bandwidth_sma3nz_stddevNorm,0.9941669978754434,0.3776781961539469
17,alphaRatioV_sma3nz_stddevNorm,0.8655443580542417,0.4274211199168491
18,spectralFluxV_sma3nz_stddevNorm,0.8465528906228129,0.43532536919613024
19,HNRdBACF_sma3nz_stddevNorm,0.8345909368932126,0.44038202513861363
20,F2frequency_sma3nz_stddevNorm,0.8204080635964618,0.4464569739066574
21,loudness_sma3_stddevRisingSlope,0.8188351337013687,0.44713606825348245
22,logRelF0-H1-H2_sma3nz_amean,0.8108363869523033,0.4506061360221997
23,logRelF0-H1-A3_sma3nz_amean,0.8006713702613554,0.45505654424663994
24,F1bandwidth_sma3nz_stddevNorm,0.7859389210464917,0.4615881491359222
25,slopeV500-1500_sma3nz_amean,0.763656568313131,0.4716533049818413
26,mfcc1V_sma3nz_amean,0.7526444632149999,0.47671180767814003
27,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.7478312966119514,0.4789405090950333
28,mfcc4_sma3_stddevNorm,0.7244225201112634,0.48993570692580013
29,mfcc4V_sma3nz_amean,0.6678566156085479,0.5176051338523082
30,MeanVoicedSegmentLengthSec,0.6128461097280743,0.5460791737231264
31,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.599992906443551,0.5529645205318632
32,mfcc1_sma3_stddevNorm,0.5739411576128635,0.5671993030585749
33,F1frequency_sma3nz_amean,0.5662439612311193,0.5714777999516075
34,mfcc2V_sma3nz_stddevNorm,0.5536418286840089,0.5785555017494617
35,loudness_sma3_meanRisingSlope,0.5273108902273311,0.5936402246661133
36,jitterLocal_sma3nz_stddevNorm,0.4747394454691915,0.6249973949572998
37,StddevVoicedSegmentLengthSec,0.47212679896116205,0.6266000967974018
38,hammarbergIndexV_sma3nz_stddevNorm,0.4706541446185751,0.6275053695487206
39,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.4637080254080921,0.6317937208530708
40,equivalentSoundLevel_dBp,0.45224811249140484,0.6389356828615338
41,F1bandwidth_sma3nz_amean,0.42905656171625256,0.6536476760876277
42,loudness_sma3_stddevNorm,0.3752191982961943,0.6891783507318493
43,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.36458692080103294,0.6964302225297212
44,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.3585659024312804,0.7005721698074
45,mfcc4_sma3_amean,0.3530866360414709,0.7043637590739287
46,F2amplitudeLogRelF0_sma3nz_amean,0.3457816675208536,0.7094520166455434
47,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.34401412981239776,0.7106889389755345
48,spectralFluxV_sma3nz_amean,0.333916185758942,0.7177987219090458
49,mfcc3_sma3_stddevNorm,0.33291786831479825,0.718505636030785
50,mfcc3V_sma3nz_amean,0.32928838732510185,0.721081813844353
51,F1amplitudeLogRelF0_sma3nz_amean,0.3265607401163874,0.723024213837156
52,hammarbergIndexUV_sma3nz_amean,0.32084395776126096,0.7271129416647258
53,spectralFlux_sma3_amean,0.3190789605535798,0.7283801583313765
54,F3amplitudeLogRelF0_sma3nz_amean,0.30428890910524226,0.7390898999724451
55,HNRdBACF_sma3nz_amean,0.30104446786758854,0.7414611381394052
56,hammarbergIndexV_sma3nz_amean,0.29331114080697795,0.7471451704411809
57,mfcc1V_sma3nz_stddevNorm,0.29020109542183997,0.7494438599341161
58,alphaRatioV_sma3nz_amean,0.2874457279870761,0.7514865605393586
59,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.2800886170934626,0.7569692697553125
60,mfcc3V_sma3nz_stddevNorm,0.27354980788922656,0.7618771632885901
61,shimmerLocaldB_sma3nz_amean,0.268679563536517,0.765554216730488
62,F2frequency_sma3nz_amean,0.2597598636515447,0.7723366770960465
63,loudness_sma3_percentile80.0,0.24971743943038052,0.7800478762639307
64,F3frequency_sma3nz_amean,0.2486450413002704,0.7808760605248345
65,loudness_sma3_meanFallingSlope,0.24735870933552143,0.7818706695463851
66,F2bandwidth_sma3nz_amean,0.23087655768488258,0.7947324163265408
67,loudness_sma3_stddevFallingSlope,0.22249563427704816,0.8013568283328204
68,loudness_sma3_amean,0.22094547694559535,0.8025883921079868
69,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.2194685049720276,0.8037636476240273
70,loudness_sma3_pctlrange0-2,0.21157889451463296,0.8100720271213584
71,mfcc3_sma3_amean,0.2112689071906224,0.8103209383638519
72,alphaRatioUV_sma3nz_amean,0.2094333712690944,0.8117964577886979
73,slopeUV500-1500_sma3nz_amean,0.18870052519392957,0.828658673079674
74,F0semitoneFrom27.5Hz_sma3nz_amean,0.17056085730469148,0.8437113220219882
75,shimmerLocaldB_sma3nz_stddevNorm,0.16905942484617886,0.8449699474414155
76,spectralFluxUV_sma3nz_amean,0.11643731905239511,0.890341833206639
77,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.10881649692657545,0.8971202794104343
78,loudness_sma3_percentile50.0,0.1022977749295194,0.9029611380950303
79,mfcc4V_sma3nz_stddevNorm,0.0957468491715754,0.908870803706848
80,mfcc2_sma3_amean,0.09186574811742539,0.9123909981011343
81,mfcc2V_sma3nz_amean,0.08382214812556298,0.9197319500311725
82,loudnessPeaksPerSec,0.08044287730940135,0.9228343694320676
83,slopeUV0-500_sma3nz_amean,0.07596690816447327,0.9269604438030696
84,slopeV0-500_sma3nz_amean,0.05664013138969068,0.9449984579140993
85,StddevUnvoicedSegmentLength,0.04769212520883303,0.9534733574834717
86,MeanUnvoicedSegmentLength,0.016881688780637175,0.9832659677501148
87,F3bandwidth_sma3nz_amean,0.006041968868875895,0.993977019019418
88,slopeV500-1500_sma3nz_stddevNorm,0.0016643051504211346,0.9983371378708966
