rank,feature,f_score,p_value
1,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,3.5654532426790304,0.06504556701283783
2,mfcc1_sma3_amean,3.2418586799681552,0.07806433589677345
3,jitterLocal_sma3nz_amean,3.132512772687836,0.08309710271322113
4,VoicedSegmentsPerSec,3.061864872924268,0.08654052257133961
5,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,2.720857082077708,0.1055749245850716
6,loudness_sma3_percentile20.0,2.4063723778016524,0.12741118321892878
7,logRelF0-H1-H2_sma3nz_stddevNorm,2.1021256301035582,0.15359752572484978
8,F3frequency_sma3nz_stddevNorm,1.8507603821153258,0.18004964358742356
9,HNRdBACF_sma3nz_stddevNorm,1.6970541480286705,0.19888919602513103
10,logRelF0-H1-H2_sma3nz_amean,1.6559001204826793,0.20432924395832072
11,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1.6143587947335796,0.21000409658975114
12,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,1.5149869319662788,0.22437708043711196
13,mfcc1V_sma3nz_amean,1.4136670881713544,0.24029743717517277
14,MeanVoicedSegmentLengthSec,1.2517427300800053,0.2687877627659767
15,F2frequency_sma3nz_stddevNorm,1.1373285119630012,0.2915523834561878
16,loudness_sma3_stddevRisingSlope,1.0319530631928047,0.3147936762174569
17,mfcc2_sma3_stddevNorm,0.9895263747638573,0.3248465622180188
18,F1bandwidth_sma3nz_stddevNorm,0.963881782932095,0.3311336181475095
19,mfcc4_sma3_stddevNorm,0.9475187589668992,0.3352317793691762
20,F1frequency_sma3nz_amean,0.9292837767397767,0.33988078422012546
21,logRelF0-H1-A3_sma3nz_amean,0.9237208993316691,0.3413166161187935
22,StddevVoicedSegmentLengthSec,0.9154819300440044,0.34345853219732236
23,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.8103499480449592,0.3725111164533637
24,mfcc1_sma3_stddevNorm,0.7676698693293876,0.3853026558883787
25,slopeV500-1500_sma3nz_amean,0.6940690581013796,0.4089101770804361
26,hammarbergIndexUV_sma3nz_amean,0.6461222817471065,0.4254654922359087
27,F2amplitudeLogRelF0_sma3nz_amean,0.6394376006209519,0.42785418319927226
28,hammarbergIndexV_sma3nz_amean,0.5990997348849594,0.44271747402523676
29,F1amplitudeLogRelF0_sma3nz_amean,0.5982487476405488,0.4430396462247209
30,alphaRatioV_sma3nz_amean,0.5869396669125706,0.44735630413025435
31,HNRdBACF_sma3nz_amean,0.5649608706233151,0.45593809177204736
32,spectralFluxV_sma3nz_amean,0.5403303575673465,0.4658722837994398
33,F3amplitudeLogRelF0_sma3nz_amean,0.5338949634289896,0.46852562087961713
34,F3frequency_sma3nz_amean,0.5077346203108406,0.4795707763255615
35,spectralFlux_sma3_amean,0.507200795302566,0.4798006252874488
36,loudness_sma3_stddevNorm,0.49429132502269396,0.48541543239070345
37,logRelF0-H1-A3_sma3nz_stddevNorm,0.44131391133776604,0.5096677987412872
38,F1frequency_sma3nz_stddevNorm,0.42934489186534536,0.5154387421865773
39,alphaRatioUV_sma3nz_amean,0.42768550787760906,0.5162479207666362
40,shimmerLocaldB_sma3nz_amean,0.402354884430536,0.528887272898823
41,slopeUV500-1500_sma3nz_amean,0.38024127065307434,0.5403879514033083
42,loudness_sma3_meanRisingSlope,0.35328453360520196,0.5550510654922828
43,F2bandwidth_sma3nz_amean,0.3453299768832687,0.5595232376112999
44,shimmerLocaldB_sma3nz_stddevNorm,0.33890938854645436,0.5631839961865923
45,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.3112181894696396,0.5795263758702514
46,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.2822565453545476,0.5976760642632319
47,jitterLocal_sma3nz_stddevNorm,0.2769573803875003,0.6011258068632064
48,loudness_sma3_amean,0.24003671253506723,0.6264115055379685
49,F2frequency_sma3nz_amean,0.21515950416141666,0.6448499063156519
50,mfcc4_sma3_amean,0.19770811723271675,0.6585757050071713
51,mfcc4V_sma3nz_amean,0.19050168528161382,0.6644564324453028
52,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.1903686880336195,0.664566203257319
53,F2bandwidth_sma3nz_stddevNorm,0.17870073890333932,0.6743800192191044
54,mfcc2V_sma3nz_amean,0.17080218000415553,0.6812404287848236
55,F3bandwidth_sma3nz_stddevNorm,0.16164834994172889,0.6894281893872254
56,spectralFlux_sma3_stddevNorm,0.14128866261144005,0.7086594498532576
57,mfcc1V_sma3nz_stddevNorm,0.12976408478010282,0.7202570818465525
58,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.12444422125305384,0.7258078972345336
59,loudness_sma3_percentile80.0,0.12396881735192886,0.7263104036392687
60,alphaRatioV_sma3nz_stddevNorm,0.11756967302771973,0.7331826071426994
61,mfcc2V_sma3nz_stddevNorm,0.10016167205249726,0.7530079941344685
62,slopeUV0-500_sma3nz_amean,0.09790846637554398,0.7557096593621925
63,StddevUnvoicedSegmentLength,0.08773477803273069,0.7683546974523048
64,loudness_sma3_percentile50.0,0.0854524667970662,0.771299879797826
65,mfcc2_sma3_amean,0.08430466612534832,0.7727972178240213
66,F0semitoneFrom27.5Hz_sma3nz_amean,0.083595101084802,0.7737284081492628
67,equivalentSoundLevel_dBp,0.07722081532051682,0.7822930908932954
68,mfcc3_sma3_amean,0.07518057772982321,0.7851146016193198
69,mfcc4V_sma3nz_stddevNorm,0.06985080671435592,0.7926856396728502
70,mfcc3V_sma3nz_amean,0.06167191732641013,0.804932076648083
71,hammarbergIndexV_sma3nz_stddevNorm,0.05959902405560526,0.8081713360667652
72,F1bandwidth_sma3nz_amean,0.045730735898185604,0.8315718161274254
73,spectralFluxV_sma3nz_stddevNorm,0.04206493851663414,0.8383633259490779
74,spectralFluxUV_sma3nz_amean,0.03912109794285863,0.8440442086442804
75,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.038900309084197233,0.8444791091910134
76,MeanUnvoicedSegmentLength,0.03377913839453996,0.8549516275768174
77,loudness_sma3_stddevFallingSlope,0.032727897140458734,0.8572010807711549
78,loudness_sma3_meanFallingSlope,0.03077898631371065,0.8614723860908512
79,mfcc3V_sma3nz_stddevNorm,0.02797086116896303,0.8678799571740714
80,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.021229553088090696,0.884765502385607
81,slopeV0-500_sma3nz_amean,0.013477712767694728,0.9080627527182326
82,slopeV0-500_sma3nz_stddevNorm,0.0038285019617902718,0.9509193955550388
83,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.0035768884972571685,0.952557589365355
84,F3bandwidth_sma3nz_amean,0.0031437732229053516,0.9555192973036783
85,loudnessPeaksPerSec,0.00018775450673003645,0.9891242407154012
86,slopeV500-1500_sma3nz_stddevNorm,0.00010871567753414689,0.9917240791204665
87,mfcc3_sma3_stddevNorm,6.828883516278358e-05,0.9934408421718144
88,loudness_sma3_pctlrange0-2,4.776608654034508e-05,0.9945142681393878
