rank,feature,f_score,p_value
1,logRelF0-H1-A3_sma3nz_stddevNorm,2.876019879432541,0.033280765089719694
2,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,2.803615179315722,0.03674207226411693
3,mfcc4V_sma3nz_stddevNorm,2.70898848351295,0.0418225856306743
4,mfcc2_sma3_stddevNorm,2.6082944108660437,0.04801300000807641
5,jitterLocal_sma3nz_amean,2.4601132673165536,0.058845134897034475
6,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,2.283988980437195,0.07495982366030038
7,mfcc1_sma3_amean,1.9433301012163189,0.1196339037784544
8,mfcc1V_sma3nz_amean,1.3506414506526447,0.2661169765633395
9,shimmerLocaldB_sma3nz_stddevNorm,1.2382935970286375,0.3082842621978714
10,loudness_sma3_percentile20.0,1.1991248506002343,0.3243321271856638
11,HNRdBACF_sma3nz_amean,1.1367447560034303,0.3514018875320277
12,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,1.122647094695038,0.35778302912169874
13,F1bandwidth_sma3nz_amean,1.06076875919083,0.3869684130261132
14,shimmerLocaldB_sma3nz_amean,1.0428747286892437,0.3957704543452429
15,slopeV500-1500_sma3nz_amean,1.022059960607081,0.4062160825811657
16,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,1.0101741239858866,0.4122811011486363
17,logRelF0-H1-H2_sma3nz_stddevNorm,0.9967089230982606,0.4192403857113395
18,jitterLocal_sma3nz_stddevNorm,0.9740139174024693,0.43118294316236416
19,mfcc1_sma3_stddevNorm,0.9670262056261186,0.434913935163033
20,F3frequency_sma3nz_stddevNorm,0.9494615456626311,0.4444045564266147
21,loudnessPeaksPerSec,0.9155830289790196,0.4631632170683653
22,alphaRatioV_sma3nz_stddevNorm,0.9050136975830599,0.46913741144760246
23,VoicedSegmentsPerSec,0.8980296262392603,0.47311679181221455
24,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.8738545837871076,0.4870853227381515
25,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.8527764662227935,0.49950859029711225
26,equivalentSoundLevel_dBp,0.826087684782618,0.5155611672796252
27,logRelF0-H1-H2_sma3nz_amean,0.8110751063779821,0.5247470114685745
28,F2frequency_sma3nz_amean,0.7862492382523001,0.5401796300852455
29,F3frequency_sma3nz_amean,0.7828102911806187,0.5423408715580791
30,mfcc2V_sma3nz_amean,0.7564180094500351,0.5591135322212983
31,F1frequency_sma3nz_stddevNorm,0.7374121473079012,0.5713915636776474
32,slopeV0-500_sma3nz_stddevNorm,0.691720106281283,0.6015589757723472
33,loudness_sma3_stddevRisingSlope,0.6560860641876531,0.6256776696549516
34,spectralFlux_sma3_stddevNorm,0.648782328210412,0.6306801483693185
35,mfcc4V_sma3nz_amean,0.6479844474957389,0.6312277906559428
36,mfcc2_sma3_amean,0.6479116589608812,0.6312777618382909
37,alphaRatioUV_sma3nz_amean,0.6000258526154849,0.6645331156166097
38,F2frequency_sma3nz_stddevNorm,0.5981695743963029,0.6658363824150272
39,mfcc3_sma3_stddevNorm,0.5876745761676765,0.6732224748467902
40,mfcc2V_sma3nz_stddevNorm,0.5585833561166318,0.6938387245032189
41,hammarbergIndexV_sma3nz_stddevNorm,0.5570833756477409,0.6949067996812057
42,F1frequency_sma3nz_amean,0.5495811039585368,0.7002554517154564
43,logRelF0-H1-A3_sma3nz_amean,0.5314575600637846,0.7132171109957876
44,hammarbergIndexUV_sma3nz_amean,0.5180625913507232,0.7228276528522526
45,spectralFlux_sma3_amean,0.5066298359590203,0.7310460296386455
46,spectralFluxV_sma3nz_amean,0.47834621537012395,0.7514132915885707
47,F1amplitudeLogRelF0_sma3nz_amean,0.47181894101171934,0.756115913169297
48,F2amplitudeLogRelF0_sma3nz_amean,0.4634205382846691,0.7621651523603812
49,loudness_sma3_meanRisingSlope,0.45982440887564996,0.7647544695754332
50,mfcc4_sma3_amean,0.45443675394597605,0.7686322519931478
51,mfcc3V_sma3nz_stddevNorm,0.4464410167056793,0.7743829202025034
52,mfcc3_sma3_amean,0.4443875455036731,0.7758588036767076
53,F3amplitudeLogRelF0_sma3nz_amean,0.4304665793323739,0.7858502004476068
54,loudness_sma3_percentile50.0,0.4246032493224179,0.7900496370704927
55,hammarbergIndexV_sma3nz_amean,0.42454202072447367,0.7900934582594156
56,alphaRatioV_sma3nz_amean,0.41808418098816297,0.7947112800360506
57,loudness_sma3_amean,0.41773934923644496,0.7949576241169527
58,mfcc1V_sma3nz_stddevNorm,0.41728131497012594,0.7952848002047863
59,slopeUV500-1500_sma3nz_amean,0.41064232118660016,0.800021883958978
60,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.4092901046996879,0.8009854746327113
61,spectralFluxV_sma3nz_stddevNorm,0.40162289343016855,0.8064404166974866
62,mfcc3V_sma3nz_amean,0.39754938949442853,0.8093321067213521
63,loudness_sma3_stddevNorm,0.39715333264468544,0.8096130046386244
64,mfcc4_sma3_stddevNorm,0.38812873907408674,0.8160005578989984
65,StddevUnvoicedSegmentLength,0.38610123547469577,0.8174319967842155
66,StddevVoicedSegmentLengthSec,0.38529230612939874,0.8180027192640892
67,spectralFluxUV_sma3nz_amean,0.3770521383004001,0.8238030948401036
68,loudness_sma3_percentile80.0,0.37154431660876786,0.8276657942963455
69,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.362147668907578,0.8342267363829272
70,HNRdBACF_sma3nz_stddevNorm,0.3606683053296971,0.8352561142871588
71,F0semitoneFrom27.5Hz_sma3nz_amean,0.35892299423646196,0.8364692472415272
72,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.334014957154923,0.8536135503947577
73,MeanVoicedSegmentLengthSec,0.31879500126895066,0.8639117559527096
74,MeanUnvoicedSegmentLength,0.30866914617544056,0.8706765544445529
75,F2bandwidth_sma3nz_amean,0.27765643632549497,0.890892875874179
76,F3bandwidth_sma3nz_amean,0.2766253553680621,0.8915505277682612
77,loudness_sma3_meanFallingSlope,0.26048652951462414,0.9017079729591352
78,loudness_sma3_stddevFallingSlope,0.2592628990294197,0.9024671910052231
79,slopeUV0-500_sma3nz_amean,0.2561067407186366,0.9044180354211991
80,F2bandwidth_sma3nz_stddevNorm,0.2445252171050994,0.9114814893320268
81,loudness_sma3_pctlrange0-2,0.21327334467979162,0.9297162764516301
82,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.20585464215434005,0.9338485862015877
83,F3bandwidth_sma3nz_stddevNorm,0.19189089450203686,0.9413997425428768
84,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.17997409710069895,0.9475940999062146
85,F1bandwidth_sma3nz_stddevNorm,0.17281053050832898,0.9511998801227561
86,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.1506496290334056,0.9617499532888598
87,slopeV500-1500_sma3nz_stddevNorm,0.14276015892550736,0.965270045663951
88,slopeV0-500_sma3nz_amean,0.12245095562222456,0.9737093968480321
