rank,feature,weighted_loading
1,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.09913256732241464
2,spectralFluxV_sma3nz_stddevNorm,0.09680679371977895
3,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.09645339082936964
4,loudness_sma3_percentile20.0,0.09539588442680319
5,spectralFlux_sma3_stddevNorm,0.09487649787826934
6,slopeV0-500_sma3nz_amean,0.09483007688477589
7,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.09422623447281334
8,F1frequency_sma3nz_stddevNorm,0.09318648676097792
9,VoicedSegmentsPerSec,0.09308866567334365
10,loudness_sma3_stddevRisingSlope,0.09264131954356572
11,mfcc3_sma3_stddevNorm,0.09197020532198638
12,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.09153060528333969
13,alphaRatioUV_sma3nz_amean,0.09141072310458014
14,mfcc1_sma3_amean,0.09115717235393758
15,mfcc1V_sma3nz_stddevNorm,0.09114002440373556
16,F2frequency_sma3nz_stddevNorm,0.09085472043556961
17,hammarbergIndexUV_sma3nz_amean,0.09072515944071238
18,F2bandwidth_sma3nz_stddevNorm,0.09060330191819911
19,loudness_sma3_stddevFallingSlope,0.09050021893462618
20,slopeUV500-1500_sma3nz_amean,0.09048050900200338
21,F3bandwidth_sma3nz_amean,0.08998343774770765
22,mfcc3V_sma3nz_stddevNorm,0.08993448935773311
23,mfcc4V_sma3nz_amean,0.08985362417777915
24,jitterLocal_sma3nz_amean,0.08981792396615
25,mfcc4_sma3_amean,0.08976906662049092
26,mfcc3_sma3_amean,0.0896542750289175
27,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.08951188100275778
28,equivalentSoundLevel_dBp,0.08946881371178463
29,hammarbergIndexV_sma3nz_amean,0.08946655617119498
30,F3frequency_sma3nz_stddevNorm,0.08934701239173357
31,MeanVoicedSegmentLengthSec,0.08874877899034414
32,mfcc2V_sma3nz_amean,0.08850189750024241
33,mfcc3V_sma3nz_amean,0.08844654487556056
34,slopeV500-1500_sma3nz_amean,0.08834729510949067
35,slopeV500-1500_sma3nz_stddevNorm,0.08825971241416274
36,spectralFluxV_sma3nz_amean,0.0879986637274945
37,MeanUnvoicedSegmentLength,0.08793102938464617
38,alphaRatioV_sma3nz_amean,0.08760322173694007
39,logRelF0-H1-A3_sma3nz_amean,0.08730989415751578
40,F1frequency_sma3nz_amean,0.08730378732433917
41,StddevUnvoicedSegmentLength,0.08725003969003486
42,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.08684855617438786
43,F1bandwidth_sma3nz_stddevNorm,0.0867121050453288
44,logRelF0-H1-H2_sma3nz_amean,0.08669395158474831
45,logRelF0-H1-A3_sma3nz_stddevNorm,0.08627870160859137
46,loudness_sma3_meanFallingSlope,0.0861951754603533
47,loudness_sma3_stddevNorm,0.08599502073803979
48,slopeUV0-500_sma3nz_amean,0.0859885462687182
49,spectralFlux_sma3_amean,0.08550028379126284
50,mfcc1V_sma3nz_amean,0.08545647789582207
51,F2bandwidth_sma3nz_amean,0.08542748459818009
52,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.08541785906279212
53,alphaRatioV_sma3nz_stddevNorm,0.08529749434128393
54,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.08498656521469729
55,F1amplitudeLogRelF0_sma3nz_amean,0.08493678970516776
56,shimmerLocaldB_sma3nz_stddevNorm,0.08469862824149493
57,hammarbergIndexV_sma3nz_stddevNorm,0.08441938710244423
58,mfcc2_sma3_amean,0.08435099698504078
59,loudness_sma3_percentile50.0,0.0840110728159912
60,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.08385860342642613
61,loudness_sma3_meanRisingSlope,0.08368691361875923
62,F0semitoneFrom27.5Hz_sma3nz_amean,0.08329312914461133
63,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.08276236876215586
64,F2amplitudeLogRelF0_sma3nz_amean,0.08275534246517066
65,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.08260551787689699
66,mfcc1_sma3_stddevNorm,0.08192970707180985
67,StddevVoicedSegmentLengthSec,0.08127838131893142
68,F3amplitudeLogRelF0_sma3nz_amean,0.08127193328311767
69,loudness_sma3_pctlrange0-2,0.08104354170262389
70,loudness_sma3_amean,0.08070477051812947
71,F2frequency_sma3nz_amean,0.08037465615153805
72,jitterLocal_sma3nz_stddevNorm,0.08019124455342458
73,F1bandwidth_sma3nz_amean,0.08005705704233221
74,F3bandwidth_sma3nz_stddevNorm,0.07999803058488895
75,spectralFluxUV_sma3nz_amean,0.07988525441387899
76,HNRdBACF_sma3nz_amean,0.07976687701363751
77,F3frequency_sma3nz_amean,0.07914175042316327
78,loudness_sma3_percentile80.0,0.07850062446969497
79,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.0778567546047716
80,logRelF0-H1-H2_sma3nz_stddevNorm,0.07562342739059878
81,mfcc4V_sma3nz_stddevNorm,0.07503354642240456
82,mfcc2V_sma3nz_stddevNorm,0.07470161815684917
83,shimmerLocaldB_sma3nz_amean,0.07210957917710792
84,loudnessPeaksPerSec,0.07032234325027097
85,slopeV0-500_sma3nz_stddevNorm,0.06878133540810955
86,mfcc2_sma3_stddevNorm,0.06339632826485803
87,mfcc4_sma3_stddevNorm,0.0619136243330869
88,HNRdBACF_sma3nz_stddevNorm,0.06094629348205414
