feature,binary_rank,binary_f_score,binary_p_value,threeclass_rank,threeclass_f_score,threeclass_p_value,ordinal_rank,ordinal_f_score,ordinal_p_value,pca_rank,pca_weighted_loading,avg_rank,top10_count
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,1,3.5654532426790304,0.0650455670128378,1,2.310476662885993,0.1103794368286982,2,2.803615179315722,0.0367420722641169,7,0.0942262344728133,2.75,4
mfcc1_sma3_amean,2,3.2418586799681552,0.0780643358967734,3,1.5975108547312145,0.2131937511353032,7,1.9433301012163189,0.1196339037784544,14,0.0911571723539375,6.5,3
loudness_sma3_percentile20.0,6,2.4063723778016524,0.1274111832189287,11,1.199691993878535,0.3103441970806611,10,1.1991248506002343,0.3243321271856634,4,0.0953958844268031,7.75,3
jitterLocal_sma3nz_amean,3,3.132512772687836,0.0830971027132211,4,1.5359333175796177,0.2258633622161857,5,2.4601132673165536,0.0588451348970345,24,0.08981792396615,9.0,3
VoicedSegmentsPerSec,4,3.061864872924268,0.0865405225713396,5,1.5212122968289097,0.2290069121323457,23,0.8980296262392603,0.4731167918122149,9,0.0930886656733436,10.25,3
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,11,1.6143587947335796,0.2100040965897511,12,1.180446879513551,0.3160813095448944,16,1.0101741239858866,0.4122811011486367,12,0.0915306052833396,12.75,0
F3frequency_sma3nz_stddevNorm,8,1.8507603821153256,0.1800496435874235,7,1.4125674962426027,0.2536648472306042,20,0.9494615456626312,0.4444045564266154,30,0.0893470123917335,16.25,2
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,12,1.5149869319662788,0.2243770804371119,27,0.7478312966119514,0.4789405090950333,12,1.122647094695038,0.3577830291216981,27,0.0895118810027577,19.5,0
loudness_sma3_stddevRisingSlope,16,1.0319530631928049,0.3147936762174569,21,0.8188351337013687,0.4471360682534824,33,0.6560860641876531,0.6256776696549513,10,0.0926413195435657,20.0,1
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,5,2.720857082077708,0.1055749245850716,6,1.4808387207445322,0.2378646466033823,6,2.283988980437195,0.0749598236603006,63,0.0827623687621558,20.0,3
F2frequency_sma3nz_stddevNorm,15,1.1373285119630012,0.2915523834561878,20,0.8204080635964618,0.4464569739066574,38,0.5981695743963029,0.665836382415028,16,0.0908547204355696,22.25,0
logRelF0-H1-A3_sma3nz_stddevNorm,37,0.441313911337766,0.5096677987412872,9,1.2334164121400977,0.3005510114189876,1,2.876019879432541,0.0332807650897197,45,0.0862787016085913,23.0,2
F1frequency_sma3nz_stddevNorm,38,0.4293448918653453,0.5154387421865773,15,1.0213749611725649,0.3679523103293373,31,0.7374121473079012,0.5713915636776474,8,0.0931864867609779,23.0,1
mfcc1V_sma3nz_amean,13,1.4136670881713544,0.2402974371751727,26,0.7526444632149999,0.47671180767814,8,1.3506414506526447,0.2661169765633399,50,0.085456477895822,24.25,1
slopeV500-1500_sma3nz_amean,25,0.6940690581013796,0.4089101770804361,25,0.763656568313131,0.4716533049818413,15,1.022059960607081,0.4062160825811646,34,0.0883472951094906,24.75,0
logRelF0-H1-H2_sma3nz_amean,10,1.655900120482679,0.2043292439583207,22,0.8108363869523033,0.4506061360221997,27,0.8110751063779821,0.524747011468575,44,0.0866939515847483,25.75,1
spectralFlux_sma3_stddevNorm,56,0.14128866261144,0.7086594498532576,13,1.142327936761007,0.3277736538208697,34,0.648782328210412,0.6306801483693187,5,0.0948764978782693,27.0,1
mfcc2_sma3_stddevNorm,17,0.9895263747638572,0.3248465622180188,2,1.64480668038665,0.2039668974096921,4,2.608294410866044,0.0480130000080763,86,0.063396328264858,27.25,2
logRelF0-H1-H2_sma3nz_stddevNorm,7,2.1021256301035582,0.1535975257248497,8,1.3817831267416474,0.2611436706103895,17,0.9967089230982606,0.4192403857113388,80,0.0756234273905987,28.0,2
logRelF0-H1-A3_sma3nz_amean,21,0.9237208993316692,0.3413166161187935,23,0.8006713702613554,0.4550565442466399,43,0.5314575600637846,0.713217110995788,39,0.0873098941575157,31.5,0
F3amplitudeLogRelF0_sma3nz_stddevNorm,23,0.8103499480449592,0.3725111164533637,39,0.4637080254080921,0.6317937208530708,69,0.362147668907578,0.8342267363829278,1,0.0991325673224146,33.0,1
F1frequency_sma3nz_amean,20,0.9292837767397768,0.3398807842201254,33,0.5662439612311193,0.5714777999516075,42,0.5495811039585368,0.7002554517154572,40,0.0873037873243391,33.75,0
mfcc4V_sma3nz_amean,51,0.1905016852816138,0.6644564324453028,29,0.6678566156085479,0.5176051338523082,35,0.6479844474957389,0.6312277906559434,23,0.0898536241777791,34.5,0
hammarbergIndexUV_sma3nz_amean,26,0.6461222817471065,0.4254654922359087,52,0.3208439577612609,0.7271129416647258,44,0.5180625913507232,0.7228276528522533,17,0.0907251594407123,34.75,0
mfcc1_sma3_stddevNorm,24,0.7676698693293876,0.3853026558883787,32,0.5739411576128635,0.5671993030585749,19,0.9670262056261186,0.4349139351630338,66,0.0819297070718098,35.25,0
MeanVoicedSegmentLengthSec,14,1.2517427300800053,0.2687877627659767,30,0.6128461097280743,0.5460791737231264,73,0.3187950012689506,0.8639117559527093,31,0.0887487789903441,37.0,0
alphaRatioV_sma3nz_stddevNorm,60,0.1175696730277197,0.7331826071426994,17,0.8655443580542417,0.4274211199168491,22,0.90501369758306,0.4691374114476025,53,0.0852974943412839,38.0,0
spectralFluxV_sma3nz_stddevNorm,73,0.0420649385166341,0.8383633259490779,18,0.8465528906228129,0.4353253691961302,61,0.4016228934301685,0.8064404166974868,2,0.0968067937197789,38.5,1
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,52,0.1903686880336195,0.664566203257319,31,0.599992906443551,0.5529645205318632,24,0.8738545837871076,0.4870853227381513,52,0.0854178590627921,39.75,0
alphaRatioUV_sma3nz_amean,39,0.427685507877609,0.5162479207666362,72,0.2094333712690944,0.8117964577886979,37,0.6000258526154849,0.6645331156166099,13,0.0914107231045801,40.25,0
equivalentSoundLevel_dBp,67,0.0772208153205168,0.7822930908932954,40,0.4522481124914048,0.6389356828615338,26,0.826087684782618,0.5155611672796256,28,0.0894688137117846,40.25,0
spectralFluxV_sma3nz_amean,32,0.5403303575673465,0.4658722837994398,48,0.333916185758942,0.7177987219090458,46,0.4783462153701239,0.7514132915885705,36,0.0879986637274945,40.5,0
F2bandwidth_sma3nz_stddevNorm,53,0.1787007389033393,0.6743800192191044,14,1.044280975675774,0.3599667483790096,80,0.2445252171050994,0.911481489332027,18,0.0906033019181991,41.25,0
hammarbergIndexV_sma3nz_amean,28,0.5990997348849594,0.4427174740252367,56,0.2933111408069779,0.7471451704411809,55,0.4245420207244736,0.7900934582594159,29,0.0894665561711949,42.0,0
mfcc4_sma3_amean,50,0.1977081172327167,0.6585757050071713,45,0.3530866360414709,0.7043637590739287,50,0.454436753945976,0.7686322519931468,25,0.0897690666204909,42.5,0
F1bandwidth_sma3nz_stddevNorm,18,0.963881782932095,0.3311336181475095,24,0.7859389210464917,0.4615881491359222,85,0.1728105305083289,0.9511998801227564,43,0.0867121050453288,42.5,0
HNRdBACF_sma3nz_amean,31,0.5649608706233151,0.4559380917720473,55,0.3010444678675885,0.7414611381394052,11,1.1367447560034305,0.3514018875320285,76,0.0797668770136375,43.25,0
jitterLocal_sma3nz_stddevNorm,47,0.2769573803875003,0.6011258068632064,36,0.4747394454691915,0.6249973949572998,18,0.9740139174024692,0.4311829431623645,72,0.0801912445534245,43.25,0
F1amplitudeLogRelF0_sma3nz_amean,29,0.5982487476405488,0.4430396462247209,51,0.3265607401163874,0.723024213837156,47,0.4718189410117193,0.7561159131692974,55,0.0849367897051677,45.5,0
alphaRatioV_sma3nz_amean,30,0.5869396669125706,0.4473563041302543,58,0.2874457279870761,0.7514865605393586,56,0.4180841809881629,0.7947112800360512,38,0.08760322173694,45.5,0
spectralFlux_sma3_amean,35,0.507200795302566,0.4798006252874488,53,0.3190789605535798,0.7283801583313765,45,0.5066298359590203,0.7310460296386447,49,0.0855002837912628,45.5,0
shimmerLocaldB_sma3nz_stddevNorm,44,0.3389093885464543,0.5631839961865923,75,0.1690594248461788,0.8449699474414155,9,1.2382935970286375,0.3082842621978715,56,0.0846986282414949,46.0,1
F2amplitudeLogRelF0_sma3nz_amean,27,0.6394376006209519,0.4278541831992722,46,0.3457816675208536,0.7094520166455434,48,0.4634205382846691,0.7621651523603815,64,0.0827553424651706,46.25,0
mfcc3_sma3_stddevNorm,87,6.828883516278358e-05,0.9934408421718144,49,0.3329178683147982,0.718505636030785,39,0.5876745761676765,0.6732224748467903,11,0.0919702053219863,46.5,0
HNRdBACF_sma3nz_stddevNorm,9,1.6970541480286705,0.198889196025131,19,0.8345909368932126,0.4403820251386136,70,0.3606683053296971,0.8352561142871595,88,0.0609462934820541,46.5,1
mfcc1V_sma3nz_stddevNorm,57,0.1297640847801028,0.7202570818465525,57,0.2902010954218399,0.7494438599341161,58,0.4172813149701259,0.7952848002047859,15,0.0911400244037355,46.75,0
loudness_sma3_meanRisingSlope,42,0.3532845336052019,0.5550510654922828,35,0.5273108902273311,0.5936402246661133,49,0.4598244088756499,0.7647544695754322,61,0.0836869136187592,46.75,0
loudness_sma3_stddevNorm,36,0.4942913250226939,0.4854154323907034,42,0.3752191982961943,0.6891783507318493,63,0.3971533326446854,0.809613004638624,47,0.0859950207380397,47.0,0
StddevVoicedSegmentLengthSec,22,0.9154819300440044,0.3434585321973223,37,0.472126798961162,0.6266000967974018,66,0.3852923061293987,0.8180027192640895,67,0.0812783813189314,48.0,0
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,46,0.2822565453545476,0.5976760642632319,44,0.3585659024312804,0.7005721698074,60,0.4092901046996879,0.8009854746327114,42,0.0868485561743878,48.0,0
slopeUV500-1500_sma3nz_amean,41,0.3802412706530743,0.5403879514033083,73,0.1887005251939295,0.828658673079674,59,0.4106423211866001,0.8000218839589779,20,0.0904805090020033,48.25,0
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,58,0.1244442212530538,0.7258078972345336,47,0.3440141298123977,0.7106889389755345,25,0.8527764662227935,0.4995085902971125,65,0.0826055178768969,48.75,0
mfcc2V_sma3nz_amean,54,0.1708021800041555,0.6812404287848236,81,0.0838221481255629,0.9197319500311724,30,0.7564180094500351,0.5591135322212988,32,0.0885018975002424,49.25,0
shimmerLocaldB_sma3nz_amean,40,0.402354884430536,0.528887272898823,61,0.268679563536517,0.765554216730488,14,1.0428747286892437,0.3957704543452421,83,0.0721095791771079,49.5,0
mfcc4_sma3_stddevNorm,19,0.9475187589668992,0.3352317793691762,28,0.7244225201112634,0.4899357069258001,64,0.3881287390740867,0.8160005578989988,87,0.0619136243330869,49.5,0
F1bandwidth_sma3nz_amean,72,0.0457307358981856,0.8315718161274254,41,0.4290565617162525,0.6536476760876277,13,1.06076875919083,0.3869684130261134,73,0.0800570570423322,49.75,0
F2amplitudeLogRelF0_sma3nz_stddevNorm,45,0.3112181894696396,0.5795263758702514,69,0.2194685049720276,0.8037636476240273,82,0.20585464215434,0.9338485862015878,3,0.0964533908293696,49.75,1
F3frequency_sma3nz_amean,34,0.5077346203108406,0.4795707763255615,64,0.2486450413002704,0.7808760605248345,29,0.7828102911806187,0.5423408715580789,77,0.0791417504231632,51.0,0
hammarbergIndexV_sma3nz_stddevNorm,71,0.0595990240556052,0.8081713360667652,38,0.4706541446185751,0.6275053695487206,41,0.5570833756477409,0.6949067996812064,57,0.0844193871024442,51.75,0
F3amplitudeLogRelF0_sma3nz_amean,33,0.5338949634289896,0.4685256208796171,54,0.3042889091052422,0.7390898999724451,53,0.4304665793323739,0.7858502004476065,68,0.0812719332831176,52.0,0
slopeV0-500_sma3nz_stddevNorm,82,0.0038285019617902,0.9509193955550388,10,1.2232209826817186,0.3034772021797756,32,0.691720106281283,0.6015589757723465,85,0.0687813354081095,52.25,1
F2frequency_sma3nz_amean,49,0.2151595041614166,0.6448499063156519,62,0.2597598636515447,0.7723366770960465,28,0.7862492382523001,0.5401796300852446,71,0.080374656151538,52.5,0
mfcc3V_sma3nz_stddevNorm,79,0.027970861168963,0.8678799571740714,60,0.2735498078892265,0.7618771632885901,51,0.4464410167056793,0.7743829202025034,22,0.0899344893577331,53.0,0
mfcc3V_sma3nz_amean,70,0.0616719173264101,0.804932076648083,50,0.3292883873251018,0.721081813844353,62,0.3975493894944285,0.8093321067213524,33,0.0884465448755605,53.75,0
mfcc2V_sma3nz_stddevNorm,61,0.1001616720524972,0.7530079941344685,34,0.5536418286840089,0.5785555017494617,40,0.5585833561166318,0.6938387245032184,82,0.0747016181568491,54.25,0
mfcc3_sma3_amean,68,0.0751805777298232,0.7851146016193198,71,0.2112689071906224,0.8103209383638519,52,0.4443875455036731,0.775858803676708,26,0.0896542750289175,54.25,0
F3bandwidth_sma3nz_stddevNorm,55,0.1616483499417288,0.6894281893872254,16,0.9941669978754434,0.3776781961539469,83,0.1918908945020368,0.9413997425428774,74,0.0799980305848889,57.0,0
mfcc4V_sma3nz_stddevNorm,69,0.0698508067143559,0.7926856396728502,79,0.0957468491715754,0.908870803706848,3,2.70898848351295,0.0418225856306744,81,0.0750335464224045,58.0,1
F2bandwidth_sma3nz_amean,43,0.3453299768832687,0.5595232376112999,66,0.2308765576848825,0.7947324163265408,75,0.2776564363254949,0.8908928758741793,51,0.08542748459818,58.75,0
mfcc2_sma3_amean,65,0.0843046661253483,0.7727972178240213,80,0.0918657481174253,0.9123909981011344,36,0.6479116589608812,0.6312777618382908,58,0.0843509969850407,59.75,0
loudness_sma3_stddevFallingSlope,77,0.0327278971404587,0.8572010807711549,67,0.2224956342770481,0.8013568283328204,78,0.2592628990294197,0.9024671910052232,19,0.0905002189346261,60.25,0
loudness_sma3_amean,48,0.2400367125350672,0.6264115055379685,68,0.2209454769455953,0.8025883921079868,57,0.4177393492364449,0.7949576241169534,70,0.0807047705181294,60.75,0
StddevUnvoicedSegmentLength,63,0.0877347780327306,0.7683546974523048,85,0.047692125208833,0.9534733574834716,65,0.3861012354746957,0.817431996784216,41,0.0872500396900348,63.5,0
loudness_sma3_percentile50.0,64,0.0854524667970662,0.771299879797826,78,0.1022977749295194,0.9029611380950304,54,0.4246032493224179,0.790049637070493,59,0.0840110728159912,63.75,0
slopeV0-500_sma3nz_amean,81,0.0134777127676947,0.9080627527182326,84,0.0566401313896906,0.9449984579140992,88,0.1224509556222245,0.9737093968480316,6,0.0948300768847758,64.75,1
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,80,0.0212295530880906,0.884765502385607,43,0.3645869208010329,0.6964302225297212,84,0.1799740971006989,0.9475940999062143,54,0.0849865652146972,65.25,0
loudness_sma3_meanFallingSlope,78,0.0307789863137106,0.8614723860908512,65,0.2473587093355214,0.7818706695463851,77,0.2604865295146241,0.9017079729591356,46,0.0861951754603533,66.5,0
F3bandwidth_sma3nz_amean,84,0.0031437732229053,0.9555192973036783,87,0.0060419688688758,0.993977019019418,76,0.2766253553680621,0.8915505277682605,21,0.0899834377477076,67.0,0
loudness_sma3_percentile80.0,59,0.1239688173519288,0.7263104036392687,63,0.2497174394303805,0.7800478762639307,68,0.3715443166087678,0.827665794296345,78,0.0785006244696949,67.0,0
slopeUV0-500_sma3nz_amean,62,0.0979084663755439,0.7557096593621925,83,0.0759669081644732,0.9269604438030696,79,0.2561067407186366,0.9044180354211988,48,0.0859885462687182,68.0,0
loudnessPeaksPerSec,85,0.00018775450673,0.9891242407154012,82,0.0804428773094013,0.9228343694320676,21,0.9155830289790196,0.4631632170683659,84,0.0703223432502709,68.0,0
MeanUnvoicedSegmentLength,76,0.0337791383945399,0.8549516275768174,86,0.0168816887806371,0.9832659677501148,74,0.3086691461754405,0.8706765544445525,37,0.0879310293846461,68.25,0
F0semitoneFrom27.5Hz_sma3nz_amean,66,0.083595101084802,0.7737284081492628,74,0.1705608573046914,0.8437113220219882,71,0.3589229942364619,0.8364692472415266,62,0.0832931291446113,68.25,0
spectralFluxUV_sma3nz_amean,74,0.0391210979428586,0.8440442086442804,76,0.1164373190523951,0.890341833206639,67,0.3770521383004001,0.8238030948401034,75,0.0798852544138789,73.0,0
F1amplitudeLogRelF0_sma3nz_stddevNorm,83,0.0035768884972571,0.952557589365355,59,0.2800886170934626,0.7569692697553125,72,0.334014957154923,0.8536135503947573,79,0.0778567546047716,73.25,0
slopeV500-1500_sma3nz_stddevNorm,86,0.0001087156775341,0.9917240791204665,88,0.0016643051504211,0.9983371378708966,87,0.1427601589255073,0.9652700456639504,35,0.0882597124141627,74.0,0
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,75,0.0389003090841972,0.8444791091910134,77,0.1088164969265754,0.8971202794104343,86,0.1506496290334056,0.9617499532888606,60,0.0838586034264261,74.5,0
loudness_sma3_pctlrange0-2,88,4.776608654034508e-05,0.9945142681393878,70,0.2115788945146329,0.8100720271213584,81,0.2132733446797916,0.92971627645163,69,0.0810435417026238,77.0,0
