ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
API,26.14958,0.22900335,23.648268,25.144073,27.290554,3.6422863,334.28345,734.48376,196.95131,330.46973,0.86734116,0.9045401,0.22819269,0.68748605,1.2891164,1.0609237,15.851739,9.805477,11.430505,7.314552,0.5371102,1.0461092,21.427229,0.72546333,1.2327722,11.567275,16.2286,0.9524392,-5.2643137,-3.1357493,0.029130958,1.9608016,1.5011941,0.6594495,2.3848565,1.6510724,3.3430214,2.5942886,17.39877,0.64575684,488.2135,0.43247455,1135.4623,0.21824734,-81.99031,-1.1621065,1502.2737,0.17010757,793.28436,0.42039722,-86.097275,-1.0371585,2541.3506,0.10538706,736.48694,0.44863206,-87.06788,-1.006388,-11.42312,-0.66797805,19.474413,0.45640182,0.016240295,2.0610588,-0.024311246,-0.6192416,0.73946136,0.8501241,27.7563,0.46303722,-2.3268745,-6.3562355,18.655193,0.9250134,-10.76092,-1.541609,-11.350367,21.348581,-0.04541569,-0.010707432,0.22428219,2.928943,2.515178,0.23172413,0.21513213,0.15562962,0.20654337,-26.0915
AIK,22.499113,0.17246169,20.233334,23.161917,25.264774,5.0314407,149.92308,200.69609,91.93677,120.51377,0.8249388,0.6315924,0.3603512,0.7344864,1.19432,0.83396876,10.964922,6.3022404,8.801403,6.089299,0.5170052,0.83004886,28.772459,0.44688433,4.8831005,2.1225255,16.45153,0.93475163,0.19323686,64.76303,0.040925696,1.7580317,1.397085,0.6923706,1.1653774,4.0602365,2.9974368,2.4054513,21.966408,0.33061618,480.19858,0.37921527,1259.5156,0.17235655,-44.90126,-1.6385509,1488.0851,0.16196549,934.5192,0.32211074,-54.99138,-1.2379675,2462.4482,0.11336498,852.1178,0.39151493,-57.237648,-1.169301,-14.81732,-0.31999102,21.836443,0.28942767,0.004143717,6.966511,-0.023057148,-0.5315265,0.57519406,0.7775461,31.844059,0.33046535,3.9805686,2.4553494,17.46988,0.917039,-0.48388892,-27.223604,-9.835491,16.651304,-0.021433769,-0.0139206415,0.2762243,3.5721295,2.8094304,0.2762937,0.28577873,0.072105266,0.064867936,-26.594326
AVL,19.462933,0.2876475,14.009961,18.058847,25.233475,11.223514,218.64812,271.2168,121.473495,101.696724,0.6805181,0.7168674,0.27371773,0.56092215,0.97837716,0.70465946,11.733392,7.3405147,9.367507,6.8183312,0.80391735,0.87525,28.556234,0.4268161,16.302422,0.8378175,20.917465,0.6210234,9.208637,1.4010665,0.12510884,1.3409133,1.786261,0.6424789,-1.9925561,-2.2042058,9.315764,5.3705025,16.858309,1.9244779,559.2653,0.42112,1283.7,0.20934586,-42.47797,-1.3288512,1634.0747,0.1710756,927.64624,0.44976035,-53.119827,-0.97986484,2765.9731,0.115265496,858.27966,0.61737776,-57.757145,-0.8652711,-21.721537,-0.38620442,31.855228,0.29220703,-0.060891535,-0.6011736,-0.014005271,-0.7327541,0.82870835,0.8972757,30.121231,0.3764429,15.217589,0.90437156,20.667412,0.65495557,7.7864223,1.664649,-25.199875,34.717834,-0.096619315,-0.006806964,0.6543637,2.8028193,2.559055,0.33352566,0.35289794,0.05018868,0.032271877,-32.252964
AYG,20.913927,0.2008839,18.124508,21.162214,23.27693,5.152422,208.32323,197.05566,154.97739,330.7427,0.8392997,0.8823687,0.14968175,0.6681779,1.3663574,1.2166758,16.356642,8.196607,15.002437,10.086698,0.68056476,1.0333707,26.467209,0.5483313,6.3396807,1.8568038,14.739031,0.8814393,-2.188039,-6.5128098,0.047924995,1.6526773,1.6866803,0.70667857,0.038009167,111.60204,3.3413434,3.7038546,21.550478,0.4998287,525.81305,0.38375124,1273.5286,0.19727081,-69.99966,-1.2601136,1534.0955,0.17273548,964.71606,0.31813237,-77.14902,-1.0706669,2604.3398,0.12119317,814.5605,0.420822,-81.02227,-0.9842393,-15.929795,-0.43938464,24.756596,0.33425215,0.010360367,3.4750118,-0.024423642,-0.6414798,0.890745,0.8359543,32.60651,0.351522,4.1711264,2.9396665,15.803367,0.8920137,-4.8860064,-3.1895275,-14.128735,23.506142,-0.03546433,-0.0113737695,0.26295552,3.7224092,2.8833551,0.22097403,0.21662933,0.11715328,0.14814149,-24.046024
AKI,23.040365,0.16707256,20.451918,23.070953,25.640764,5.1888466,201.39948,471.01862,126.89279,190.43813,1.3647982,0.5965321,0.67048204,1.1837873,1.9536021,1.28312,20.653685,11.661314,13.728875,8.172912,1.0010066,0.8402695,22.868126,0.58345807,1.152069,11.689481,7.69391,2.0301852,-0.9174743,-12.1282015,0.04165743,1.5203103,1.5559049,0.6095024,0.830387,4.5449357,0.67697084,20.127287,14.546802,0.6990461,447.71127,0.3151698,1184.0496,0.18666418,-60.95273,-1.3895347,1447.0925,0.132063,884.13293,0.33514312,-67.23259,-1.187921,2442.8516,0.0894132,863.78864,0.4230127,-70.44994,-1.1044127,-11.195216,-0.5368987,21.114408,0.34033662,0.004479595,7.0234027,-0.022353197,-0.58139366,1.209867,0.7175592,27.751596,0.37541607,1.1699718,11.361111,8.741412,1.9243428,-1.2820827,-9.384201,-4.57008,12.608036,-0.022160962,-0.011425553,0.47772828,3.7136812,2.408478,0.28808,0.3215306,0.11556521,0.14169896,-21.71643
APS,22.976847,0.19260094,19.063065,24.422178,26.022453,6.9593887,356.3093,385.13364,117.55465,156.33319,1.7539228,0.78537095,0.6790037,1.3150353,2.6721215,1.9931178,33.56714,26.90959,25.559801,18.52848,6.6519547,1.6329292,28.921167,0.52906036,11.134419,1.0712808,22.225641,0.60092866,9.68972,1.3435966,0.06543404,1.8805155,1.5063581,0.9048913,1.8973752,3.0025382,6.7591147,3.6923566,25.806522,0.7138083,511.33588,0.40110785,1251.0248,0.20539916,-83.10071,-1.0161768,1569.415,0.1816673,993.309,0.38880748,-92.34117,-0.8356594,2619.712,0.11780745,891.9394,0.42061505,-95.14552,-0.7887664,-22.672852,-0.3384314,32.227936,0.2703714,-0.068098046,-0.5315475,-0.021195104,-0.52249265,5.550932,1.5974036,35.6654,0.3118335,10.88241,1.1138783,24.258308,0.5969032,6.5181537,2.079684,-21.320662,31.533998,-0.10405894,-0.010392172,8.58862,3.7093692,3.2356884,0.18763313,0.18496527,0.10828026,0.09432412,-13.323846
BEC,24.286964,0.13644497,22.567812,24.21842,26.362606,3.794794,220.13013,336.89294,154.8757,358.87326,1.0803121,0.6136443,0.53061044,0.94077367,1.5259001,0.9952897,17.893272,10.666287,13.761676,9.609616,0.7966758,0.8763238,25.534864,0.60492116,2.4087791,4.835871,11.281826,1.1896272,0.95968735,13.55692,0.03899465,1.5392219,1.5070884,0.6606271,1.4221824,2.7982206,3.7219005,2.4163115,20.0856,0.44381246,473.061,0.44198787,1227.173,0.18394682,-60.58455,-1.4260283,1458.938,0.16710086,894.20105,0.32129776,-67.4753,-1.1924597,2426.1182,0.112369776,788.9742,0.3626428,-70.571846,-1.1123159,-12.941472,-0.4427406,21.629246,0.3260346,0.020090794,1.3205603,-0.018558782,-0.6034835,0.97182786,0.7538972,31.43176,0.38135183,2.053745,5.818909,12.869738,1.1091101,1.6327541,8.577156,-5.139488,12.537317,0.0027977487,-0.009123843,0.35467517,3.7082317,2.2031825,0.31592593,0.33159,0.13652174,0.1990217,-23.57524
BTZ,21.381413,0.2460753,18.087261,21.300644,24.080914,5.9936523,298.4986,542.0891,155.03195,475.3221,0.95975673,0.8695414,0.27130547,0.73579246,1.4764694,1.205164,18.383871,12.531966,14.652244,10.171523,0.587746,1.0526226,24.863194,0.7028448,-1.6019822,-10.548849,18.25875,0.8909186,4.5151696,2.937597,0.04431398,1.837871,1.6277398,0.79009426,0.52651113,8.240936,2.3756413,4.4360294,17.871696,0.56281257,546.9069,0.46154332,1218.7272,0.2019444,-62.60032,-1.3324829,1562.4132,0.18302187,908.4136,0.31403503,-67.701004,-1.1622499,2532.733,0.12649572,842.5894,0.32993484,-68.84149,-1.1280333,-11.67968,-0.6213242,19.444077,0.39840367,0.0033862356,11.428083,-0.014536527,-0.9037114,0.72745633,0.91447204,31.446194,0.4239584,-4.9890895,-3.401171,20.723452,0.8161805,3.1263545,4.516989,-6.4997897,14.2339525,-0.03366658,-0.0032287166,0.23424275,3.2623296,3.2660904,0.20988235,0.19601321,0.08222222,0.09236344,-24.75215
BNG,28.79329,0.28110313,19.404829,31.119139,34.20796,14.803129,311.39426,505.53644,153.78778,260.795,1.7896278,0.7342703,0.52472544,1.5467627,2.9065528,2.3818274,28.998102,14.348638,21.61617,12.827965,1.6078336,0.8331682,20.688337,0.8045389,9.665134,1.4678367,17.68431,0.8808039,1.7270755,9.220626,0.054371502,2.1911266,1.2569283,0.8535723,3.7460032,1.8885092,5.375515,3.6690707,19.178532,0.9447632,535.1736,0.47472465,1166.8955,0.23502775,-56.019077,-1.4196049,1610.0374,0.19496757,791.9144,0.47086996,-61.36096,-1.1404283,2634.9265,0.12983477,765.1742,0.44974282,-62.102627,-1.1209174,-14.732462,-0.593497,22.589817,0.45299754,0.0031327466,15.539263,-0.018061252,-0.7281493,1.830748,0.7460883,25.240452,0.5237696,7.853637,1.740463,17.11968,0.963104,-0.7579684,-21.96967,-9.142307,16.242823,-0.06325753,-0.006422173,0.8535625,3.2480316,2.8989587,0.25859222,0.25549394,0.07789473,0.056539696,-23.114948
CCK,23.007072,0.17259395,21.743124,23.340347,24.87317,3.1300468,198.72292,331.8456,87.2862,111.49028,1.1173126,0.6527843,0.37157565,1.0412576,1.7066431,1.3350675,15.880187,8.288428,13.5697565,9.125126,0.7366665,0.75044286,28.818167,0.56582314,4.269016,3.2095022,12.692913,1.22378,-0.27159938,-47.91704,0.03545157,1.9752265,1.3211012,0.76432836,1.6364796,2.785061,3.0827684,2.6552174,23.116415,0.43284824,479.15826,0.40306056,1240.379,0.19620743,-53.267513,-1.5344222,1475.8206,0.15783516,926.46783,0.3477593,-60.908997,-1.257499,2524.3027,0.09828768,844.73566,0.3795471,-65.66514,-1.1220578,-13.809717,-0.46543235,24.198622,0.3370499,0.0062926975,4.6112485,-0.023855723,-0.54000163,0.8503147,0.65126103,33.680183,0.36570835,2.1578772,5.8821025,13.940461,1.1735352,-0.20089768,-68.3514,-8.547454,17.082554,-0.022823898,-0.015704121,0.39092007,3.615668,2.7810354,0.25951806,0.282544,0.09352518,0.09671481,-23.328808
