model,target,pass,name,n_features,cv_spearman,cv_r2,perm_p,delta_rho,delta_lo,delta_hi,p_delta_le0
ridge,perceived,baseline,ALL-13,13,0.3912782515717496,0.05751070818507875,0.007992007992007992,,,,
ridge,perceived,block-alone,sibilant /s/,3,0.5750786527949098,0.2683451661686663,0.000999000999000999,,,,
ridge,perceived,leave-block,sibilant /s/,10,-0.6340081255675298,-0.04905379449000091,0.4305694305694306,1.0252863771392795,0.7350844197757372,1.2714503113124624,0.0
ridge,perceived,block-alone,vowels,2,-0.915351932822631,-0.08361928097833582,0.47052947052947053,,,,
ridge,perceived,leave-block,vowels,11,0.44891098777969113,0.11323770648855425,0.003996003996003996,-0.057632736207941515,-0.20136145388458226,0.07068836914659352,0.7948
ridge,perceived,block-alone,diphthongs,2,-0.988257344125677,-0.044549399013812385,0.9340659340659341,,,,
ridge,perceived,leave-block,diphthongs,11,0.5129793795308527,0.21051043335675113,0.001998001998001998,-0.1217011279591031,-0.23207447800628023,-0.03789179538714871,0.9988
ridge,perceived,block-alone,pitch/F0,3,-0.35626636432542513,-0.06677427361658039,0.23976023976023977,,,,
ridge,perceived,leave-block,pitch/F0,10,0.4669692451248461,0.1421177084328029,0.002997002997002997,-0.0756909935530965,-0.25393645280689553,0.09309045039302448,0.8182
ridge,perceived,block-alone,phonation,3,-0.8499387772266174,-0.04880219048125456,0.4015984015984016,,,,
ridge,perceived,leave-block,phonation,10,0.42734673898188624,0.10595980290672002,0.003996003996003996,-0.03606848741013663,-0.13514710439150013,0.06894898066256612,0.7564
ridge,perceived,leave-feature,S cog,12,-0.618687423192252,-0.11459360844202693,0.46553446553446554,1.0099656747640016,0.7419523458131833,1.242219203981277,0.0
ridge,perceived,leave-feature,S skew,12,0.423408502007677,0.13882542622881533,0.006993006993006993,-0.03213025043592738,-0.09588596783796745,0.025019693415991244,0.8654
ridge,perceived,leave-feature,S dur,12,0.4186538012705218,0.10484789641355696,0.003996003996003996,-0.027375549698772206,-0.09238727228698566,0.021272148625902283,0.8616
ridge,perceived,leave-feature,vowel space,12,0.3797517043301612,0.09436892110816308,0.00999000999000999,0.011526547241588414,-0.07480114278922358,0.09301263377349321,0.3946
ridge,perceived,leave-feature,front F2,12,0.4237927202490632,0.13712953191795263,0.005994005994005994,-0.03251446867731361,-0.08450906451553344,0.00837610328529333,0.9292
ridge,perceived,leave-feature,diph dyn,12,0.4955935041081237,0.16121058407911015,0.002997002997002997,-0.10431525253637408,-0.2119328065650913,-0.030407165070915315,0.9986
ridge,perceived,leave-feature,diph dur,12,0.48762097559935846,0.17392390336435193,0.002997002997002997,-0.09634272402760885,-0.2072746321003047,-0.010360307287176294,0.987
ridge,perceived,leave-feature,F0 range,12,0.4547222886806585,0.13055051490729375,0.003996003996003996,-0.06344403710890889,-0.17554393739294386,0.030485026045392227,0.9098
ridge,perceived,leave-feature,F0 sd,12,0.477583274043142,0.15805714936184545,0.001998001998001998,-0.08630502247139238,-0.1701977881756912,-0.024175091461446196,0.9972
ridge,perceived,leave-feature,F0 mean,12,0.44526091448652144,0.10983037421544373,0.002997002997002997,-0.05398266291477183,-0.14105332050954136,0.018757792300573974,0.9352
ridge,perceived,leave-feature,CPPS,12,0.3487260813382195,0.026636578453954507,0.013986013986013986,0.04255217023353014,-0.017428340936769978,0.10782053911252483,0.077
ridge,perceived,leave-feature,HNR,12,0.36779291156701344,0.04964138903573001,0.01098901098901099,0.023485340004736177,-0.02629339121998461,0.07859382669186461,0.1924
ridge,perceived,leave-feature,H1-H2,12,0.4615421624652649,0.13703036558556625,0.001998001998001998,-0.0702639108935153,-0.14649497045000331,-0.013378484004368437,0.9928
ridge,actual,baseline,ALL-13,13,0.09316164234509638,-0.0480531089415992,0.1108891108891109,,,,
ridge,actual,block-alone,sibilant /s/,3,0.2861864729696503,0.05829861148809368,0.023976023976023976,,,,
ridge,actual,leave-block,sibilant /s/,10,-0.7567669977089955,-0.04811415361726801,0.6543456543456544,0.8499286400540919,0.5596939230921114,1.1285604944488818,0.0
ridge,actual,block-alone,vowels,2,-0.9458318239177904,-0.04566219539810579,1.0,,,,
ridge,actual,leave-block,vowels,11,0.16779249479593653,-0.014780812435401858,0.07792207792207792,-0.07463085245084014,-0.1721192914832005,0.021772123441516366,0.9418
ridge,actual,block-alone,diphthongs,2,-0.9419733580767946,-0.04371332774439973,0.7792207792207793,,,,
ridge,actual,leave-block,diphthongs,11,0.15388171005339898,-0.014354223951426937,0.07692307692307693,-0.0607200677083026,-0.17153803139833718,0.040423007988753146,0.8776
ridge,actual,block-alone,pitch/F0,3,-0.5826283419903684,-0.07283458689268518,0.3106893106893107,,,,
ridge,actual,leave-block,pitch/F0,10,-0.12235398258947262,-0.24133007135660844,0.23376623376623376,0.215515624934569,0.012653101008732775,0.4107753179736643,0.0182
ridge,actual,block-alone,phonation,3,-0.8131716759898685,-0.08537359734515393,0.3726273726273726,,,,
ridge,actual,leave-block,phonation,10,-0.008123085981043826,-0.10043724247727126,0.17082917082917082,0.10128472832614022,-0.06158161294304247,0.2591445680606978,0.1118
ridge,actual,leave-feature,S cog,12,-0.7714900910496374,-0.058414754344433995,0.7462537462537463,0.8646517333947338,0.5792532255078147,1.1413812895802904,0.0
ridge,actual,leave-feature,S skew,12,0.16302018178207325,-0.010472179865779863,0.08391608391608392,-0.06985853943697687,-0.14208528952576993,-0.011548521027706959,0.9884
ridge,actual,leave-feature,S dur,12,0.14047861818467666,-0.018521595825922166,0.09490509490509491,-0.04731697583958028,-0.1223957136231806,0.015370490198560766,0.9276
ridge,actual,leave-feature,vowel space,12,0.18160174096371104,-0.005654093151971296,0.06993006993006994,-0.08844009861861465,-0.18263868024506022,0.0007547508571046671,0.9742
ridge,actual,leave-feature,front F2,12,0.16149710316062754,-0.00971159964379198,0.07992007992007992,-0.06833546081553116,-0.1321010859078923,-0.016812748323917253,0.9988
ridge,actual,leave-feature,diph dyn,12,0.1814494331015665,0.010834039641208437,0.06993006993006994,-0.08828779075647011,-0.17899786641507437,-0.01284241680085871,0.99
ridge,actual,leave-feature,diph dur,12,0.05214005814082506,-0.07523184342007183,0.13286713286713286,0.04102158420427132,-0.07786004634736796,0.1579412409797966,0.244
ridge,actual,leave-feature,F0 range,12,0.01492617049016803,-0.10457192999233933,0.16483516483516483,0.07823547185492835,-0.08448630318810334,0.22507383543437512,0.1714
ridge,actual,leave-feature,F0 sd,12,0.08255086128235789,-0.060505995469053886,0.11388611388611389,0.010610781062738495,-0.0884628268075344,0.11084086234088882,0.4298
ridge,actual,leave-feature,F0 mean,12,0.17104172918835409,-0.02018171356178078,0.07492507492507493,-0.0778800868432577,-0.14275376373479945,-0.027261119172568002,0.9998
ridge,actual,leave-feature,CPPS,12,0.16850326481927785,-0.015315788382006978,0.07992007992007992,-0.07534162247418147,-0.15078561058852996,-0.0056399140220826285,0.9826
ridge,actual,leave-feature,HNR,12,0.15692786729629044,-0.04371050908796925,0.08391608391608392,-0.06376622495119405,-0.12526140555538787,-0.019287421059525876,0.9998
ridge,actual,leave-feature,H1-H2,12,-0.042900047837387704,-0.10270194562609625,0.18281718281718282,0.1360616901824841,-0.019207545630226364,0.2898805072424036,0.0462
enet,perceived,baseline,ALL-13,13,0.4560190252453372,0.12474622226024545,0.003996003996003996,,,,
