feature,rho_actual,ci_lo_actual,ci_hi_actual,p_actual,pearson_r_actual,pearson_p_actual,n_actual,q_actual,flagged_actual,rho_perceived,ci_lo_perceived,ci_hi_perceived,p_perceived,pearson_r_perceived,pearson_p_perceived,n_perceived,q_perceived,flagged_perceived,divergent
F3frequency_sma3nz_stddevNorm,-0.20576792175731642,-0.456070076541851,0.09595457739425019,0.15168924572872738,-0.23906154894017684,0.09452313963316977,50,0.9945515093744767,False,-0.31414643961345456,-0.5415712345769491,-0.04184036214024797,0.026300515020366927,-0.33623874996921516,0.016968008386057918,50,0.913294512227967,False,False
mfcc1V_sma3nz_amean,-0.2312541040228414,-0.4953687159149482,0.06587435975345123,0.10612856075047322,-0.16381784700872318,0.2556350497210557,50,0.9945515093744767,False,-0.3088154115142199,-0.5484538246588198,-0.03443980841557186,0.029104660027348603,-0.26280140323875956,0.06520604089621079,50,0.913294512227967,False,False
F3bandwidth_sma3nz_stddevNorm,0.03965081344497017,-0.22465590001141167,0.30376755205774686,0.7845537206459245,0.04952223976006962,0.7327062438605989,50,0.9945515093744767,False,0.2955598821863934,0.026586712361395898,0.5339639962697275,0.03717194592681529,0.315007099612926,0.025869727700650873,50,0.913294512227967,False,False
mfcc1_sma3_amean,-0.25024181750353136,-0.5060527586842656,0.03326775345319964,0.07964880307234785,-0.24079988886327025,0.09207857285835468,50,0.9945515093744767,False,-0.2771654338800254,-0.5437733613335274,0.04049642980812968,0.051337260979686404,-0.25493102850888405,0.0739874865206891,50,0.913294512227967,False,False
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.2751695376078596,0.012341677812232677,0.5145028341700351,0.053107365292600746,0.2150389803834102,0.13369142230061926,50,0.9945515093744767,False,0.27625291555673304,0.03580253578092924,0.5015137345314028,0.052140520706347684,0.2591860184104432,0.06913053393356725,50,0.913294512227967,False,False
F1frequency_sma3nz_stddevNorm,-0.12301398332543244,-0.41189539415183835,0.15377033985288557,0.3947257087369539,-0.12357384601273441,0.39256114111266405,50,0.9945515093744767,False,-0.2564656761253397,-0.5010166077978083,0.015306927803962025,0.07220551429207926,-0.27233568121961016,0.055705117431834414,50,0.913294512227967,False,False
jitterLocal_sma3nz_amean,0.2858310879579796,0.012829972841056627,0.5427092177943976,0.04419815561384884,0.19820903651816926,0.16763766243154857,50,0.9945515093744767,False,0.2560814578839534,-0.023613547206964323,0.5127211021367188,0.07264842710904283,0.2819786272242852,0.047264758995292804,50,0.913294512227967,False,False
F2frequency_sma3nz_stddevNorm,-0.1010308818892326,-0.39373318325868073,0.18650198855264963,0.4851043339406118,-0.14445491452646642,0.3168862340080576,50,0.9945515093744767,False,-0.238791637021571,-0.48943944877176376,0.04620154145878423,0.09490718265288195,-0.3042287061896916,0.03171264289758459,50,0.918415849995497,False,False
VoicedSegmentsPerSec,0.18759251687473083,-0.085468946305661,0.44327007880076114,0.19204767828816077,0.23113106172392167,0.10631983438766743,50,0.9945515093744767,False,0.2268808715385964,-0.07677410199206643,0.5081347159892713,0.11309071607614105,0.30536057763814545,0.031051688568511652,50,0.918415849995497,False,False
F2bandwidth_sma3nz_stddevNorm,0.1267201413042837,-0.13709421204700134,0.3728040352027459,0.38052697576266814,0.13476618268656027,0.35076606245242725,50,0.9945515093744767,False,0.2201090250341633,-0.061470793114424715,0.4866489395023909,0.12455184707524841,0.20309625740370452,0.1571929706281289,50,0.918415849995497,False,False
logRelF0-H1-H2_sma3nz_stddevNorm,0.24282950154582886,-0.023740078429776018,0.49067515064700357,0.08928694198110596,0.264969532201038,0.06293923035686175,50,0.9945515093744767,False,0.21482602421510197,-0.07752479474905102,0.49065616271553086,0.13408601547843124,0.37345930132775307,0.007554054875075689,50,0.918415849995497,False,False
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.05219082742820658,-0.2419613434118993,0.3354855935319583,0.718879917531352,0.07825366624704903,0.5890791112774317,50,0.9945515093744767,False,0.2122805783659179,-0.08578389602863497,0.4705942864769673,0.13887029373068951,0.21005640963962607,0.14315394260690162,50,0.918415849995497,False,False
MeanVoicedSegmentLengthSec,-0.08630778854859066,-0.36160937516517544,0.18581127163628572,0.5511978939054827,-0.14258084087628,0.3232717254346479,50,0.9945515093744767,False,-0.18687414715425033,-0.48022894213285167,0.1360117722228703,0.19378624912303893,-0.1565572114591111,0.27759455048602383,50,0.918415849995497,False,False
mfcc1V_sma3nz_stddevNorm,-0.0813323983852013,-0.35985953364125883,0.2035622064099683,0.5744619185602641,0.0378349853797952,0.7942001483978796,50,0.9945515093744767,False,-0.1779410730420194,-0.4399559389303412,0.0973829958876317,0.2163456968736843,-0.1827211165165192,0.20405679011189687,50,0.918415849995497,False,False
mfcc3_sma3_amean,0.022490794310015095,-0.28126897818470536,0.31471995404784575,0.8767968485942299,0.07140926096993644,0.6221551357952568,50,0.9945515093744767,False,-0.17001657181342747,-0.4595172899750295,0.1442854659409265,0.23783756549266163,-0.10239786562632439,0.4791862501304678,50,0.918415849995497,False,False
mfcc4V_sma3nz_stddevNorm,-0.006447699497453537,-0.278746312016969,0.2763454198894302,0.9645541596424068,-0.05317613549234847,0.7137970669674936,50,0.9945515093744767,False,-0.1617078523434492,-0.41797321685451466,0.10430064258883064,0.2618924319675616,-0.17656343422537762,0.21998123157198216,50,0.918415849995497,False,False
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.020206176377846514,-0.26414382738837494,0.2974177467769011,0.8892292411863368,0.00971169611763207,0.9466321111949509,50,0.9945515093744767,False,0.15661696064508104,-0.1576094290847222,0.44628532542853383,0.27740891613322755,0.1239815476566718,0.39098926002960754,50,0.918415849995497,False,False
loudness_sma3_stddevNorm,-0.06843699939029424,-0.33840936085087986,0.21853995363173248,0.6367574873045452,-0.0821299063989398,0.5707028097324737,50,0.9945515093744767,False,-0.15532022408040239,-0.4075192525282419,0.11829554973405386,0.28145614308510997,-0.13321939438907776,0.3563734529714092,50,0.918415849995497,False,False
mfcc3V_sma3nz_amean,0.0057876987614937266,-0.29052405515888574,0.2941191241311485,0.9681805044971645,0.07117359707627628,0.6233077788475171,50,0.9945515093744767,False,-0.1459068771664386,-0.4331767718253672,0.16696358584974158,0.3119944703989793,-0.0980045739301723,0.49834128543595524,50,0.918415849995497,False,False
loudness_sma3_percentile20.0,0.20663099964280235,-0.07636347809590009,0.46918626758933857,0.1499420102072676,0.2501716498037737,0.07973603463268025,50,0.9945515093744767,False,0.1440338132396805,-0.14817887027064044,0.4136657012958472,0.3183140166693324,0.16251660586624106,0.2594819970052756,50,0.918415849995497,False,False
