feature,family,lasso_perceived,enet_perceived,lasso_actual,enet_actual
AY_z2,vowel,0.917,0.961,0.15,0.225
S_cog_singleton,sibilant,0.869,0.947,0.175,0.362
UW_z1,vowel,0.844,0.919,0.219,0.361
logRelF0-H1-H2_sma3nz_stddevNorm,eGeMAPS,0.756,0.786,0.21,0.304
AA_z1,vowel,0.653,0.694,0.036,0.067
AW_z1,vowel,0.617,0.668,0.002,0.006
F3bandwidth_sma3nz_amean,eGeMAPS,0.61,0.637,0.0,0.004
Z_dur,sibilant,0.593,0.658,0.026,0.044
HNRdBACF_sma3nz_stddevNorm,eGeMAPS,0.58,0.608,0.036,0.075
mfcc2V_sma3nz_stddevNorm,eGeMAPS,0.542,0.58,0.034,0.047
SH_peak,sibilant,0.538,0.586,0.093,0.169
HH_peak,fricative,0.535,0.549,0.0,0.004
AE_z2,vowel,0.533,0.628,0.007,0.013
mfcc4V_sma3nz_stddevNorm,eGeMAPS,0.474,0.559,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,eGeMAPS,0.463,0.479,0.0,0.003
F_skew,fricative,0.447,0.56,0.001,0.003
SH_sd,sibilant,0.424,0.48,0.013,0.046
mfcc2_sma3_stddevNorm,eGeMAPS,0.422,0.446,0.035,0.069
mfcc3V_sma3nz_stddevNorm,eGeMAPS,0.42,0.536,0.027,0.045
AO_z1,vowel,0.41,0.54,0.201,0.288
AA_z2,vowel,0.39,0.441,0.096,0.161
HH_dur,fricative,0.389,0.429,0.017,0.035
EY_z2,vowel,0.371,0.47,0.002,0.009
AW_trajlen,diphthong,0.364,0.402,0.004,0.013
AH_z1,vowel,0.36,0.387,0.007,0.011
IH_z2,vowel,0.355,0.37,0.053,0.097
F2frequency_sma3nz_stddevNorm,eGeMAPS,0.351,0.448,0.011,0.018
F1bandwidth_sma3nz_stddevNorm,eGeMAPS,0.341,0.369,0.008,0.02
F_peak,fricative,0.333,0.457,0.02,0.032
OW_z1,vowel,0.325,0.355,0.098,0.186
AW_rate,diphthong,0.321,0.313,0.014,0.023
V_cog,fricative,0.318,0.395,0.112,0.235
mfcc1V_sma3nz_amean,eGeMAPS,0.316,0.452,0.02,0.052
F3bandwidth_sma3nz_stddevNorm,eGeMAPS,0.316,0.31,0.0,0.001
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,eGeMAPS,0.316,0.424,0.042,0.11
slopeV0-500_sma3nz_stddevNorm,eGeMAPS,0.3,0.307,0.003,0.008
mfcc1_sma3_amean,eGeMAPS,0.293,0.373,0.08,0.148
F_kurt,fricative,0.282,0.33,0.001,0.001
AW_z2,vowel,0.273,0.283,0.031,0.054
OW_rate,diphthong,0.269,0.329,0.028,0.067
V_skew,fricative,0.265,0.35,0.069,0.142
EY_z1,vowel,0.246,0.248,0.015,0.029
IH_z1,vowel,0.242,0.348,0.037,0.066
slopeV500-1500_sma3nz_amean,eGeMAPS,0.242,0.3,0.003,0.028
AY_z1,vowel,0.241,0.329,0.004,0.01
HH_sd,fricative,0.24,0.283,0.01,0.024
SH_kurt,sibilant,0.236,0.311,0.001,0.002
EH_z2,vowel,0.226,0.195,0.0,0.0
F3frequency_sma3nz_stddevNorm,eGeMAPS,0.222,0.272,0.064,0.125
alphaRatioV_sma3nz_stddevNorm,eGeMAPS,0.22,0.237,0.02,0.043
V_dur,fricative,0.215,0.228,0.011,0.028
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,eGeMAPS,0.215,0.243,0.001,0.006
slopeUV500-1500_sma3nz_amean,eGeMAPS,0.21,0.255,0.018,0.04
DH_peak,fricative,0.208,0.208,0.044,0.101
AH_z2,vowel,0.201,0.21,0.059,0.106
slopeV500-1500_sma3nz_stddevNorm,eGeMAPS,0.2,0.257,0.004,0.009
spectralFluxV_sma3nz_stddevNorm,eGeMAPS,0.196,0.23,0.002,0.005
V_peak,fricative,0.193,0.22,0.017,0.045
IY_z1,vowel,0.187,0.271,0.088,0.164
loudness_sma3_percentile20.0,eGeMAPS,0.186,0.207,0.118,0.206
MeanVoicedSegmentLengthSec,eGeMAPS,0.183,0.22,0.007,0.01
v_h1h2,voice-quality,0.183,0.187,0.077,0.134
mfcc4_sma3_stddevNorm,eGeMAPS,0.182,0.172,0.11,0.158
StddevVoicedSegmentLengthSec,eGeMAPS,0.182,0.193,0.02,0.032
jitterLocal_sma3nz_amean,eGeMAPS,0.176,0.259,0.038,0.083
OW_trajlen,diphthong,0.174,0.177,0.097,0.164
VoicedSegmentsPerSec,eGeMAPS,0.173,0.258,0.02,0.052
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,eGeMAPS,0.173,0.19,0.208,0.299
EY_rate,diphthong,0.172,0.191,0.009,0.022
loudnessPeaksPerSec,eGeMAPS,0.169,0.195,0.008,0.019
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,eGeMAPS,0.166,0.2,0.06,0.122
F1frequency_sma3nz_stddevNorm,eGeMAPS,0.16,0.229,0.005,0.01
logRelF0-H1-H2_sma3nz_amean,eGeMAPS,0.158,0.162,0.001,0.004
F2amplitudeLogRelF0_sma3nz_stddevNorm,eGeMAPS,0.157,0.217,0.006,0.012
F3amplitudeLogRelF0_sma3nz_stddevNorm,eGeMAPS,0.152,0.243,0.015,0.034
EH_z1,vowel,0.151,0.162,0.008,0.016
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,eGeMAPS,0.148,0.159,0.0,0.006
