feature,family,lasso_perceived,enet_perceived,lasso_actual,enet_actual
AY_z2,vowel,0.892,0.943,0.178,0.275
S_cog_singleton,sibilant,0.848,0.958,0.236,0.439
AE_z2,vowel,0.667,0.766,0.015,0.023
F_peak,fricative,0.624,0.737,0.031,0.074
UW_z1,vowel,0.624,0.752,0.269,0.386
AW_z1,vowel,0.586,0.69,0.004,0.011
Z_dur,sibilant,0.58,0.684,0.036,0.059
EY_z2,vowel,0.574,0.665,0.008,0.014
SH_peak,sibilant,0.529,0.642,0.11,0.203
OW_rate,diphthong,0.521,0.639,0.049,0.107
AO_z1,vowel,0.494,0.629,0.27,0.384
F_skew,fricative,0.453,0.563,0.002,0.005
IH_z1,vowel,0.444,0.539,0.045,0.082
IY_z1,vowel,0.407,0.537,0.102,0.194
SH_sd,sibilant,0.403,0.51,0.021,0.06
HH_dur,fricative,0.378,0.487,0.031,0.071
HH_peak,fricative,0.327,0.429,0.002,0.01
AA_z1,vowel,0.319,0.447,0.059,0.086
IH_z2,vowel,0.319,0.437,0.086,0.149
SH_kurt,sibilant,0.303,0.4,0.001,0.001
V_cog,fricative,0.293,0.386,0.147,0.276
AA_z2,vowel,0.275,0.378,0.115,0.198
S_peak,sibilant,0.275,0.537,0.096,0.244
EH_z2,vowel,0.256,0.35,0.0,0.0
S_kurt,sibilant,0.226,0.323,0.0,0.001
HH_sd,fricative,0.192,0.317,0.019,0.048
AW_trajlen,diphthong,0.191,0.262,0.006,0.017
Z_peak,sibilant,0.188,0.364,0.143,0.321
AY_z1,vowel,0.184,0.239,0.007,0.015
diph_duration,diphthong,0.178,0.285,0.012,0.032
AH_z1,vowel,0.172,0.275,0.011,0.026
F_sd,fricative,0.156,0.222,0.063,0.089
v_h1h2,voice-quality,0.154,0.21,0.116,0.186
V_skew,fricative,0.149,0.212,0.068,0.148
OW_z1,vowel,0.148,0.228,0.167,0.284
AW_z2,vowel,0.141,0.22,0.033,0.058
EY_rate,diphthong,0.135,0.173,0.016,0.035
AH_z2,vowel,0.134,0.194,0.104,0.162
AO_z2,vowel,0.113,0.153,0.01,0.039
S_sd,sibilant,0.111,0.163,0.003,0.005
EH_z1,vowel,0.107,0.147,0.019,0.033
F_dur,fricative,0.099,0.144,0.165,0.238
EY_z1,vowel,0.098,0.167,0.03,0.049
DH_skew,fricative,0.098,0.167,0.016,0.046
AW_rate,diphthong,0.096,0.133,0.018,0.027
F_cog,fricative,0.088,0.154,0.007,0.017
AY_rate,diphthong,0.087,0.135,0.025,0.044
S_cog,sibilant,0.078,0.399,0.077,0.275
DH_peak,fricative,0.075,0.14,0.05,0.118
v_cpps,voice-quality,0.073,0.113,0.0,0.005
IY_z2,vowel,0.065,0.101,0.008,0.02
Z_cog,sibilant,0.063,0.145,0.115,0.271
V_peak,fricative,0.051,0.105,0.023,0.051
HH_cog,fricative,0.049,0.089,0.004,0.005
SH_dur,sibilant,0.049,0.086,0.006,0.012
DH_dur,fricative,0.044,0.094,0.019,0.039
F_kurt,fricative,0.043,0.079,0.002,0.003
front_f2,vowel,0.043,0.078,0.002,0.003
EY_trajlen,diphthong,0.04,0.063,0.009,0.025
UW_z2,vowel,0.039,0.059,0.214,0.34
vowel_space_area,vowel,0.039,0.062,0.002,0.006
AE_z1,vowel,0.039,0.071,0.012,0.024
Z_sd,sibilant,0.034,0.057,0.004,0.012
V_sd,fricative,0.032,0.047,0.001,0.007
DH_kurt,fricative,0.03,0.071,0.004,0.015
DH_cog,fricative,0.029,0.046,0.624,0.738
V_dur,fricative,0.028,0.064,0.016,0.034
OW_z2,vowel,0.028,0.053,0.002,0.007
OW_trajlen,diphthong,0.027,0.044,0.146,0.215
SH_cog,sibilant,0.024,0.042,0.503,0.638
S_dur,sibilant,0.023,0.048,0.006,0.016
diph_dynamism,diphthong,0.018,0.027,0.002,0.004
V_kurt,fricative,0.015,0.023,0.003,0.004
HH_skew,fricative,0.013,0.03,0.201,0.341
AY_trajlen,diphthong,0.012,0.02,0.004,0.007
SH_skew,sibilant,0.011,0.024,0.009,0.03
DH_sd,fricative,0.008,0.014,0.028,0.088
HH_kurt,fricative,0.006,0.012,0.004,0.016
S_skew,sibilant,0.002,0.008,0.0,0.0
Z_kurt,sibilant,0.001,0.005,0.012,0.041
Z_skew,sibilant,0.0,0.0,0.0,0.0
