session_id,birth_year,native_eng,is_prolific,n_rated
003a8b7d-eebc-4f0c-acaf-6cccfba9dd88,2003,True,False,15
014d066a-17c3-4493-b41e-9003b27505e0,1993,True,False,10
01ffff5b-7a75-4c4e-81a5-634145970e84,2003,False,False,10
03ae04ba-5d76-43c7-a190-f938af63d6a7,1987,True,False,5
05580c17-98ef-49b8-8c16-ceb32c589910,2005,True,False,20
0599bc0b-87a1-424b-904a-e56456b45638,2008,True,False,15
0687e568-7a9f-4f97-bc5f-363ab47e7302,1996,False,False,5
06c89b11-91d7-4561-82e7-35516e5f4760,1966,True,False,5
06d1f062-f0b3-4058-a28d-f583381bbe51,2003,True,False,5
0734041e-d313-460b-b1f7-52ddabea230b,1997,True,False,15
083518ee-d4e4-4569-a11d-7a8487af619c,2002,False,False,5
08621db8-2140-461d-81be-ae85d993b399,2008,True,,10
090ca735-55b7-45e7-9798-bef1bf7d4014,1995,True,False,20
0a34332e-1a5b-477a-b71e-4b79e92f800c,1998,True,False,5
0b1e1c54-86f7-41b0-b5f8-3e31eaf6529c,1920,True,,15
0c09b81c-0a47-498a-a5ad-42304947de20,1999,True,False,5
0ffaf907-d387-47fb-ae93-20792dcb1fb3,2006,False,False,5
1187b0b4-48c9-4b90-a676-1c9a59b9a7fb,2000,False,False,10
11b8e8ab-5614-44df-b24b-3d543f83879c,1999,True,False,5
149e8bb5-2551-4cbe-97e3-d764784360a5,1997,False,False,5
14b0e926-71d0-4a02-8fe6-873d7e19c881,1992,True,False,10
15031e3d-f111-4351-924b-820e0a1afa58,2005,False,False,35
158e17c9-08e1-41fd-abb8-311c673fbc91,2007,True,False,10
1673d0a3-aaf5-4466-b68d-b1001fb76625,1989,True,False,5
16a76374-03e0-4915-b309-05f3409f427f,1994,True,False,20
16ac2b82-8fca-4b8c-8b1b-59450c7c8b73,2004,True,False,5
1764fba1-0d90-48b9-b545-651345363904,2001,True,False,5
17c9688e-b59a-4902-a200-7e26f13c8eca,2007,True,False,50
19e084ac-e04a-4896-9ec3-56b7024fe0af,1999,True,False,20
1b124d63-f543-41de-ad33-6b66ab0cf770,1999,True,False,10
1e176dc8-8b03-47a2-b6ae-89bbb66b9f5c,1995,True,False,5
1f8c089c-e5e3-4873-83d7-22b89b7b03a9,2003,True,False,25
205585df-0f98-42a8-9df0-74588aee56f5,2007,True,,5
212e61eb-5198-4c82-960f-b4a3807e3d09,2005,True,False,10
231725a7-4870-4a02-92f2-bdb6c67eec81,2007,True,False,5
231b3de3-73c8-4008-9df1-7b3efa5a9c5b,2003,True,False,5
238bf639-a8ad-4188-9779-e0314a200f69,2007,True,False,5
23b4b8d2-c338-4861-a52e-e2a6c92b3206,2007,True,,5
24f504c4-eab9-4680-912c-a377c24b13d8,2009,True,False,40
275663d1-b720-43de-a9db-64bcb36d79a4,2007,True,,20
27609395-1fd5-46da-8737-f84d51c60a0b,2000,True,False,5
277110e2-9a93-4fe4-a06a-fe9905e10c84,2008,False,False,5
28812ba7-772e-4e5d-ae77-bc6e26cd0f8a,2008,True,,10
288df6d2-9c72-434f-b386-a28912eab50a,2002,True,False,20
295c4336-c027-4b51-b012-94ab5cdd5c72,2007,True,False,30
298b7ef8-a9ab-4f65-a363-cb990069cef0,1987,True,False,25
2b04174d-9c8e-49a6-a2fa-381876e1c59d,2009,True,,5
2d2c2ab2-ba76-4e53-bf02-96faeb72bc50,1993,True,False,20
2e6ad1a2-954b-4196-8ecd-d0ea8e36fc73,2001,True,False,5
2f02492f-69e1-41b2-8b3a-e2d45550fdc1,2008,False,False,5
3023026e-052a-437b-88f4-622ad3a4c258,1985,False,False,5
3029fafb-23db-4b33-9cbc-40f80f466524,1996,True,False,15
32ec8bff-3a59-4ddd-a928-3ff8fc84c42e,2010,False,False,10
3408b714-5da5-4503-af88-4b6a7f411d3a,2000,False,False,30
343db3fe-7813-4dbd-9d6f-68d076061a6b,1996,True,False,10
36d731dd-4c4c-4135-b093-0892a29f33d7,1999,False,False,5
377defb3-e727-448c-867c-28d39868efa4,2000,False,False,15
37d78b84-3d65-45e5-84c3-1e80aeac80b8,1998,True,False,20
38646dd9-06f8-42fe-b1cd-5555df164263,2005,True,False,20
387dd7de-5ebe-41bb-880e-4eb8f0ad1ce8,2007,True,False,5
389dd3e8-504c-4832-a975-fe720cd079ac,1992,True,False,10
3991e695-c0f3-41f7-b20f-065753e62ff1,2000,True,False,20
3ce53e8c-0892-4892-b7df-7acff407123e,2003,False,False,35
3dbc2811-903c-4da0-a325-e8edf1168142,1980,True,False,5
3e5e18d7-6deb-4f07-adcb-2a4cadabf74b,2008,True,,5
3f3ecf31-7f78-466b-a1c6-a88ea5fa2ef6,1996,True,False,10
40e7cc91-baa1-4260-9aa3-45b2cffa9589,2006,True,False,20
41954afb-e22c-425a-949c-ffdfe9119595,2002,True,False,15
42421cef-fbe4-4a30-9f3a-066f7c714858,2002,True,False,5
42619842-dc86-49b6-8fb6-a24e667ab1bc,2003,True,False,15
426deff5-5d62-45eb-b669-5e398069e6ee,1970,True,False,10
42d4c7ec-adfa-40e7-9be7-cfa1862c5229,2007,True,,5
43309ccb-2f74-45c8-aeb6-e2978b5d812c,2008,True,,5
442ac316-1cf3-43b4-a8d4-1727b46714e5,1994,True,False,10
45ee37f8-e121-44d7-b0d3-60fda8213562,1998,True,False,5
464800aa-fae1-4975-8a55-301a5072d795,1999,True,False,5
4674fa37-b88c-4613-8967-1b501c289a81,2008,True,,25
46ba9568-67e9-45e5-a213-8f76372886dc,2008,True,False,15
47c97a5e-05ac-40d6-b20c-edaa46d9adc0,1991,True,False,35
47cdcd22-93a4-40af-ac3f-86c67efae4b4,2001,False,False,5
4ac06483-16d3-4341-ba94-2126cdaae5bb,2009,True,,15
4ad71d4c-9ace-42fd-900b-a1d1a7ed2bc5,1986,True,False,25
4eb38879-265f-4746-95c2-15dc91526aa6,2007,True,False,30
50e3b223-a3b3-4b98-b2fd-d90fb56e68ea,2008,True,,10
50f13924-cb83-44d6-b6b2-71a8d9d4dbd5,2007,False,False,25
51df000a-cf66-46f3-8e56-fc221caa2c0d,2001,False,False,5
529d4f54-2b61-4279-8d43-ab948a0c80c0,2003,True,False,10
52df3ecd-bad3-433d-831c-f1afa7a2065d,1994,True,False,10
5381f5fa-f52a-455f-940a-a7c1c2290748,2000,True,False,5
54c5da4f-bda1-4dc0-a95e-de96bee526ac,1989,False,False,5
5657df30-bf53-4ecc-8caa-0bf87238d7fb,2007,False,,50
57b49cc9-b487-4775-bcf3-5fab8ad12f50,1989,True,False,5
57c57bed-34a6-4a67-a61a-22e696d3babc,2008,True,,5
57f0caec-45cc-4c34-a586-ea61c6034e7a,2006,False,False,20
5832b462-a775-410f-bea1-1c648745631b,2003,False,False,5
59c1ebf0-6023-4453-a28d-58bad8d96822,2002,True,False,5
5a12c587-6587-4fd9-9ff6-b71a9ca9ff99,1996,False,False,5
5b1014c9-a9be-4368-80d5-94441ffbe84a,2003,True,False,10
5b8dd845-bdb5-493e-a5dd-3b6afaa0d746,1990,True,False,30
5cc25470-aeef-43e1-8c04-20e8f89f026c,2007,False,,5
5ebaa556-26f9-486c-85ea-50121f4209dc,2000,False,False,5
5ed7a3f2-9052-4c47-b77a-9259d5c6662a,1993,False,False,5
60114d30-7921-4827-bf8b-ed1aa6000029,1920,True,,5
60181fdd-89f1-4cc3-878c-9024a35deb47,2004,False,False,50
607d0ace-623c-4cdf-a99a-345d22752b2c,2005,True,False,30
61402fd3-b7a9-4375-9572-1b3f593fc288,1983,False,False,15
6222f983-5269-430f-bf23-2cdef70bb181,1966,True,False,10
62983b28-4c15-449b-b9ce-e2d9ce8d8440,2007,False,False,5
63d7ac85-e455-4323-944c-104db9d2c96d,2000,True,False,5
6417d936-0dd0-44b8-bedd-d626d7c4c0b0,2007,True,,25
648967ab-d5ba-4c0a-b54f-81c5892a20c0,1998,False,False,5
68d76081-59c7-4a66-bb53-a5cf543b3e56,2005,True,False,5
6b2005be-24f1-4c2f-acf9-c37158abfada,2008,False,,5
6c61342c-cf9e-4e87-83e7-055f6239c908,2010,True,False,5
6d251dcc-6929-4bf0-9281-e3cc9a2e077a,2009,True,,15
6d431b24-cd8a-4253-be32-b37cf2d1ca6b,2001,True,False,20
