phone,klass,is_target,total_usable,median_per_spk,min_per_spk,p25_per_spk,n_spk_ge1,n_spk_ge3,n_spk_ge5
T,stop,False,2625,52.5,50,52.0,50,50,50
N,nasal,False,1850,37.0,37,37.0,50,50,50
D,stop,False,1643,33.0,31,33.0,50,50,50
S,fricative,True,1478,30.0,29,29.0,50,50,50
R,approx,False,1202,24.0,24,24.0,50,50,50
L,approx,False,1050,21.0,21,21.0,50,50,50
K,stop,False,950,19.0,19,19.0,50,50,50
AE,vowel,True,902,18.0,14,17.0,50,50,50
AY,vowel,True,900,18.0,18,18.0,50,50,50
B,stop,False,850,17.0,17,17.0,50,50,50
M,nasal,False,800,16.0,16,16.0,50,50,50
DH,fricative,False,750,15.0,15,15.0,50,50,50
W,approx,False,700,14.0,14,14.0,50,50,50
AH,vowel,False,722,14.0,13,14.0,50,50,50
IH,vowel,False,672,13.5,12,13.0,50,50,50
AA,vowel,True,599,12.0,11,12.0,50,50,50
EY,vowel,True,612,12.0,11,12.0,50,50,50
G,stop,False,550,11.0,11,11.0,50,50,50
UW,vowel,True,559,11.0,11,11.0,50,50,50
F,fricative,False,550,11.0,11,11.0,50,50,50
OW,vowel,True,500,10.0,10,10.0,50,50,50
EH,vowel,False,518,10.0,10,10.0,50,50,50
Z,fricative,True,450,9.0,9,9.0,50,50,50
P,stop,False,400,8.0,8,8.0,50,50,50
NG,nasal,False,300,6.0,6,6.0,50,50,50
V,fricative,False,300,6.0,6,6.0,50,50,50
IY,vowel,True,300,6.0,6,6.0,50,50,50
SH,fricative,True,322,6.0,6,6.0,50,50,50
AW,vowel,True,300,6.0,6,6.0,50,50,50
AO,vowel,False,256,5.0,5,5.0,50,50,50
JH,affricate,False,250,5.0,5,5.0,50,50,50
HH,fricative,False,247,5.0,4,5.0,50,50,46
Y,approx,False,250,5.0,5,5.0,50,50,50
TH,fricative,False,150,3.0,3,3.0,50,50,0
ER,vowel,False,150,3.0,3,3.0,50,50,0
CH,affricate,False,128,3.0,2,2.0,50,28,0
UH,vowel,False,100,2.0,2,2.0,50,0,0
