feature,group,pred_perceived,rho_perceived,ci_lo_perceived,ci_hi_perceived,p_perceived,n_perceived,pred_actual,rho_actual,ci_lo_actual,ci_hi_actual,p_actual,n_actual,q_perceived,confirmed_perceived,q_actual,confirmed_actual
S_cog,A,+,0.48589199351312024,0.22704107563561135,0.69462170440154,0.00017369987560649506,50,+,0.33050806085372064,0.04388708462829309,0.5826642417039304,0.009533077707363037,50,0.0022580983828844356,True,0.12393001019571948,False
S_skew,A,-,-0.21833201566775176,-0.49576269959470526,0.07213079158750174,0.06384993189914366,50,-,-0.15139401497170432,-0.40752545451864675,0.11819909690443516,0.14697284262911986,50,0.27668303822962254,False,0.6714308829936347,False
S_dur,A,+,-0.016713493500303038,-0.28577149212115555,0.2782845750960016,0.5458571185577189,50,+,0.08910009935457447,-0.17643174232502948,0.34728955062674016,0.269170621451043,50,0.6451038673863951,False,0.6714308829936347,False
vowel_space_area,A,+,-0.036981005733429134,-0.3121563057817081,0.2535134468293483,0.6006262518453056,50,+,0.10641242635167411,-0.1998409759352778,0.4068947265896486,0.23101445041063218,50,0.650678439499081,False,0.6714308829936347,False
front_f2,A,+,-0.12098071875650387,-0.41290980008359507,0.17078365567738904,0.7986773046310123,50,+,0.07681393180824567,-0.20967627333751593,0.37746487336479084,0.2979856042038397,50,0.7986773046310123,False,0.6714308829936347,False
diph_dynamism,A,+,0.09485387834223706,-0.21857210590298112,0.39104246218150357,0.25615866618044325,50,+,-0.021780024286673756,-0.31490532095720547,0.26944840634733785,0.5596691530173791,50,0.4162578325432203,False,0.909462373653241,False
diph_duration,A,+,0.014888456853718224,-0.27403344026871024,0.29783158071597465,0.45913222635688544,50,+,0.05285082816416639,-0.2333765871058213,0.3019507750718741,0.3577369318137395,50,0.596871894263951,False,0.6714308829936347,False
F0_range,B,+,0.27625291555673304,0.02644195504402552,0.5058501640584683,0.026070260353173842,50,-,0.2751695376078596,0.003953353435376444,0.5251631672588376,0.9734463173536996,50,0.16945669229562998,False,0.9734463173536996,False
F0_stddev,B,+,0.1396153034637383,-0.14509657141834528,0.4158886919329327,0.16677040982419367,50,-,0.15058170637359994,-0.09809006367570941,0.38600346515384104,0.8517130321384042,50,0.3837429894999087,False,0.9734463173536996,False
F0_mean,B,+,0.060802536699378296,-0.23048372090320499,0.3251545588628185,0.33744256910609943,50,-,-0.05137851883010219,-0.3435309633141844,0.2159186729940488,0.3615397062273418,50,0.48741704426436583,False,0.6714308829936347,False
v_cpps,B,-,-0.11829119106679996,-0.38308707837274164,0.14411730016118576,0.20663084049995084,50,+,-0.0511754416805761,-0.28343200306152666,0.2103447841550658,0.637934722559802,50,0.3837429894999087,False,0.921461265919714,False
HNR,B,-,-0.12698412877816448,-0.42146618614405384,0.18400716612320883,0.18976367096383434,50,+,-0.10067549687756193,-0.34865218004279513,0.1580632985975269,0.7566754223878449,50,0.3837429894999087,False,0.9734463173536996,False
v_h1h2,B,+,0.15267872367087174,-0.17148710722189636,0.45614374735810176,0.14490997112566295,50,-,0.21460177776170158,-0.0728712508845073,0.48967652116102306,0.9327487645672956,50,0.3837429894999087,False,0.9734463173536996,False
