feature,group,pred_perceived,rho_perceived,ci_lo_perceived,ci_hi_perceived,p_perceived,n_perceived,pred_actual,rho_actual,ci_lo_actual,ci_hi_actual,p_actual,n_actual,q_perceived,confirmed_perceived,q_actual,confirmed_actual
S_cog,A,+,0.46013952677728526,0.1824958643640646,0.6919799708677894,0.0004998745071206669,48,+,0.30943760071856347,0.040285224772820545,0.5519213509856953,0.01617050808960773,48,0.00649836859256867,True,0.2102166051649005,False
S_skew,A,-,-0.20178605722406437,-0.49359651946502153,0.09428811226370541,0.0845101371022619,48,-,-0.13581964170501012,-0.3991986884236466,0.12621171194626318,0.17866699443481965,48,0.36621059410980156,False,0.738395226580749,False
S_dur,A,+,-0.025786488345824744,-0.3271155874509254,0.2678370337938534,0.5690568959358168,48,+,0.08449715581818075,-0.2131161900000978,0.3614119610128257,0.28399816406951883,48,0.6164783039304681,False,0.738395226580749,False
vowel_space_area,A,+,-0.017209088011845144,-0.31680099148978713,0.28940764970439653,0.5462108830480786,48,+,0.12298902023330276,-0.19609307444757723,0.4258951924775248,0.20247864636785334,48,0.6164783039304681,False,0.738395226580749,False
front_f2,A,+,-0.10385168885381627,-0.4029288879191841,0.20057136921292607,0.7587983890696943,48,+,0.09906164505633504,-0.19205226949648524,0.3940783417972817,0.2514675737769922,48,0.7587983890696943,False,0.738395226580749,False
diph_dynamism,A,+,0.025732201001938796,-0.2974445152850677,0.3294190712535457,0.4310870785522093,48,+,-0.04958861812038241,-0.34604215020169643,0.2559588150843218,0.6310780344853473,48,0.6164783039304681,False,0.907154095138031,False
diph_duration,A,+,-0.003148665945384916,-0.319467992734044,0.3010021487106104,0.5084727400971831,48,+,0.04768136357729079,-0.23255219792824164,0.3065698196943983,0.3737939774210439,48,0.6164783039304681,False,0.7915553339142714,False
F0_range,B,+,0.2186151338287079,-0.03414697473215073,0.4629933182334451,0.0677436273506465,48,-,0.2646460167520176,-0.004594582631949223,0.5002863094243342,0.9654489481883283,48,0.36621059410980156,False,0.9654489481883283,False
F0_stddev,B,+,0.05933606686733988,-0.2187714562956842,0.3238905820866336,0.344353878493317,48,-,0.12934653537694155,-0.12787205153256956,0.3741017235123934,0.8095409846709469,48,0.6164783039304681,False,0.9567302546111192,False
F0_mean,B,+,0.1198664553001706,-0.18142073604693099,0.41552492721278117,0.20853917658399973,48,-,-0.02756849748650631,-0.32388798336026614,0.25432851392934264,0.4262221028769153,48,0.45483340545485224,False,0.7915553339142714,False
v_cpps,B,-,-0.11916071982965327,-0.38736207182844135,0.16943881466046135,0.20992311020993182,48,+,-0.049241844567093025,-0.29927129253885615,0.21300177559163438,0.6301937022127085,48,0.45483340545485224,False,0.907154095138031,False
HNR,B,-,-0.037078255874101684,-0.3450232900093339,0.25980063488217575,0.4012162483798284,48,+,-0.07669475086916955,-0.34297555862876405,0.20314682546520502,0.69781084241387,48,0.6164783039304681,False,0.907154095138031,False
v_h1h2,B,+,0.16791075463923355,-0.14157841812469346,0.44838964347027505,0.12698139123093422,48,-,0.2165022884370076,-0.08377272693555778,0.48904246044745364,0.9302997033590824,48,0.41268952150053617,False,0.9654489481883283,False
