phone_class,head,mean_contribution,sd,n_speakers
/s/,enet,0.2795116894137577,0.5174977724789814,50
/s/,ridge,-2.266969663508994,1.0251401645028249,50
non-sib fric,enet,0.6170852618918065,0.4356675540177978,50
non-sib fric,ridge,-0.6525445008394367,0.5172483409073724,50
other sib,enet,0.27791766291055614,0.7560927632921547,50
other sib,ridge,-2.347917451430534,0.864674495963075,50
sonorant,enet,-0.6228584062767263,0.2788337914712949,50
sonorant,ridge,-0.5980968070722511,0.34885718504668767,50
stop/affr,enet,0.3778974701810873,0.3017767177903664,50
stop/affr,ridge,-0.13619236729737944,0.3945126096110845,50
vowel,enet,-0.11469960623471716,0.25012094533889573,50
vowel,ridge,1.054461341375299,0.36509089968994246,50
