model,target,layer,n,cv_spearman,cv_r2,cv_mae,perm_p,is_best,best_fw_p
ridge,perceived,0,50,0.24148116471127493,-0.017964354883838407,0.7746697800594551,0.14285714285714285,False,0.14285714285714285
ridge,perceived,1,50,0.4165886282230706,-0.11765665526207658,0.7533408178588898,0.14285714285714285,False,0.14285714285714285
ridge,perceived,2,50,0.33633504305351203,-0.044160497709756275,0.8089783115028952,0.14285714285714285,False,0.14285714285714285
ridge,perceived,3,50,0.5351199556907369,0.22508137284973684,0.696190438542982,0.14285714285714285,False,0.14285714285714285
ridge,perceived,4,50,0.47715102852158237,0.20089836611577305,0.7091855847990484,0.14285714285714285,False,0.14285714285714285
ridge,perceived,5,50,0.615133404459429,0.39263162732769064,0.6010755596210017,0.14285714285714285,False,0.14285714285714285
ridge,perceived,6,50,0.726508667181276,0.556982398387122,0.4917352252246337,0.14285714285714285,True,0.14285714285714285
ridge,perceived,7,50,0.6468794366539701,0.46308662499400477,0.5615771705738866,0.14285714285714285,False,0.14285714285714285
ridge,perceived,8,50,0.6552842106842949,0.4758779439733568,0.5515979370457988,0.14285714285714285,False,0.14285714285714285
ridge,perceived,9,50,0.6123478222093784,0.37383532071867165,0.6059933728686655,0.14285714285714285,False,0.14285714285714285
ridge,perceived,10,50,0.7164709656250595,0.509262298700563,0.5346422494820948,0.14285714285714285,False,0.14285714285714285
ridge,perceived,11,50,0.7035035999782726,0.5202375995776898,0.5270678858556829,0.14285714285714285,False,0.14285714285714285
ridge,perceived,12,50,0.6507696463480063,0.43766425605331405,0.5845205629996094,0.14285714285714285,False,0.14285714285714285
ridge,perceived,S_cog-alone,50,0.4445405052839222,0.17691864319531825,0.6708529236353322,,False,
enet,perceived,0,50,0.288403817440574,-0.07254192957783134,0.7692677355158155,0.14285714285714285,False,0.14285714285714285
enet,perceived,1,50,0.3861393325932081,-0.02316412407128965,0.7490940004500789,0.14285714285714285,False,0.14285714285714285
enet,perceived,2,50,0.04284033391456986,-0.1831158354970761,0.8787683540496274,0.14285714285714285,False,0.14285714285714285
enet,perceived,3,50,0.37744639488184367,-0.05987257025204262,0.7961258360613946,0.14285714285714285,False,0.14285714285714285
enet,perceived,4,50,0.4392575044648609,0.11174618210309828,0.727643788240958,0.14285714285714285,False,0.14285714285714285
