vowel,ridge_rho,ridge_n,enet_rho,enet_n
AY,0.8663641070458807,50,0.7111399375258249,50
EY,0.6899118796892332,50,0.4192781559127745,50
AE,0.6704608312190529,50,0.5882381275623897,50
AW,0.46538434487912766,50,0.15464784215797636,50
AO,0.6104747582826204,50,0.25305573923303654,50
OW,0.5468866393331916,50,0.17582787271439487,50
IY,0.7869750129194413,50,0.5352160102510836,50
IH,0.8217467637648993,50,0.5941935103038769,50
EH,0.71925654787511,50,0.4333501490035469,50
AA,0.6184472867913856,50,0.3192373313118227,50
AH,0.8907619653739094,50,0.6838604423873993,50
UW,0.6770405686027928,50,0.520951908039618,50
