file,label,group,color,number
12345678M_mono_0001.wav,OW,14,Maroon,1
12345678M_mono_0002.wav,IH,11,Teal,2
12345678M_mono_0003.wav,AO,4,Green,3
12345678M_mono_0004.wav,IH,11,Teal,4
12345678M_mono_0005.wav,AY,7,Magenta,5
12345678M_mono_0006.wav,OW,14,Maroon,6
12345678M_mono_0007.wav,AH,3,Black,7
12345678M_mono_0008.wav,EY,10,Purple,8
12345678M_mono_0009.wav,AE,2,Blue,9
12345678M_mono_0010.wav,IY,13,Pink,10
12345678M_mono_0011.wav,IY,13,Pink,11
12345678M_mono_0012.wav,AH,3,Black,12
12345678M_mono_0013.wav,IY,13,Pink,13
12345678M_mono_0014.wav,AY,7,Magenta,14
12345678M_mono_0015.wav,OW,14,Maroon,15
12345678M_mono_0016.wav,AA,1,Red,16
12345678M_mono_0017.wav,EH,8,Black,17
12345678M_mono_0018.wav,ER,9,Lime,18
12345678M_mono_0019.wav,EY,10,Purple,19
12345678M_mono_0020.wav,AA,1,Red,20
12345678M_mono_0021.wav,AY,7,Magenta,21
12345678M_mono_0022.wav,AY,7,Magenta,22
12345678M_mono_0023.wav,AH,3,Black,23
12345678M_mono_0024.wav,AH,3,Black,24
12345678M_mono_0025.wav,IH,11,Teal,25
12345678M_mono_0026.wav,AE,2,Blue,26
12345678M_mono_0027.wav,AA,1,Red,27
12345678M_mono_0028.wav,AH,3,Black,28
12345678M_mono_0029.wav,AE,2,Blue,29
12345678M_mono_0030.wav,EH,8,Black,30
12345678M_mono_0031.wav,ER,9,Lime,31
12345678M_mono_0032.wav,ER,9,Lime,32
12345678M_mono_0033.wav,AH,3,Black,33
12345678M_mono_0034.wav,IY,13,Pink,34
12345678M_mono_0035.wav,IH,11,Teal,35
12345678M_mono_0036.wav,AH,3,Black,36
12345678M_mono_0037.wav,EH,8,Black,37
12345678M_mono_0038.wav,IH,11,Teal,38
12345678M_mono_0039.wav,AW,5,Olive,39
12345678M_mono_0040.wav,AY,7,Magenta,40
12345678M_mono_0041.wav,IH,11,Teal,41
12345678M_mono_0042.wav,AE,2,Blue,42
12345678M_mono_0043.wav,EY,10,Purple,43
12345678M_mono_0044.wav,AH,3,Black,44
12345678M_mono_0045.wav,UW,17,Cyan,45
12345678M_mono_0046.wav,EY,10,Purple,46
12345678M_mono_0047.wav,AE,2,Blue,47
12345678M_mono_0048.wav,EY,10,Purple,48
12345678M_mono_0049.wav,UW,17,Cyan,49
12345678M_mono_0050.wav,EH,8,Black,50
12345678M_mono_0051.wav,AH,3,Black,51
12345678M_mono_0052.wav,IH,11,Teal,52
12345678M_mono_0053.wav,IH,11,Teal,53
12345678M_mono_0054.wav,AH,3,Black,54
12345678M_mono_0055.wav,AW,5,Olive,55
12345678M_mono_0056.wav,AH,3,Black,56
12345678M_mono_0057.wav,EY,10,Purple,57
12345678M_mono_0058.wav,ER,9,Lime,58
12345678M_mono_0059.wav,AA,1,Red,59
12345678M_mono_0060.wav,AY,7,Magenta,60
12345678M_mono_0061.wav,AA,1,Red,61
12345678M_mono_0062.wav,AY,7,Magenta,62
12345678M_mono_0063.wav,AH,3,Black,63
12345678M_mono_0064.wav,AO,4,Green,64
12345678M_mono_0065.wav,ER,9,Lime,65
12345678M_mono_0066.wav,AO,4,Green,66
12345678M_mono_0067.wav,AH,3,Black,67
12345678M_mono_0068.wav,AE,2,Blue,68
12345678M_mono_0069.wav,OW,14,Maroon,69
12345678M_mono_0070.wav,IH,11,Teal,70
12345678M_mono_0071.wav,EY,10,Purple,71
12345678M_mono_0072.wav,AH,3,Black,72
12345678M_mono_0073.wav,AH,3,Black,73
12345678M_mono_0074.wav,AO,4,Green,74
12345678M_mono_0075.wav,AH,3,Black,75
12345678M_mono_0076.wav,UW,17,Cyan,76
12345678M_mono_0077.wav,AH,3,Black,77
12345678M_mono_0078.wav,EY,10,Purple,78
12345678M_mono_0079.wav,ER,9,Lime,79
12345678M_mono_0080.wav,AW,5,Olive,80
12345678M_mono_0081.wav,AH,3,Black,81
12345678M_mono_0082.wav,OW,14,Maroon,82
12345678M_mono_0083.wav,IY,13,Pink,83
12345678M_mono_0084.wav,AE,2,Blue,84
12345678M_mono_0085.wav,IH,11,Teal,85
12345678M_mono_0086.wav,OW,14,Maroon,86
12345678M_mono_0087.wav,IH,11,Teal,87
12345678M_mono_0088.wav,AH,3,Black,88
12345678M_mono_0089.wav,EY,10,Purple,89
12345678M_mono_0090.wav,EH,8,Black,90
12345678M_mono_0091.wav,ER,9,Lime,91
12345678M_mono_0092.wav,IY,13,Pink,92
12345678M_mono_0093.wav,AY,7,Magenta,93
12345678M_mono_0094.wav,AE,2,Blue,94
