e1,e2,e3,e4,e5,e6,e7,e8
133.6,153.2,72.3,64.5,65.1,69,219.1,801.4
265.5,160.5,71.6,49.4,47.3,277.5,540.4,751
724.5,430.8,713.2,122.5,223.2,507.5,246.9,446.2
393.9,107.5,86.3,75.7,165.6,122.4,303.1,296.1
88.3,58.5,64.3,78.8,232.5,223.9,297.2,807.5
34.4,44.8,89.9,258.3,401.5,626.7,1332.4,91.4
56.2,53.2,48.8,50.5,50.7,53.1,1122.8,82.8
301.5,265.3,194.5,129.5,108.1,93.5,86.9,98.3
145.5,217.4,432.6,52,48.7,50.1,64.1,367.8
146.5,120.8,107.2,108.6,89.7,95.8,84.3,72.4
96,74.6,64,69.1,76.4,72.1,86,1170.2
95.6,95.5,94,89.2,98.7,96.3,378.9,628.6
528.2,702.2,142,154,191.9,151,113.9,161.9
193.7,240.2,159.3,130.5,265.4,130.1,124.1,112.3
312.5,357.7,142.3,98.2,124,103.6,114.6,178.4
487.9,276.3,112.2,116.3,96,88.6,160.1,767.7
348.7,59.6,75.6,92.1,88.1,121.2,174.3,376
67.9,73.7,120.1,479.1,544.5,691,1200.3,1669
99.5,93.9,103,75.9,47.4,60.6,98.5,294.9
128.3,32.4,34.1,42.1,35.3,53.3,131.1,200.9
144.3,151.8,105.5,103,113.1,146.6,102.6,132.5
88.9,104.7,103.9,111.4,130.5,128.2,140.8,148
10113.9,10086.8,10100.7,74,135.9,124,209.4,694.7
136.5,107.4,104.2,93,102.5,509,1358.4,675.6
425.2,587.5,496.7,128.1,70.9,246.7,144.8,125.7
10590.8,10451.5,93.8,104.7,137.1,180.3,173.8,144.6
10406.9,270.8,163,129.6,90.9,119.3,130.1,1226.7
82.5,211.7,158.5,167,310.1,571.1,802.4,1325.2
93.4,149.4,86.9,105,132.8,124.9,113.6,147.8
406.5,274.1,128.6,134.1,155.9,106.7,80.8,129.9
135.9,58.3,71.2,99.1,131.5,168.2,192.1,363.7
103.2,106.2,121.7,179.2,165.9,178.2,426.3,100.9
68.2,110.3,83.8,95.1,348,441.4,329.2,284.7
259.5,726.8,72.8,81,184.7,186.3,345.3,166.2
398.9,175.1,167.1,190.3,218.6,226.9,271.3,90.6
65.9,97.3,61.4,216.7,166.5,862.6,614,1214.9
652.4,1051.9,71.1,810.6,788.1,814.5,976.1,926
436.7,110.9,47.8,49.1,58.8,43.3,54.5,594.7
207.9,164.1,156.7,141.5,147.9,148.4,145.5,146.5
160.1,163,198.4,200.9,185.5,208.8,263,458.2
129.4,151.6,145.7,162.4,177.1,188.5,151.8,129.8
431.7,458,36.6,33.9,36.4,39.6,39.3,47.6
75,106.7,89.2,80.3,88,150.1,167.7,137.3
82.5,93.3,88,70.1,92,124.3,138.6,135.6
107.7,126.8,165.8,108.3,136.6,305.6,454.5,462.3
235.5,192.7,173.9,150.7,148.9,136.4,141.1,234.8
164.9,286,93.6,112.2,130.3,115.8,117.8,177.6
517.3,458.4,113.5,117.2,127.5,116.8,136.4,154.4
338.1,283.5,275.4,484.8,485,473.7,651.7,565.9
233.5,316.1,119.4,122.9,114.1,129.4,370.3,359.2
460.1,169.9,82.6,96.6,78.9,188.8,396.3,610.3
369,336.3,152,151.2,198.2,166.8,174.2,448.2
181.6,268.1,207.3,67.8,42,44.9,40.6,43.9
138.5,122.3,71.1,73,88,607.8,1014.8,1156.1
476.3,111.5,107.7,102.4,98.5,112.9,153.2,315.7
47.5,55.6,92.6,94.5,94.3,162,779.8,742.2
167.7,292.2,270,122.4,119.3,123.5,111.3,152.7
321.7,475.3,608.3,873.3,681.6,516,604.1,1012.5
104.8,300.5,430.8,558.3,753.9,817.6,918.2,342.1
129.2,425.9,166.6,127.2,80.3,90.5,161.5,170.8
101.7,151.4,128.5,132.2,133.3,127.6,115.6,113.6
325.2,305.9,405.8,160.3,98.4,109.1,110.2,133
211.1,152.9,76.1,71.7,64.8,67.3,65.3,95.4
10296.7,181.8,316.1,522.7,622.2,643.1,534.3,95.8
112.2,99.2,647.5,562.6,635.3,920,854.1,948.7
105.8,84.6,148.8,141.7,540.7,660.1,344.3,292.2
85.7,144.4,798.7,787.8,991.2,1123.2,1184,581.5
70.7,60.3,67.7,81.8,95.3,82.1,74.5,129.4
500.2,100.1,108.5,125.2,103.5,177.6,275.5,185.6
312.4,343.9,182.1,175.6,548.8,273.2,282.1,148.7
159.3,106.1,114.9,110,108.5,106.4,99.6,104
152.2,124.1,102.9,102.4,108.7,98.1,121.9,406.1
130,269.6,96.1,107.3,104.4,115.5,145.7,496.3
