a1,a2,a3,a4,a5,a6,a7,a8
1953.4,2314,2658.3,2664.6,2669.6,2701.4,2767.3,2972.2
2514.1,2630,2702,2725.2,2736.9,2801.9,2876.5,2962.3
2170.4,2304.5,2395.6,2546.6,2778.2,3057.6,3242.5,3464
2256.8,2342.5,2351.6,2380,2287.9,2335.8,2663.8,2616.2
2011.2,2029.8,2054.9,2076.3,2140.7,2134.1,2160.3,2372.9
2366.8,2381.3,2414.3,2429.2,2436.7,2573.3,3158.9,3607.3
2253.9,2263.6,2276.2,2282.2,2294.5,2314.7,2673.4,3605.8
2314.9,2430.5,2707,2784,2798.6,2820.9,2861.7,2896.2
2245.2,1916.3,2403.7,2903.7,2922.4,2915.3,2919.3,3008.8
2713.6,2700.9,2720.5,2738,2744.2,2792,2839,2913.2
2673.9,2695.1,2711.8,2717.3,2744.9,2798.9,2878,3224.3
2359.2,2422.8,2461.6,2462.9,2521.1,2592.6,2720.2,2826.8
2387.5,2316.2,2649.2,2678.1,2626.3,2655.6,2752.1,2974.9
2213.8,2206.6,2473.2,2550.9,2617.2,2603.6,2578.6,2608
1881.9,2170.4,2372,2494.7,2476.8,2479.9,2579.1,2838.6
2048.8,2177.8,2260.9,2261.2,2265,2266.1,2279.6,2996.7
2127.4,2214.1,2222.7,2231.3,2256.4,2341.6,2467,2683.1
2262,2280.3,2375.6,2564.8,2693.8,2993.7,3388.1,3670.4
2150.5,2272.6,2383.3,2477.6,2516.3,2565.8,2693.7,2938.4
2087.7,2206,2219.3,2222.1,2253.8,2326.4,2472.2,2635.2
2133.5,2008.6,2297.5,2407.1,2471.9,2476,2518.7,2669
2309.9,2335.7,2334.9,2436.7,2533.4,2598.7,2642.1,2673
1830.5,1857.4,1871.7,1878.3,1899.3,1902,1903.1,2245.3
2247.9,2372,2387.2,2414.5,2473.9,2605.6,3083,3550.8
2318.1,2577.4,2500.9,2785.3,2839.6,2831.9,2822.3,2935.2
1772.5,1768,2510.6,2525.3,2552,2518.3,2523.2,2554.1
1838.7,2047.1,2127.2,2151.9,2145.3,2142,2139.7,2710.4
2502.7,2456.6,2730.3,2768.5,2912.3,3140.5,3371.3,3528.2
2138.8,2088,2166.8,2189.6,2194.6,2194.6,2203.5,2201.5
1897.2,2106.3,2515.4,2536.2,2520.5,2550.3,2617.9,2753.7
1975.7,2001.6,1988.9,2000.2,2025.3,2099.4,2256.7,2829.7
1926.2,1905.9,1976.4,2226.3,2323,2576.7,2796.2,3110.9
1978.4,2372.7,2463,2456.9,2644.1,2793.1,2885,3380.9
2224.5,2628.1,2720,2812.3,2942.1,2565.6,2873.1,3343.4
2679.5,2734.5,2725.8,2800.9,2812.4,2591.5,2821.4,3181.7
2648.8,2643.9,2669.5,2918.9,3073.7,3243.2,3356.9,3586.3
2071.1,2243.7,2786.8,2930.3,2920.5,2942.7,3093.9,3333.1
2382.4,2649.9,2728.2,2748.5,2743.7,2772.8,2826.8,2960.6
2053.6,2081.5,2223,2359.3,2375,2407.4,2426.5,2468
2118.5,2124.9,2207.4,2268,2304.1,2330,2368.3,2623.1
2244.6,2222.4,2238,2302.1,2377.8,2424.1,2468.1,2716.1
2395.9,2311.3,2551.3,2566.1,2563.4,2559.4,2567.3,2639.8
2377.4,2393.2,2431.6,2509.9,2574.9,2697.6,2807.2,2922.7
2356.6,2384.8,2394.3,2405.8,2438.3,2491.5,2597.6,2753.3
2359.5,2386,2466.8,2486,2611.3,2977.1,2878.8,2986.7
2190.3,2171,2367.4,2451.3,2481.5,2512.1,2575.3,2901.6
2354,2472.9,2556.3,2577.1,2541,2509.5,2583.6,2826.7
2386.1,2574.5,2666.3,2693.8,2691.8,2687.4,2718.5,2966.7
2200.6,2282.9,2321.1,2543.7,2623,2556,2966.9,3386.6
2200.7,2102.6,2428.6,2480.5,2483.6,2507.3,2598.6,2739.3
2347.9,2665.9,2727.2,2739.5,2751.7,2831.7,2935.7,3048.8
2339.1,2240.4,2608.6,2687,2640,2622.1,2844.9,3353.1
2331.2,2094.8,2553.3,2686.3,2716.6,2710,2730.1,2804.1
2596.2,2669,2763.5,2807.3,2862.4,3140.2,3480.2,3674.9
1981.3,2216.5,2305.9,2322.5,2320.7,2358,2403.5,2438.5
1987.8,2004.3,2187.9,2288.4,2379.7,2589.2,3115,3484.5
2346,2243,2461.5,2603.9,2638.3,2580.7,2613.2,2762.7
2088.8,1999.8,2090,2385.5,2656.3,2746.8,2837.6,2927.7
2031.4,2021.3,1986.4,2135.4,2281.3,2358.9,3020.1,3231.5
2299.8,2132.1,2389.7,2524.4,2533.9,2634.1,2751.1,2759.5
2151.9,2121.1,2157.2,2488.6,2540.2,2549.2,2581.1,2646.5
1984.7,1830.8,2210.5,2570.8,2616.3,2617.8,2643.6,2658.8
2369.2,2457.8,2557.8,2574.1,2590.1,2621.9,2659.2,2733.5
1839.4,2328,2338.1,2332.6,2535.5,2714.2,3510.1,3622.3
1853.5,1837.6,1993.7,2028.4,2137.6,2690.8,2783.7,3015
1991.5,2012.9,2176.2,2250.7,2403.3,2650.6,3202.6,3367.8
1927,2024.1,2415.1,2711.8,3154.8,3456.9,3578.1,3690.4
1988.8,1986.3,2000.2,2018.4,2024.1,2021.8,2030.9,2018.2
2558.4,2701.4,2755.7,2718.1,2744.5,2978.7,3273,3349.1
2439.4,2502.6,2688.5,2600.6,3301.8,3832,3847.4,3840.9
2364.8,2380.6,2600.2,2633.7,2655,2663.7,2688.3,2775.2
2056.9,2188.9,2423.4,2484.6,2490.1,2468.4,2514.1,2659.7
2178.7,2081.8,2334.1,2364.3,2335.7,2372,2513.7,2794.9
2166.8,2170.4,2174.5,2211.9,2403.2,2354.1,2341.3,2685.4
