file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
12345678M_mono_0001,115.8,0.068,OW,14,Maroon,1,5571,469,1475,2700,479,1450,2664,475,1460,2641,464,1526,2671,422,1482,2638
12345678M_mono_0002,144.1,0.058,IH,11,Teal,2,5929,442,1668,2738,450,1680,2717,440,1670,2744,435,1660,2712,378,1667,2784
12345678M_mono_0003,122.5,0.048,AO,4,Green,3,5571,720,2212,2296,738,2282,2325,755,2229,2525,801,2274,2823,799,2100,2797
12345678M_mono_0004,109.5,0.118,IH,11,Teal,4,5571,376,1808,2395,366,1884,2406,426,1977,2350,452,2066,2398,385,2148,2328
12345678M_mono_0005,100.4,0.08,AY,7,Magenta,5,4857,685,1228,2016,653,1247,2029,638,1280,1992,611,1260,2016,562,1242,2093
12345678M_mono_0006,109.8,0.07,OW,14,Maroon,6,4500,435,876,2370,435,907,2357,425,890,2387,392,908,2345,383,911,2385
12345678M_mono_0007,114.4,0.05,AH,3,Black,7,5214,474,1232,2270,472,1213,2255,480,1188,2265,450,1179,2299,333,1171,2285
12345678M_mono_0008,110.5,0.128,EY,10,Purple,8,6643,462,2034,2821,436,2194,2825,411,2278,2875,329,2296,2917,279,2243,2893
12345678M_mono_0009,95.8,0.128,AE,2,Blue,9,5929,703,1896,2856,651,1861,2864,657,1814,2908,639,1762,2959,593,1701,3011
12345678M_mono_0010,101.4,0.06,IY,13,Pink,10,7000,362,2171,2856,368,2291,2933,360,2281,2906,344,2263,2931,322,2246,2945
12345678M_mono_0011,98.3,0.09,IY,13,Pink,11,5214,310,2204,2790,286,2200,2810,290,2190,2772,321,2170,2637,348,2134,2552
12345678M_mono_0012,192.4,0.04,AH,3,Black,12,5571,368,2019,2542,362,1944,2390,375,1866,2436,383,1938,2465,389,1769,2463
12345678M_mono_0013,99.6,0.068,IY,13,Pink,13,6643,341,1904,2645,345,2018,2723,345,2239,2774,351,2208,2831,340,2382,2793
12345678M_mono_0014,93.5,0.07,AY,7,Magenta,14,7000,759,1496,2441,708,1609,2490,674,1681,2549,653,1912,2706,497,2055,2887
12345678M_mono_0015,123,0.06,OW,14,Maroon,15,5571,562,1515,2478,534,1516,2520,526,1290,2562,567,1267,2452,570,1136,2445
12345678M_mono_0016,113.3,0.07,AA,1,Red,16,6286,588,1098,2276,531,1062,2267,505,1088,2265,481,1235,2247,418,1320,2244
12345678M_mono_0017,105.9,0.06,EH,8,Black,17,4857,487,1617,2160,534,1589,2183,536,1630,2252,590,1598,2202,642,1654,2266
12345678M_mono_0018,0,0.06,ER,9,Lime,18,4500,416,1655,2373,401,1643,2324,451,1633,2260,503,1613,2153,464,1614,2146
12345678M_mono_0019,110.8,0.06,EY,10,Purple,19,5929,453,1856,2238,439,1892,2340,418,1925,2551,400,1960,2684,350,1943,2766
12345678M_mono_0020,129.8,0.05,AA,1,Red,20,4857,523,1618,2331,535,1564,2264,561,1572,2192,568,1540,2157,573,1541,2100
12345678M_mono_0021,106,0.11,AY,7,Magenta,21,6643,589,1684,2366,577,1704,2470,554,1726,2488,463,1831,2511,420,1947,2691
12345678M_mono_0022,96.4,0.098,AY,7,Magenta,22,4500,721,1473,2253,696,1587,2313,657,1788,2338,554,1894,2356,399,1998,2314
12345678M_mono_0023,91.9,0.048,AH,3,Black,23,5571,669,1190,1824,698,1208,1858,695,1213,1886,675,1307,1899,619,1235,1940
12345678M_mono_0024,101,0.048,AH,3,Black,24,5571,516,1336,2584,545,1265,2431,548,1237,2351,535,1187,2341,432,1207,2353
12345678M_mono_0025,100.3,0.058,IH,11,Teal,25,5929,408,1809,2664,416,1878,2781,412,2035,2898,395,2210,2928,412,2309,2975
12345678M_mono_0026,142.5,0.08,AE,2,Blue,26,5214,767,1591,2675,770,1547,2641,762,1553,2421,736,1558,2432,699,1535,2405
12345678M_mono_0027,114.7,0.088,AA,1,Red,27,5929,749,1056,2167,728,1087,2152,691,1164,2164,720,1260,2135,606,1267,2108
12345678M_mono_0028,108.7,0.07,AH,3,Black,28,4500,413,1663,2481,424,1675,2472,426,1698,2524,407,1665,2500,339,1708,2529
12345678M_mono_0029,88.9,0.098,AE,2,Blue,29,5214,649,1582,2070,715,1573,2142,735,1510,2187,702,1450,2181,632,1391,2243
12345678M_mono_0030,104.8,0.078,EH,8,Black,30,6643,483,1710,2811,508,1682,2731,544,1707,2662,550,1664,2460,504,1621,2393
12345678M_mono_0031,117.4,0.06,ER,9,Lime,31,4857,434,1622,2006,408,1651,1978,413,1709,1979,410,1694,2018,326,1774,2057
12345678M_mono_0032,104.4,0.07,ER,9,Lime,32,7000,458,1797,3129,503,1809,3105,497,1772,3137,537,1803,3066,605,1790,3097
12345678M_mono_0033,95.8,0.04,AH,3,Black,33,4500,394,1121,1971,392,1205,1959,379,1223,1912,366,1192,1966,346,1234,2064
12345678M_mono_0034,118.3,0.05,IY,13,Pink,34,5214,488,2187,2571,518,2230,2606,539,2142,2667,529,2098,2861,518,2127,2926
12345678M_mono_0035,114.1,0.07,IH,11,Teal,35,7000,421,2017,3106,407,2012,3172,375,2091,3284,347,2100,3188,306,2163,3185
12345678M_mono_0036,97.9,0.028,AH,3,Black,36,5214,390,1809,2702,295,1816,2700,272,1814,2667,245,1644,2630,243,1686,2643
12345678M_mono_0037,0,0.028,EH,8,Black,37,5214,488,1900,2855,459,1881,2811,400,1866,2754,297,1882,2761,406,1831,2757
12345678M_mono_0038,69,0.06,IH,11,Teal,38,6286,334,1814,2763,382,1818,2754,384,1801,2754,413,1811,2775,425,1775,2805
12345678M_mono_0039,90.3,0.11,AW,5,Olive,39,5571,588,1733,2610,669,1688,2309,706,1588,2256,718,1440,2259,690,1364,2286
12345678M_mono_0040,88.5,0.14,AY,7,Magenta,40,4500,679,1500,1992,749,1359,2073,754,1526,2136,697,1558,2155,618,1642,2260
12345678M_mono_0041,96,0.11,IH,11,Teal,41,4500,371,1739,2252,371,1993,2270,380,2031,2268,384,1856,2244,391,1785,2210
12345678M_mono_0042,111.5,0.048,AE,2,Blue,42,5571,548,1713,2531,547,1717,2578,539,1726,2585,524,1756,2568,484,1730,2581
