file,c11,c21,c31,c12,c22,c32
12345678M_mono_0001,461.4,1480.6,2664.6,26,-18.9,17.8
12345678M_mono_0002,428.2,1669.2,2736.9,30.9,3.3,-12.4
12345678M_mono_0003,759.4,2225.7,2546.6,-45.4,36.2,-298.7
12345678M_mono_0004,401.2,1975.2,2380,-22.4,-171.1,16.9
12345678M_mono_0005,632.5,1252.6,2029.8,64.2,-7,-25.8
12345678M_mono_0006,414.7,899.4,2366.8,30.7,-20.3,-4.1
12345678M_mono_0007,442,1197.7,2276.2,60.7,32.8,-15.6
12345678M_mono_0008,384.9,2208,2861.7,93.7,-116.4,-46.1
12345678M_mono_0009,647.8,1806.9,2922.4,41.9,101.6,-88
12345678M_mono_0010,350.7,2241.6,2913.2,21.4,-36.8,-37.6
12345678M_mono_0011,312.1,2177.5,2711.8,-23.9,40.4,138.5
12345678M_mono_0012,376,1906.5,2462.9,-13.6,107.8,14.5
12345678M_mono_0013,343.7,2139,2752.1,-0.7,-209.5,-92.5
12345678M_mono_0014,656.6,1746.8,2608,122.7,-291.8,-229.1
12345678M_mono_0015,553.3,1344.6,2494.7,-10.8,204.4,32.3
12345678M_mono_0016,506.6,1158.2,2266.1,86.6,-133.5,19.7
12345678M_mono_0017,559.4,1614.7,2214.1,-78.6,-10.2,-48
12345678M_mono_0018,448.5,1631.9,2262,-37.1,24,117.9
12345678M_mono_0019,410.3,1913.5,2516.3,51.8,-52.2,-278.3
12345678M_mono_0020,551.4,1567.6,2206,-28,32.4,118.2
12345678M_mono_0021,520.2,1786.3,2518.7,94.2,-138.3,-149.6
12345678M_mono_0022,608.5,1740.1,2309.9,159.5,-277.2,-23
12345678M_mono_0023,668.8,1230.5,1878.3,28.9,-54.1,-60.8
12345678M_mono_0024,516.9,1251.8,2414.5,37.5,72.9,107.1
12345678M_mono_0025,411.2,2029.5,2839.6,0.4,-270.6,-163.6
12345678M_mono_0026,743.6,1555.7,2510.6,32.6,19.3,150.4
12345678M_mono_0027,698.6,1178.4,2145.3,46.4,-105.1,28.9
12345678M_mono_0028,401.9,1680.7,2502.7,32.9,-13.9,-31
12345678M_mono_0029,688.9,1509.2,2166.8,13,107.1,-74.3
12345678M_mono_0030,514.1,1678.6,2617.9,-17.8,43,220.8
12345678M_mono_0031,398.2,1689.6,2001.6,39.9,-70.6,-20.7
12345678M_mono_0032,537.8,1801.5,3110.9,-56.9,19.8,28.6
12345678M_mono_0033,375.2,1192.5,1978.4,25.1,-35.5,-41.8
12345678M_mono_0034,513.5,2153.5,2720,-16.6,66.7,-210.4
12345678M_mono_0035,374.5,2082.1,3181.7,56.9,-75.9,-34.2
12345678M_mono_0036,293.9,1760.1,2669.5,71,87.3,42
12345678M_mono_0037,399.7,1872.8,2786.8,86.3,23.1,44.3
12345678M_mono_0038,389.4,1804.6,2772.8,-39.6,19.5,-9.7
12345678M_mono_0039,673.8,1558.3,2359.3,-50.1,199.6,162.1
12345678M_mono_0040,696,1517.9,2118.5,43.1,-100.2,-144.5
12345678M_mono_0041,379.5,1877.1,2244.6,-10.8,14.2,31.6
12345678M_mono_0042,526.4,1727.8,2566.1,32.2,-18.7,-15.6
12345678M_mono_0043,443.6,1975.2,2377.4,24.1,-62.1,-123.9
12345678M_mono_0044,409.3,1827.9,2405.8,19.1,57,129
12345678M_mono_0045,352.5,1278.7,2359.5,29.6,4.4,-26.7
12345678M_mono_0046,443.5,1896.8,2512.1,46.9,-135.7,-358.7
12345678M_mono_0047,620.9,1731.1,2556.3,-2.2,20.5,191.1
12345678M_mono_0048,484.4,2032.9,2666.3,108.6,-134.8,83.7
12345678M_mono_0049,339,1553.8,2321.1,41.4,279.1,120.7
12345678M_mono_0050,616.4,1596.8,2483.6,46.5,-7.3,-42.5
12345678M_mono_0051,461.1,1785.2,2751.7,14.8,23.9,35.5
12345678M_mono_0052,456.3,1865.4,2687,79.5,65.9,78.7
12345678M_mono_0053,399.4,1829.8,2730.1,34.3,7,-52.9
12345678M_mono_0054,386.7,1615.2,2763.5,47.5,-19.8,-41.5
12345678M_mono_0055,661.9,1329.2,2320.7,11.7,70.5,41.3
12345678M_mono_0056,379.2,1532.9,1987.8,27,180.1,140.1
12345678M_mono_0057,451.1,2036.6,2613.2,99.6,-157,-182.6
12345678M_mono_0058,618.3,1526.2,2088.8,-79.9,9.2,-1.2
12345678M_mono_0059,736.9,1365.6,2031.4,-18.5,116,-82.1
12345678M_mono_0060,599.2,1705.8,2533.9,89.5,-12.1,-123.9
12345678M_mono_0061,684.2,1269.1,2151.9,15.6,79.3,-100.4
12345678M_mono_0062,612.1,1591,2616.3,62.3,-56.7,-193.4
12345678M_mono_0063,426.1,1774.3,2590.1,50.7,17.3,136.4
12345678M_mono_0064,723.5,2250.9,3622.3,-43.5,127.6,38.5
12345678M_mono_0065,382.6,1480.1,1837.6,91.2,-6.4,-47.4
12345678M_mono_0066,445.2,1161.9,2012.9,-4.1,190,53.1
12345678M_mono_0067,336.2,1719.7,1927,77.9,-7.6,-48.7
