file,winner,F1,F2,F3,edit
12345678M_mono_0001,4,4,4,4,0
12345678M_mono_0002,5,5,5,5,0
12345678M_mono_0003,4,4,4,4,0
12345678M_mono_0004,4,4,4,4,0
12345678M_mono_0005,2,2,2,2,0
12345678M_mono_0006,1,1,1,1,0
12345678M_mono_0007,3,3,3,3,0
12345678M_mono_0008,7,7,7,7,0
12345678M_mono_0009,5,5,5,5,0
12345678M_mono_0010,8,8,8,8,0
12345678M_mono_0011,3,3,3,3,0
12345678M_mono_0012,4,4,4,4,0
12345678M_mono_0013,7,7,7,7,0
12345678M_mono_0014,8,8,8,8,0
12345678M_mono_0015,4,4,4,4,0
12345678M_mono_0016,6,6,6,6,0
12345678M_mono_0017,2,2,2,2,0
12345678M_mono_0018,1,1,1,1,0
12345678M_mono_0019,5,5,5,5,0
12345678M_mono_0020,2,2,2,2,0
12345678M_mono_0021,7,7,7,7,0
12345678M_mono_0022,1,1,1,1,0
12345678M_mono_0023,4,4,4,4,0
12345678M_mono_0024,4,4,4,4,0
12345678M_mono_0025,5,5,5,5,0
12345678M_mono_0026,3,3,3,3,0
12345678M_mono_0027,5,5,5,5,0
12345678M_mono_0028,1,1,1,1,0
12345678M_mono_0029,3,3,3,3,0
12345678M_mono_0030,7,7,7,7,0
12345678M_mono_0031,2,2,2,2,0
12345678M_mono_0032,8,8,8,8,0
12345678M_mono_0033,1,1,1,1,0
12345678M_mono_0034,3,3,3,3,0
12345678M_mono_0035,8,8,8,8,0
12345678M_mono_0036,3,3,3,3,0
12345678M_mono_0037,3,3,3,3,0
12345678M_mono_0038,6,6,6,6,0
12345678M_mono_0039,4,4,4,4,0
12345678M_mono_0040,1,1,1,1,0
12345678M_mono_0041,1,1,1,1,0
12345678M_mono_0042,4,4,4,4,0
12345678M_mono_0043,1,1,1,1,0
12345678M_mono_0044,4,4,4,4,0
12345678M_mono_0045,1,1,1,1,0
12345678M_mono_0046,6,6,6,6,0
12345678M_mono_0047,3,3,3,3,0
12345678M_mono_0048,3,3,3,3,0
12345678M_mono_0049,3,3,3,3,0
12345678M_mono_0050,5,5,5,5,0
12345678M_mono_0051,5,5,5,5,0
12345678M_mono_0052,4,4,4,4,0
12345678M_mono_0053,7,7,7,7,0
