file,winner,F1,F2,F3,edit
AB_0001,2,2,2,2,0
AB_0002,1,1,1,1,0
AB_0003,2,2,2,2,0
AB_0004,1,1,1,1,0
AB_0005,3,3,3,3,0
AB_0006,2,2,2,2,0
AB_0007,2,2,2,2,0
AB_0008,2,2,2,2,0
AB_0009,2,2,2,2,0
AB_0010,1,1,1,1,0
AB_0011,2,2,2,2,0
AB_0012,1,1,1,1,0
AB_0013,7,7,7,7,0
AB_0014,2,2,2,2,0
AB_0015,6,6,6,6,0
AB_0016,3,3,3,3,0
AB_0017,1,1,1,1,0
AB_0018,1,1,1,1,0
AB_0019,1,1,1,1,0
AB_0020,4,4,4,4,0
AB_0021,3,3,3,3,0
AB_0022,1,1,1,1,0
AB_0023,6,6,6,6,0
AB_0024,3,3,3,3,0
AB_0025,2,2,2,2,0
AB_0026,3,3,3,3,0
AB_0027,4,4,4,4,0
AB_0028,3,3,3,3,0
AB_0029,1,1,1,1,0
AB_0030,2,2,2,2,0
AB_0031,7,7,7,7,0
AB_0032,5,5,5,5,0
AB_0033,3,3,3,3,0
AB_0034,2,2,2,2,0
AB_0035,4,4,4,4,0
AB_0036,4,4,4,4,0
AB_0037,3,3,3,3,0
AB_0038,2,2,2,2,0
AB_0039,3,3,3,3,0
AB_0040,6,6,6,6,0
AB_0041,2,2,2,2,0
AB_0042,1,1,1,1,0
AB_0043,4,4,4,4,0
AB_0044,1,1,1,1,0
AB_0045,5,5,5,5,0
AB_0046,6,6,6,6,0
AB_0047,1,1,1,1,0
AB_0048,7,7,7,7,0
AB_0049,2,2,2,2,0
AB_0050,2,2,2,2,0
AB_0051,1,1,1,1,0
AB_0052,7,7,7,7,0
AB_0053,7,7,7,7,0
AB_0054,1,1,1,1,0
AB_0055,3,3,3,3,0
AB_0056,4,4,4,4,0
AB_0057,1,1,1,1,0
AB_0058,3,3,3,3,0
AB_0059,2,2,2,2,0
AB_0060,3,3,3,3,0
AB_0061,5,5,5,5,0
AB_0062,7,7,7,7,0
AB_0063,2,2,2,2,0
AB_0064,4,4,4,4,0
AB_0065,1,1,1,1,0
AB_0066,7,7,7,7,0
AB_0067,2,2,2,2,0
AB_0068,3,3,3,3,0
AB_0069,1,1,1,1,0
AB_0070,3,3,3,3,0
AB_0071,3,3,3,3,0
AB_0072,1,1,1,1,0
AB_0073,8,8,8,8,0
AB_0074,1,1,1,1,0
AB_0075,1,1,1,1,0
AB_0076,1,1,1,1,0
AB_0077,6,6,6,6,0
AB_0078,4,4,4,4,0
AB_0079,5,5,5,5,0
AB_0080,3,3,3,3,0
AB_0081,3,3,3,3,0
AB_0082,4,4,4,4,0
AB_0083,1,1,1,1,0
AB_0084,1,1,1,1,0
AB_0085,2,2,2,2,0
AB_0086,1,1,1,1,0
AB_0087,1,1,1,1,0
AB_0088,3,3,3,3,0
AB_0089,3,3,3,3,0
AB_0090,2,2,2,2,0
AB_0091,1,1,1,1,0
AB_0092,1,1,1,1,0
AB_0093,1,1,1,1,0
AB_0094,1,1,1,1,0
AB_0095,2,2,2,2,0
AB_0096,2,2,2,2,0
AB_0097,2,2,2,2,0
AB_0098,3,3,3,3,0
AI_0001,1,1,1,1,0
AI_0002,1,1,1,1,0
AI_0003,1,1,1,1,0
AI_0004,1,1,1,1,0
AI_0005,2,2,2,2,0
AI_0006,7,7,7,7,0
AI_0007,2,2,2,2,0
AI_0008,4,4,4,4,0
AI_0009,6,6,6,6,0
AI_0010,7,7,7,7,0
AI_0011,4,4,4,4,0
AI_0012,6,6,6,6,0
AI_0013,5,5,5,5,0
AI_0014,4,4,4,4,0
AI_0015,3,3,3,3,0
AI_0016,5,5,5,5,0
AI_0017,5,5,5,5,0
AI_0018,3,3,3,3,0
