file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
MM,0.3979,1.3915,Meow,-39.416402797506315,,,18.893909750519164
MM,1.8352,5.2225,Meow,-43.900030535582594,,,11.105950811543075
MM,5.9833,6.9389,Meow,-42.95116170247396,,,17.995793055816414
MM,7.9915,10.2355,Meow,-43.014517647879465,,,17.174640786698653
MM,10.2913,12.5779,Meow,-42.16404970660481,,,15.427388339677734
MM,13.4215,14.4326,Meow,-41.65525893409654,,,14.526783404653608
MM,14.8588,18.3784,Meow,-41.29470547762784,,,11.632380783585758
MM,18.5319,19.3553,Meow,-40.28421839272104,,,15.1187246830948
MM,20.6209,24.2513,Meow,-42.98804450757576,,,12.621921783094631
MM,24.4138,25.6552,Meow,-37.902654832409276,,,12.68055930243108
MM,26.5287,27.7445,Meow,-45.41182521132172,,,10.221225944481597
MM,28.346,29.2377,Meow,-40.16532709357444,,,18.041115506552906
MM,30.2298,32.0515,Meow,-43.2277107657967,,,16.312408940713127
MM,32.359,33.481,Meow,-46.77101789202009,,,16.164698526520553
MM,33.5791,35.5671,Meow,-40.30687617776382,,,13.964259072152572
MM,36.6937,38.1826,Meow,-40.54548225146812,,,12.546054627413433
MM,38.9384,42.4138,Meow,-40.82721017420977,,,17.643369591032318
MM,43.6477,45.6679,Meow,-44.41454594678218,,,20.06181671268132
MM,46.172,49.0928,Meow,-44.40999237478596,,,13.919294486603121
MM,49.5864,50.7873,Meow,-44.588419596354164,,,11.395213161972062
MM,52.1086,54.4645,Meow,-41.939742783368644,,,15.11220279671474
MM,55.5632,57.68,Meow,-42.30599111880896,,,13.348314340392365
MM,58.8071,61.0002,Meow,-44.36310734160959,,,14.977641057078719
MM,61.0308,63.4733,Meow,-46.46251440829918,,,3.423185643111701
MM,65.2231,67.6656,Meow,-45.37570840804303,,,12.06849912917175
LA,0.0623,0.7372,LA,-47.112680008162314,,,14.304938210881812
LA,0.7372,3.223,LA,-49.15345365838353,,,17.99327180573709
LA,3.4874,4.2147,LA,-50.342576118364725,,,21.09764983813283
LA,4.6113,5.9468,LA,-50.12971154967351,,,18.561090077787156
LA,6.1584,7.9169,LA,-48.98681640625,,,17.465635022292467
LA,8.4339,9.8619,LA,-49.1470546055507,,,16.265322405946744
LA,9.9016,11.9246,LA,-49.957476021039604,,,14.405964241453987
LA,12.5196,13.8551,LA,-46.09296291977612,,,22.298528634765653
LA,14.1714,16.3795,LA,-45.806706907522624,,,11.181467170557355
LA,16.4589,17.2919,LA,-50.34985645707831,,,17.328870811450898
LA,17.6489,18.5083,LA,-47.69878724563954,,,13.67385121825119
LA,18.6273,19.4736,LA,-48.21885340073529,,,13.595547849145312
